docTokenBegin,text,ner,nerConfidences
0,Isa Whitney,PERSON,{'PERSON': 0.99584828045394}
7,Elias Whitney,PERSON,{'PERSON': 0.98928354406524}
15,Theological College of St. George,ORGANIZATION,{'ORGANIZATION': 0.65430076486301}
51,De Quincey,PERSON,{'PERSON': 0.94791092925875}
32,him,PERSON,
43,he,PERSON,
56,his,PERSON,
61,he,PERSON,
64,his,PERSON,
77,He,PERSON,
104,he,PERSON,
122,his,PERSON,
130,him,PERSON,
169,June,DATE,{'DATE': 0.99394421531598}
171,'89,DATE,{'DATE': 0.77601005753342}
189,his,PERSON,
209,her,PERSON,
215,her,PERSON,
231,she,PERSON,
312,she,PERSON,
320,her,PERSON,
325,she,PERSON,
330,her,PERSON,
341,her,PERSON,
354,she,PERSON,
383,Kate Whitney,PERSON,{'PERSON': 0.9996564956102}
377,her,PERSON,
391,Kate,PERSON,{'PERSON': 0.99762940868965}
485,James,PERSON,{'PERSON': 0.99479597712488}
512,Isa,PERSON,{'PERSON': 0.96071291618684}
514,He,PERSON,
528,him,PERSON,
538,she,PERSON,
544,her,PERSON,
570,her,PERSON,
580,she,PERSON,
583,her,PERSON,
594,him,PERSON,
597,her,PERSON,
605,She,PERSON,
613,he,PERSON,
621,him,PERSON,
660,evening,TIME,{'TIME': 0.55750581708488}
638,his,PERSON,
649,he,PERSON,
669,him,PERSON,
678,he,PERSON,
715,Bar of Gold,LOCATION,{'LOCATION': 0.354611859143}
720,Upper Swandam Lane,LOCATION,{'LOCATION': 0.98472442042513}
701,he,PERSON,
707,she,PERSON,
727,she,PERSON,
733,she,PERSON,
742,her,PERSON,
750,her,PERSON,
759,him,PERSON,
782,her,PERSON,
797,she,PERSON,
804,Isa Whitney,PERSON,{'PERSON': 0.99869241353036}
817,him,PERSON,
831,her,PERSON,
839,him,PERSON,
848,he,PERSON,
855,she,PERSON,
927,Swandam Lane,PERSON,{'PERSON': 0.38217699430985}
950,London Bridge,LOCATION,{'LOCATION': 0.95618334967625}
1194,his,PERSON,
1205,his,PERSON,
1239,his,PERSON,
1243,his,PERSON,
1248,his,PERSON,
1251,his,PERSON,
1265,Malay,MISC,{'MISC': 0.94785938817207}
1312,Mr. Isa Whitney,PERSON,
1322,him,PERSON,
1344,Whitney,PERSON,{'PERSON': 0.79934352803075}
1364,Watson,PERSON,{'PERSON': 0.918475285935}
1368,he,PERSON,
1370,He,PERSON,
1390,Watson,PERSON,{'PERSON': 0.95064033865249}
1411,Friday,DATE,{'DATE': 0.98285117065117}
1413,June 19th,DATE,{'DATE': 0.86655649856739}
1425,Wednesday,DATE,{'DATE': 0.99754230385908}
1429,Wednesday,DATE,{'DATE': 0.9902290865224}
1441,He,PERSON,
1443,his,PERSON,
1446,his,PERSON,
1465,Friday,DATE,{'DATE': 0.97903256392785}
1499,Watson,PERSON,{'PERSON': 0.93937186638069}
1534,Kate,PERSON,{'PERSON': 0.93327732765808}
1538,Kate,PERSON,{'PERSON': 0.96133520786162}
1579,Watson,PERSON,{'PERSON': 0.9510771564795}
1697,he,PERSON,
1722,his,PERSON,
1734,his,PERSON,
1814,Sherlock Holmes,PERSON,{'PERSON': 0.99500031640372}
1765,He,PERSON,
1768,his,PERSON,
1775,him,PERSON,
