lemma,pos,ner
it,PRP,O
be,VBZ,O
a,DT,O
most,RBS,O
singular,JJ,O
thing,NN,O
that,WDT,O
a,DT,O
problem,NN,O
which,WDT,O
be,VBD,O
certainly,RB,O
as,IN,O
abstruse,JJ,O
and,CC,O
unusual,JJ,O
as,IN,O
any,DT,O
which,WDT,O
I,PRP,O
have,VBP,O
face,VBN,O
in,IN,O
my,PRP$,O
long,JJ,O
professional,JJ,O
career,NN,O
should,MD,O
have,VB,O
come,VBN,O
to,IN,O
I,PRP,O
after,IN,O
my,PRP$,O
retirement,NN,O
",",",",O
and,CC,O
be,VB,O
bring,VBN,O
",",",",O
as,IN,O
it,PRP,O
be,VBD,O
",",",",O
to,IN,O
my,PRP$,O
very,JJ,O
door,NN,O
.,.,O
it,PRP,O
occur,VBD,O
after,IN,O
my,PRP$,O
withdrawal,NN,O
to,IN,O
my,PRP$,O
little,JJ,O
Sussex,NNP,LOCATION
home,NN,O
",",",",O
when,WRB,O
I,PRP,O
have,VBD,O
give,VBN,O
myself,PRP,O
up,RP,O
entirely,RB,O
to,IN,O
that,DT,O
soothing,JJ,O
life,NN,O
of,IN,O
Nature,NNP,MISC
for,IN,O
which,WDT,O
I,PRP,O
have,VBD,O
so,RB,O
often,RB,O
yearn,VBN,O
during,IN,O
the,DT,O
long,JJ,O
year,NNS,O
spend,VBN,O
amid,IN,O
the,DT,O
gloom,NN,O
of,IN,O
London,NNP,LOCATION
.,.,O
at,IN,O
this,DT,O
period,NN,O
of,IN,O
my,PRP$,O
life,NN,O
the,DT,O
good,JJ,O
Watson,NNP,PERSON
have,VBD,O
pass,VBN,O
almost,RB,O
beyond,IN,O
my,PRP$,O
ken,NN,O
.,.,O
a,DT,O
occasional,JJ,O
week,NN,DATE
-,HYPH,DATE
end,NN,DATE
visit,NN,O
be,VBD,O
the,DT,O
most,JJS,O
that,WDT,O
I,PRP,O
ever,RB,O
see,VBD,O
of,IN,O
he,PRP,O
.,.,O
thus,RB,O
I,PRP,O
must,MD,O
act,VB,O
as,IN,O
my,PRP$,O
own,JJ,O
chronicler,NN,O
.,.,O
ah,UH,O
!,.,O
have,VBD,O
he,PRP,O
but,CC,O
be,VBN,O
with,IN,O
I,PRP,O
",",",",O
how,WRB,O
much,RB,O
he,PRP,O
might,MD,O
have,VB,O
make,VBN,O
of,IN,O
so,RB,O
wonderful,JJ,O
a,DT,O
happen,VBG,O
and,CC,O
of,IN,O
my,PRP$,O
eventual,JJ,O
triumph,NN,O
against,IN,O
every,DT,O
difficulty,NN,O
!,.,O
as,IN,O
it,PRP,O
be,VBZ,O
",",",",O
however,RB,O
",",",",O
I,PRP,O
must,MD,O
need,VB,O
tell,VB,O
my,PRP$,O
tale,NN,O
in,IN,O
my,PRP$,O
own,JJ,O
plain,JJ,O
way,NN,O
",",",",O
show,VBG,O
by,IN,O
my,PRP$,O
word,NNS,O
each,DT,O
step,NN,O
upon,IN,O
the,DT,O
difficult,JJ,O
road,NN,O
which,WDT,O
lay,VBD,O
before,IN,O
I,PRP,O
as,IN,O
I,PRP,O
search,VBD,O
for,IN,O
the,DT,O
mystery,NN,O
of,IN,O
the,DT,O
Lion,NNP,O
's,POS,O
mane,NN,O
.,.,O
my,PRP$,O
villa,NN,O
be,VBZ,O
situate,VBN,O
upon,IN,O
the,DT,O
southern,JJ,O
slope,NN,O
of,IN,O
the,DT,O
downs,NNS,O
",",",",O
command,VBG,O
a,DT,O
great,JJ,O
view,NN,O
of,IN,O
the,DT,O
Channel,NNP,O
.,.,O
at,IN,O
this,DT,O
point,NN,O
the,DT,O
