lemma,pos,ner
it,PRP,O
be,VBD,O
some,DT,O
time,NN,O
before,IN,O
the,DT,O
health,NN,O
of,IN,O
my,PRP$,O
friend,NN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
recover,VBD,O
from,IN,O
the,DT,O
strain,NN,O
cause,VBN,O
by,IN,O
he,PRP$,O
immense,JJ,O
exertion,NNS,O
in,IN,O
the,DT,O
spring,NN,DATE
of,IN,DATE
',``,DATE
87,CD,DATE
.,.,O
the,DT,O
whole,JJ,O
question,NN,O
of,IN,O
the,DT,O
Netherland,NNP,ORGANIZATION
-,HYPH,ORGANIZATION
Sumatra,NNP,ORGANIZATION
Company,NNP,ORGANIZATION
and,CC,O
of,IN,O
the,DT,O
colossal,JJ,O
scheme,NNS,O
of,IN,O
Baron,NNP,PERSON
Maupertuis,NNP,PERSON
be,VBP,O
too,RB,O
recent,JJ,O
in,IN,O
the,DT,O
mind,NNS,O
of,IN,O
the,DT,O
public,NN,O
",",",",O
and,CC,O
be,VBP,O
too,RB,O
intimately,RB,O
concern,VBN,O
with,IN,O
politics,NNS,O
and,CC,O
finance,NN,O
to,TO,O
be,VB,O
fitting,JJ,O
subject,NNS,O
for,IN,O
this,DT,O
series,NN,O
of,IN,O
sketch,NNS,O
.,.,O
they,PRP,O
lead,VBD,O
",",",",O
however,RB,O
",",",",O
in,IN,O
a,DT,O
indirect,JJ,O
fashion,NN,O
to,IN,O
a,DT,O
singular,JJ,O
and,CC,O
complex,JJ,O
problem,NN,O
which,WDT,O
give,VBD,O
my,PRP$,O
friend,NN,O
a,DT,O
opportunity,NN,O
of,IN,O
demonstrate,VBG,O
the,DT,O
value,NN,O
of,IN,O
a,DT,O
fresh,JJ,O
weapon,NN,O
among,IN,O
the,DT,O
many,JJ,O
with,IN,O
which,WDT,O
he,PRP,O
wage,VBD,O
he,PRP$,O
life,NN,O
-,HYPH,O
long,JJ,O
battle,NN,O
against,IN,O
crime,NN,O
.,.,O
on,IN,O
refer,VBG,O
to,IN,O
my,PRP$,O
note,NNS,O
I,PRP,O
see,VBP,O
that,IN,O
it,PRP,O
be,VBD,O
upon,IN,O
the,DT,O
14th,NN,DATE
of,IN,DATE
April,NNP,DATE
that,WDT,O
I,PRP,O
receive,VBD,O
a,DT,O
telegram,NN,O
from,IN,O
Lyons,NNP,PERSON
which,WDT,O
inform,VBD,O
I,PRP,O
that,IN,O
Holmes,NNP,PERSON
be,VBD,O
lie,VBG,O
ill,RB,O
in,IN,O
the,DT,O
Hotel,NNP,LOCATION
Dulong,NNP,LOCATION
.,.,O
within,IN,O
twenty,CD,O
-,HYPH,O
four,CD,O
hour,NNS,O
I,PRP,O
be,VBD,O
in,IN,O
he,PRP$,O
sick,JJ,O
-,HYPH,O
room,NN,O
",",",",O
and,CC,O
be,VBD,O
relieve,VBN,O
to,TO,O
find,VB,O
that,IN,O
