docTokenBegin,text,ner,nerConfidences
0,Mr. Sherlock Holmes,PERSON,
20,he,PERSON,
51,him,PERSON,
99,James Mortimer,PERSON,{'PERSON': 0.99931130729946}
109,C.C.H.,MISC,{'MISC': 0.46032493090274}
105,his,PERSON,
151,Watson,PERSON,{'PERSON': 0.96388371485034}
161,Holmes,PERSON,{'PERSON': 0.9985900617716}
165,his,PERSON,
174,him,PERSON,
229,he,PERSON,
237,Watson,PERSON,{'PERSON': 0.93748540633384}
258,him,PERSON,
264,his,PERSON,
311,Mortimer,PERSON,{'PERSON': 0.99864804011094}
327,him,PERSON,
329,him,PERSON,
342,Holmes,PERSON,{'PERSON': 0.98770483246369}
359,his,PERSON,
370,his,PERSON,
422,he,PERSON,
440,Holmes,PERSON,{'PERSON': 0.98770483246369}
472,he,PERSON,
484,him,PERSON,
495,Watson,PERSON,{'PERSON': 0.94362923020128}
503,Holmes,PERSON,{'PERSON': 0.98883712542665}
507,his,PERSON,
595,He,PERSON,
608,his,PERSON,
622,his,PERSON,
639,his,PERSON,
656,his,PERSON,
667,his,PERSON,
670,He,PERSON,
686,his,PERSON,
696,he,PERSON,
699,his,PERSON,
710,he,PERSON,
728,he,PERSON,
730,he,PERSON,
733,his,PERSON,
799,Watson,PERSON,{'PERSON': 0.98342937869955}
855,he,PERSON,
889,Watson,PERSON,{'PERSON': 0.91692639312453}
941,Charing Cross,ORGANIZATION,{'ORGANIZATION': 0.98330639105807}
1005,Charing Cross Hospital,ORGANIZATION,{'ORGANIZATION': 0.99640372299058}
1094,his,PERSON,
1099,him,PERSON,
1113,Mortimer,PERSON,{'PERSON': 0.99953245365707}
1213,London,LOCATION,{'LOCATION': 0.99820338508714}
1192,he,PERSON,
1234,he,PERSON,
1239,he,PERSON,
1250,he,PERSON,
1273,he,PERSON,
1302,Watson,PERSON,{'PERSON': 0.88552003183271}
1351,Sherlock Holmes,PERSON,{'PERSON': 0.99982829694986}
1356,his,PERSON,
1422,Medical Directory,ORGANIZATION,{'ORGANIZATION': 0.66098379742971}
1446,his,PERSON,
1451,Mortimer,PERSON,{'PERSON': 0.84504974114645}
1453,James,PERSON,{'PERSON': 0.97295410442145}
1455,M.R.C.S.,ORGANIZATION,{'ORGANIZATION': 0.44007722786042}
1457,1882,DATE,{'DATE': 0.78348764902965}
1459,Grimpen,PERSON,{'PERSON': 0.61279065967823}
1463,Devon,PERSON,{'PERSON': 0.54578490510422}
1470,1882,DATE,{'DATE': 0.79705191568254}
1472,1884,DATE,{'DATE': 0.81352676719773}
1475,Charing Cross Hospital,ORGANIZATION,{'ORGANIZATION': 0.96812831208666}
1482,Jackson,PERSON,{'PERSON': 0.6895992782621}
1502,Swedish Pathological Society,ORGANIZATION,{'ORGANIZATION': 0.61516893402303}
1530,"March, 1883",DATE,{'DATE': 0.76096795954495}
1541,Grimpen,LOCATION,{'LOCATION': 0.61013797134884}
1543,Thorsley,LOCATION,{'LOCATION': 0.47017589538667}
1558,Watson,PERSON,{'PERSON': 0.87995509708727}
1562,Holmes,PERSON,{'PERSON': 0.99280601809314}
1638,London,LOCATION,{'LOCATION': 0.99124991253768}
1653,his,PERSON,
1657,his,PERSON,
1687,his,PERSON,
1708,his,PERSON,
1754,Jove,PERSON,{'PERSON': 0.77976108135277}
1765,He,PERSON,
1773,he,PERSON,
1777,he,PERSON,
1794,his,PERSON,
1855,Watson,PERSON,{'PERSON': 0.96459373467012}
1857,He,PERSON,
1883,Watson,PERSON,{'PERSON': 0.92123281080365}
1913,James Mortimer,PERSON,{'PERSON': 0.99993284416077}
1923,Sherlock Holmes,PERSON,{'PERSON': 0.984829889861}
1955,He,PERSON,
1998,He,PERSON,
2010,his,PERSON,
2017,his,PERSON,
2024,his,PERSON,
2032,he,PERSON,
2039,his,PERSON,
2059,Holmes,PERSON,{'PERSON': 0.94422597305145}
2050,he,PERSON,
2052,his,PERSON,
2064,he,PERSON,
2083,he,PERSON,
2099,Shipping Office,ORGANIZATION,{'ORGANIZATION': 0.77498226335092}
2122,Holmes,PERSON,{'PERSON': 0.97861665448446}
2132,Charing Cross Hospital,ORGANIZATION,{'ORGANIZATION': 0.79142248679361}
2163,Holmes,PERSON,{'PERSON': 0.99232617704398}
2166,his,PERSON,
2170,Mortimer,PERSON,{'PERSON': 0.99970724956427}
2173,his,PERSON,
2256,Holmes,PERSON,{'PERSON': 0.98955883393804}
2263,James Mortimer,PERSON,{'PERSON': 0.99872492962959}
2295,Mr. Holmes,PERSON,
2317,Mr. Sherlock Holmes,PERSON,
2336,Watson,PERSON,{'PERSON': 0.99944154732384}
2367,Mr. Holmes,PERSON,
2445,Sherlock Holmes,PERSON,{'PERSON': 0.99910071715128}
2479,he,PERSON,
2521,He,PERSON,
2538,Holmes,PERSON,{'PERSON': 0.99753417910303}
2543,his,PERSON,
2552,he,PERSON,
2594,last night,TIME,{'TIME': 0.91459052809416}
2567,he,PERSON,
2630,Mr. Holmes,PERSON,
2671,Europe,LOCATION,{'LOCATION': 0.930387662133}
2693,Holmes,PERSON,{'PERSON': 0.96716454147211}
2709,Monsieur Bertillon,PERSON,{'PERSON': 0.86994406876974}
2724,him,PERSON,
2773,Holmes,PERSON,{'PERSON': 0.97136861611171}
2780,Mortimer,PERSON,{'PERSON': 0.99956598839424}
2824,James Mortimer,PERSON,{'PERSON': 0.99982954393755}
2839,Holmes,PERSON,{'PERSON': 0.98579531475046}
2930,1730,DATE,{'DATE': 0.79959919235815}
2942,Mortimer,PERSON,{'PERSON': 0.999816948132}
2946,his,PERSON,
2962,Charles Baskerville,PERSON,{'PERSON': 0.99993614519502}
2979,Devonshire,LOCATION,{'LOCATION': 0.94020144930017}
2987,his,PERSON,
2993,his,PERSON,
2997,He,PERSON,
3020,he,PERSON,
3028,his,PERSON,
3041,him,PERSON,
3044,Holmes,PERSON,{'PERSON': 0.99729773170996}
3047,his,PERSON,
3056,his,PERSON,
3064,Watson,PERSON,{'PERSON': 0.74379118823777}
3095,his,PERSON,
3113,Baskerville Hall,PERSON,{'PERSON': 0.8667625369756}
3156,Baskerville,PERSON,{'PERSON': 0.96275562610862}
3226,Holmes,PERSON,{'PERSON': 0.99700494653234}
3230,his,PERSON,
3234,his,PERSON,
3242,his,PERSON,
3252,Mortimer,PERSON,{'PERSON': 0.99977703624448}
3286,Baskervilles,ORGANIZATION,{'ORGANIZATION': 0.72018065836921}
3302,Hugo Baskerville,PERSON,{'PERSON': 0.94781331327707}
3320,his,PERSON,
3445,Clarendon,PERSON,{'PERSON': 0.64685531006118}
3457,Baskerville,PERSON,{'PERSON': 0.77039472620613}
3472,he,PERSON,
3524,West,LOCATION,{'LOCATION': 0.577070452647}
3489,his,PERSON,
3509,him,PERSON,
3518,his,PERSON,
3562,Baskerville,LOCATION,{'LOCATION': 0.81539819029268}
3580,him,PERSON,
3583,she,PERSON,
3585,his,PERSON,
3605,his,PERSON,
3622,her,PERSON,
3631,he,PERSON,
3653,Hugo,PERSON,{'PERSON': 0.73327193561373}
3639,her,PERSON,
3655,his,PERSON,
3707,Hugo Baskerville,PERSON,{'PERSON': 0.99805703220284}
3680,her,PERSON,
3695,her,PERSON,
3711,he,PERSON,
3733,her,PERSON,
3735,she,PERSON,
3768,she,PERSON,
3791,her,PERSON,
3804,Hugo,PERSON,{'PERSON': 0.63982997299988}
3806,his,PERSON,
3822,his,PERSON,
3843,he,PERSON,
3864,he,PERSON,
3876,him,PERSON,
3879,he,PERSON,
3887,he,PERSON,
3893,his,PERSON,
3903,he,PERSON,
3947,her,PERSON,
3949,Whereat Hugo,PERSON,{'PERSON': 0.71944689390973}
3958,his,PERSON,
3964,his,PERSON,
3982,he,PERSON,
4125,she,PERSON,
4129,her,PERSON,
4157,him,PERSON,
4161,he,PERSON,
4182,he,PERSON,
4190,he,PERSON,
4193,he,PERSON,
4205,her,PERSON,
4223,Hugo Baskerville,PERSON,{'PERSON': 0.90426424740876}
4219,he,PERSON,
4228,his,PERSON,
4237,him,PERSON,
4327,he,PERSON,
4339,his,PERSON,
4523,she,PERSON,
4553,Hugo Baskerville,PERSON,{'PERSON': 0.59763967666054}
4541,her,PERSON,
4557,her,PERSON,
4584,his,PERSON,
4629,Hugo Baskerville,PERSON,{'PERSON': 0.63676654276279}
4677,he,PERSON,
4788,Providence,LOCATION,{'LOCATION': 0.95527767801825}
4812,Providence,LOCATION,{'LOCATION': 0.81775192042775}
4852,Hugo Baskerville,PERSON,{'PERSON': 0.99744497056688}
4857,Rodger,PERSON,{'PERSON': 0.99182152412085}
4859,John,PERSON,{'PERSON': 0.83289475837856}
4871,Elizabeth,PERSON,{'PERSON': 0.99815981276489}
4855,his,PERSON,
4877,Mortimer,PERSON,{'PERSON': 0.9998331336821}
4896,Mr. Sherlock Holmes,PERSON,
4884,he,PERSON,
4886,his,PERSON,
4890,his,PERSON,
4908,his,PERSON,
4919,he,PERSON,
4940,Mortimer,PERSON,{'PERSON': 0.99983127324612}
4947,his,PERSON,
4953,Mr. Holmes,PERSON,
4969,Devon County,LOCATION,{'LOCATION': 0.96762578804611}
4973,May 14th,DATE,{'DATE': 0.90332564147403}
4993,Charles Baskerville,PERSON,{'PERSON': 0.99713769438704}
5012,his,PERSON,
5033,Charles Baskerville,PERSON,{'PERSON': 0.99985792688164}
5047,Mid-Devon,LOCATION,{'LOCATION': 0.61114159280768}
5020,his,PERSON,
5063,Charles,PERSON,{'PERSON': 0.9980211313009}
5067,Baskerville Hall,LOCATION,{'LOCATION': 0.94529624858685}
5074,his,PERSON,
5096,him,PERSON,
5129,his,PERSON,
5138,him,PERSON,
5145,his,PERSON,
5149,Charles,PERSON,{'PERSON': 0.99670466841996}
5162,South African,MISC,{'MISC': 0.99791217670859}
5187,England,LOCATION,{'LOCATION': 0.99971245186509}
5180,he,PERSON,
5182,his,PERSON,
5203,Baskerville Hall,LOCATION,{'LOCATION': 0.89410358499774}
5197,he,PERSON,
5200,his,PERSON,
5225,his,PERSON,
5234,his,PERSON,
5247,his,PERSON,
5253,his,PERSON,
5265,his,PERSON,
5269,His,PERSON,
5294,Charles,PERSON,{'PERSON': 0.99246969797968}
5353,Charles,PERSON,{'PERSON': 0.9991336126571}
5397,Baskerville Hall,LOCATION,{'LOCATION': 0.67294840587136}
5405,Barrymore,PERSON,{'PERSON': 0.98297507077626}
5381,his,PERSON,
5384,he,PERSON,
5388,his,PERSON,
5393,his,PERSON,
5433,Charles,PERSON,{'PERSON': 0.99599064598734}
5470,James Mortimer,PERSON,{'PERSON': 0.99993993875403}
5500,Charles Baskerville,PERSON,{'PERSON': 0.99975277465575}
5517,Yew Alley,PERSON,{'PERSON': 0.46465075705602}
5520,Baskerville Hall,LOCATION,{'LOCATION': 0.9672365611706}
5527,Barrymores,ORGANIZATION,{'ORGANIZATION': 0.89028830701003}
5533,his,PERSON,
5540,May,DATE,{'DATE': 0.75988658963316}
5542,Charles,PERSON,{'PERSON': 0.99874522736626}
5552,London,LOCATION,{'LOCATION': 0.9927531854497}
5557,Barrymore,PERSON,{'PERSON': 0.98383216038279}
5545,his,PERSON,
5560,his,PERSON,
5565,he,PERSON,
5571,his,PERSON,
5580,he,PERSON,
5590,He,PERSON,
5597,Barrymore,PERSON,{'PERSON': 0.84970736616134}
5619,his,PERSON,
5630,Charles,PERSON,{'PERSON': 0.99718985153629}
5663,Charles,PERSON,{'PERSON': 0.99657513635452}
5677,Alley,LOCATION,{'LOCATION': 0.5158922222492}
5672,He,PERSON,
5689,his,PERSON,
5705,Barrymore,PERSON,{'PERSON': 0.98607979531739}
5707,his,PERSON,
5718,he,PERSON,
5725,he,PERSON,
5735,his,PERSON,
5739,Murphy,PERSON,{'PERSON': 0.64314802442491}
5760,he,PERSON,
5763,his,PERSON,
5774,He,PERSON,
5777,he,PERSON,
5802,Charles,PERSON,{'PERSON': 0.99847427686107}
5824,Mortimer,PERSON,{'PERSON': 0.99984118755249}
5834,his,PERSON,
5841,him,PERSON,
5916,Charles,PERSON,{'PERSON': 0.99695562351225}
5972,Baskerville Hall,LOCATION,{'LOCATION': 0.48795197361331}
5984,Mr. Henry Baskerville,PERSON,
5998,Charles Baskerville,PERSON,{'PERSON': 0.99980499649365}
5989,he,PERSON,
6013,America,LOCATION,{'LOCATION': 0.99518758320702}
6025,him,PERSON,
6027,his,PERSON,
6033,Mortimer,PERSON,{'PERSON': 0.99986207542174}
6035,his,PERSON,
6041,his,PERSON,
6051,Mr. Holmes,PERSON,
6061,Charles Baskerville,PERSON,{'PERSON': 0.99986826787876}
6073,Sherlock Holmes,PERSON,{'PERSON': 0.99954829398989}
6130,English,MISC,{'MISC': 0.99999851657215}
6161,He,PERSON,
6166,his,PERSON,
6174,his,PERSON,
6189,Mortimer,PERSON,{'PERSON': 0.99979542438314}
6253,Baskerville Hall,LOCATION,{'LOCATION': 0.5804332188876}
6350,Charles Baskerville,PERSON,{'PERSON': 0.99973671035257}
6357,Mr. Frankland,PERSON,
6361,Lafter Hall,LOCATION,{'LOCATION': 0.91522630381608}
6365,Mr. Stapleton,PERSON,
6383,Charles,PERSON,{'PERSON': 0.99923137042962}
6393,his,PERSON,
6418,South Africa,LOCATION,{'LOCATION': 0.99960943580532}
6436,Bushman,PERSON,{'PERSON': 0.6026595585996}
6410,He,PERSON,
6455,Charles,PERSON,{'PERSON': 0.99734001256547}
6466,He,PERSON,
6486,he,PERSON,
6490,his,PERSON,
6497,him,PERSON,
6515,Mr. Holmes,PERSON,
6518,he,PERSON,
6527,his,PERSON,
6535,he,PERSON,
6541,his,PERSON,
6555,him,PERSON,
6563,he,PERSON,
6592,he,PERSON,
6617,his,PERSON,
6630,He,PERSON,
6635,his,PERSON,
6651,him,PERSON,
6656,his,PERSON,
6712,he,PERSON,
6750,his,PERSON,
6759,evening,TIME,{'TIME': 0.64449770532066}
6756,him,PERSON,
6773,he,PERSON,
6778,he,PERSON,
6828,his,PERSON,
6842,Charles,PERSON,{'PERSON': 0.9991101067262}
6848,London,LOCATION,{'LOCATION': 0.99679306461908}
6850,His,PERSON,
6865,he,PERSON,
6884,his,PERSON,
6900,him,PERSON,
6906,Mr. Stapleton,PERSON,
6917,his,PERSON,
6943,Charles,PERSON,{'PERSON': 0.99727822361724}
6946,Barrymore,PERSON,{'PERSON': 0.82423848123676}
6956,Perkins,PERSON,{'PERSON': 0.85925620132249}
6976,Baskerville Hall,LOCATION,{'LOCATION': 0.58897619394929}
7005,Yew Alley,LOCATION,{'LOCATION': 0.60989941869468}
7047,Barrymore,PERSON,{'PERSON': 0.82814461875499}
7016,he,PERSON,
7071,Charles,PERSON,{'PERSON': 0.99914518780613}
7074,his,PERSON,
