lemma,pos,ner
[,-LRB-,O
in,IN,O
publish,VBG,O
these,DT,O
short,JJ,O
sketch,NNS,O
base,VBN,O
upon,IN,O
the,DT,O
numerous,JJ,O
case,NNS,O
in,IN,O
which,WDT,O
my,PRP$,O
companion,NN,O
's,POS,O
singular,JJ,O
gift,NNS,O
have,VBP,O
make,VBN,O
we,PRP,O
the,DT,O
listener,NNS,O
to,IN,O
",",",",O
and,CC,O
eventually,RB,O
the,DT,O
actor,NNS,O
in,IN,O
",",",",O
some,DT,O
strange,JJ,O
drama,NN,O
",",",",O
it,PRP,O
be,VBZ,O
only,RB,O
natural,JJ,O
that,IN,O
I,PRP,O
should,MD,O
dwell,VB,O
rather,RB,O
upon,IN,O
he,PRP$,O
success,NNS,O
than,IN,O
upon,IN,O
he,PRP$,O
failure,NNS,O
.,.,O
and,CC,O
this,DT,O
not,RB,O
so,RB,O
much,JJ,O
for,IN,O
the,DT,O
sake,NN,O
of,IN,O
he,PRP$,O
reputation,NNS,O
--,:,O
for,IN,O
",",",",O
indeed,RB,O
",",",",O
it,PRP,O
be,VBD,O
when,WRB,O
he,PRP,O
be,VBD,O
at,IN,O
he,PRP$,O
wit,NNS,O
',POS,O
end,NN,O
that,IN,O
he,PRP$,O
energy,NN,O
and,CC,O
he,PRP$,O
versatility,NN,O
be,VBD,O
most,RBS,O
admirable,JJ,O
--,:,O
but,CC,O
because,IN,O
where,WRB,O
he,PRP,O
fail,VBD,O
it,PRP,O
happen,VBD,O
too,RB,O
often,RB,O
that,IN,O
no,DT,O
one,NN,O
else,RB,O
succeed,VBD,O
",",",",O
and,CC,O
that,IN,O
the,DT,O
tale,NN,O
be,VBD,O
leave,VBN,O
forever,RB,O
without,IN,O
a,DT,O
conclusion,NN,O
.,.,O
now,RB,O
and,CC,O
again,RB,O
",",",",O
however,RB,O
",",",",O
it,PRP,O
chance,VBD,O
that,IN,O
even,RB,O
when,WRB,O
he,PRP,O
err,VBD,O
",",",",O
the,DT,O
truth,NN,O
be,VBD,O
still,RB,O
discover,VBN,O
.,.,O
I,PRP,O
have,VBP,O
note,VBN,O
of,IN,O
some,DT,O
half,NN,O
-,HYPH,O
dozen,NN,O
case,NNS,O
of,IN,O
the,DT,O
kind,NN,O
of,IN,O
which,WDT,O
"""",``,O
the,DT,O
adventure,NN,MISC
of,IN,MISC
the,DT,MISC
Musgrave,NNP,MISC
Ritual,NNP,MISC
"""",'',O
and,CC,O
that,DT,O
which,WDT,O
I,PRP,O
be,VBP,O
about,RB,O
to,TO,O
recount,VB,O
be,VBP,O
the,DT,O
two,CD,O
which,WDT,O
present,VBP,O
the,DT,O
strongest,JJS,O
feature,NNS,O
of,IN,O
interest,NN,O
.,.,O
],-RRB-,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
a,DT,O
man,NN,O
who,WP,O
seldom,RB,O
take,VBD,O
exercise,NN,O
for,IN,O
exercise,NN,O
's,POS,O
sake,NN,O
.,.,O
few,JJ,O
man,NNS,O
be,VBD,O
capable,JJ,O
of,IN,O
greater,JJR,O
muscular,JJ,O
effort,NN,O
",",",",O
and,CC,O
he,PRP,O
be,VBD,O
undoubtedly,RB,O
one,CD,O
of,IN,O
the,DT,O
finest,JJS,O
boxer,NNS,O
of,IN,O
he,PRP$,O
weight,NN,O
that,IN,O
I,PRP,O
have,VBP,O
ever,RB,O
see,VBN,O
;,:,O
but,CC,O
he,PRP,O
look,VBD,O
upon,IN,O
aimless,JJ,O
bodily,JJ,O
exertion,NN,O
as,IN,O
a,DT,O
waste,NN,O
of,IN,O
energy,NN,O
",",",",O
and,CC,O
he,PRP,O
seldom,RB,O
bestir,VBD,O
himself,PRP,O
save,VB,O
when,WRB,O
there,EX,O
be,VBD,O
some,DT,O
professional,JJ,O
object,NN,O
to,TO,O
be,VB,O
serve,VBN,O
.,.,O
then,RB,O
he,PRP,O
be,VBD,O
absolutely,RB,O
untiring,JJ,O
and,CC,O
indefatigable,JJ,O
.,.,O
that,IN,O
he,PRP,O
should,MD,O
have,VB,O
keep,VBN,O
himself,PRP,O
in,IN,O
training,NN,O
under,IN,O
such,JJ,O
circumstance,NNS,O
be,VBZ,O
remarkable,JJ,O
",",",",O
but,CC,O
he,PRP$,O
diet,NN,O
be,VBD,O
usually,RB,O
of,IN,O
the,DT,O
sparest,JJS,O
",",",",O
and,CC,O
he,PRP$,O
habit,NNS,O
be,VBD,O
simple,JJ,O
to,IN,O
the,DT,O
verge,NN,O
of,IN,O
austerity,NN,O
.,.,O
save,VB,O
for,IN,O
the,DT,O
occasional,JJ,O
use,NN,O
of,IN,O
cocaine,NN,O
",",",",O
he,PRP,O
have,VBD,O
no,DT,O
vice,NNS,O
",",",",O
and,CC,O
he,PRP,O
only,RB,O
turn,VBD,O
to,IN,O
the,DT,O
drug,NN,O
as,IN,O
a,DT,O
protest,NN,O
against,IN,O
the,DT,O
monotony,NN,O
of,IN,O
existence,NN,O
when,WRB,O
case,NNS,O
be,VBD,O
scanty,JJ,O
and,CC,O
the,DT,O
papers,NNS,O
uninteresting,JJ,O
.,.,O
one,CD,O
day,NN,O
in,IN,O
early,JJ,O
spring,NN,DATE
he,PRP,O
have,VBD,O
so,RB,O
far,RB,O
relaxed,JJ,O
as,IN,O
to,TO,O
go,VB,O
for,IN,O
a,DT,O
walk,NN,O
with,IN,O
I,PRP,O
in,IN,O
the,DT,O
Park,NNP,O
",",",",O
where,WRB,O
the,DT,O
first,JJ,O
faint,JJ,O
shoot,NNS,O
of,IN,O
green,JJ,O
be,VBD,O
break,VBG,O
out,RP,O
upon,IN,O
the,DT,O
elm,NNS,O
",",",",O
and,CC,O
the,DT,O
sticky,JJ,O
spear,NN,O
-,HYPH,O
head,NNS,O
of,IN,O
the,DT,O
chestnut,NNS,O
be,VBD,O
just,RB,O
begin,VBG,O
to,TO,O
burst,VB,O
into,IN,O
they,PRP$,O
five-fold,RB,O
leave,VBZ,O
.,.,O
for,IN,O
two,CD,O
hour,NNS,O
we,PRP,O
ramble,VBD,O
about,RB,O
together,RB,O
",",",",O
in,IN,O
silence,NN,O
for,IN,O
the,DT,O
most,JJS,O
part,NN,O
",",",",O
as,IN,O
befit,NNS,O
two,CD,O
man,NNS,O
who,WP,O
know,VBP,O
each,DT,O
other,JJ,O
intimately,RB,O
.,.,O
it,PRP,O
be,VBD,O
