lemma,pos,ner
a,DT,O
anomaly,NN,O
which,WDT,O
often,RB,O
strike,VBD,O
I,PRP,O
in,IN,O
the,DT,O
character,NN,O
of,IN,O
my,PRP$,O
friend,NN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
that,IN,O
",",",",O
although,IN,O
in,IN,O
he,PRP$,O
method,NNS,O
of,IN,O
thought,NN,O
he,PRP,O
be,VBD,O
the,DT,O
neatest,JJS,O
and,CC,O
most,RBS,O
methodical,JJ,O
of,IN,O
mankind,NN,O
",",",",O
and,CC,O
although,IN,O
also,RB,O
he,PRP,O
affect,VBD,O
a,DT,O
certain,JJ,O
quiet,JJ,O
primness,NN,O
of,IN,O
dress,NN,O
",",",",O
he,PRP,O
be,VBD,O
none,NN,O
the,DT,O
less,RBR,O
in,IN,O
he,PRP$,O
personal,JJ,O
habit,NNS,O
one,CD,O
of,IN,O
the,DT,O
most,RBS,O
untidy,JJ,O
man,NNS,O
that,WDT,O
ever,RB,O
drive,VBD,O
a,DT,O
fellow,NN,O
-,HYPH,O
lodger,NN,O
to,IN,O
distraction,NN,O
.,.,O
not,RB,O
that,IN,O
I,PRP,O
be,VBP,O
in,IN,O
the,DT,O
least,JJS,O
conventional,JJ,O
in,IN,O
that,DT,O
respect,NN,O
myself,PRP,O
.,.,O
the,DT,O
rough,JJ,O
-,HYPH,O
and,CC,O
-,HYPH,O
tumble,NN,O
work,NN,O
in,IN,O
Afghanistan,NNP,LOCATION
",",",",O
come,VBG,O
on,IN,O
the,DT,O
top,NN,O
of,IN,O
a,DT,O
natural,JJ,O
bohemianism,NN,O
of,IN,O
disposition,NN,O
",",",",O
have,VBZ,O
make,VBN,O
I,PRP,O
rather,RB,O
more,RBR,O
lax,JJ,O
than,IN,O
befit,NNS,O
a,DT,O
medical,JJ,O
man,NN,O
.,.,O
but,CC,O
with,IN,O
I,PRP,O
there,EX,O
be,VBZ,O
a,DT,O
limit,NN,O
",",",",O
and,CC,O
when,WRB,O
I,PRP,O
find,VBP,O
a,DT,O
man,NN,O
who,WP,O
keep,VBZ,O
he,PRP$,O
cigar,NNS,O
in,IN,O
the,DT,O
coal,NN,O
-,",",O
scuttle,VB,O
",",",",O
he,PRP$,O
tobacco,NN,O
in,IN,O
the,DT,O
toe,NN,O
end,NN,O
of,IN,O
a,DT,O
persian,JJ,MISC
slipper,NN,O
",",",",O
and,CC,O
he,PRP$,O
unanswered,JJ,O
correspondence,NN,O
transfix,VBN,O
by,IN,O
a,DT,O
jack,NN,O
-,HYPH,O
knife,NN,O
into,IN,O
the,DT,O
very,RB,O
centre,NN,O
of,IN,O
he,PRP$,O
wooden,JJ,O
mantelpiece,NN,O
",",",",O
then,RB,O
I,PRP,O
begin,VBP,O
to,TO,O
give,VB,O
myself,PRP,O
virtuous,JJ,O
air,NNS,O
.,.,O
I,PRP,O
have,VBP,O
always,RB,O
hold,VBN,O
",",",",O
too,RB,O
",",",",O
that,IN,O
pistol,NN,O
practice,NN,O
should,MD,O
be,VB,O
distinctly,RB,O
a,DT,O
open,JJ,O
-,HYPH,O
air,NN,O
pastime,NN,O
;,:,O
and,CC,O
when,WRB,O
Holmes,NNP,PERSON
",",",",O
in,IN,O
one,CD,O
of,IN,O
he,PRP$,O
queer,NN,O
humor,NNS,O
",",",",O
would,MD,O
sit,VB,O
in,IN,O
a,DT,O
arm,NN,O
-,HYPH,O
chair,NN,O
with,IN,O
he,PRP$,O
hair,NN,O
-,HYPH,O
trigger,NN,O
and,CC,O
a,DT,O
hundred,CD,O
Boxer,NNP,O
cartridge,NNS,O
",",",",O
and,CC,O
proceed,VB,O
to,TO,O
adorn,VB,O
the,DT,O
opposite,JJ,O
wall,NN,O
with,IN,O
a,DT,O
patriotic,JJ,O
V.,NNP,O
R.,NNP,O
do,VBN,O
in,IN,O
bullet,NN,O
-,HYPH,O
pock,NNS,O
",",",",O
I,PRP,O
feel,VBD,O
strongly,RB,O
that,IN,O
neither,CC,O
the,DT,O
atmosphere,NN,O
nor,CC,O
the,DT,O
appearance,NN,O
of,IN,O
we,PRP$,O
room,NN,O
be,VBD,O
improve,VBN,O
by,IN,O
it,PRP,O
.,.,O
we,PRP$,O
chamber,NNS,O
be,VBD,O
always,RB,O
full,JJ,O
of,IN,O
chemical,NNS,O
and,CC,O
of,IN,O
criminal,JJ,O
relic,NNS,O
which,WDT,O
have,VBD,O
a,DT,O
way,NN,O
of,IN,O
wander,VBG,O
into,IN,O
unlikely,JJ,O
position,NNS,O
",",",",O
and,CC,O
of,IN,O
turn,VBG,O
up,RP,O
in,IN,O
the,DT,O
butter,NN,O
-,HYPH,O
dish,NN,O
or,CC,O
in,IN,O
even,RB,O
less,JJR,O
desirable,JJ,O
place,NNS,O
.,.,O
but,CC,O
he,PRP$,O
papers,NNS,O
be,VBD,O
my,PRP$,O
great,JJ,O
crux,NN,O
.,.,O
he,PRP,O
have,VBD,O
a,DT,O
horror,NN,O
of,IN,O
destroy,VBG,O
document,NNS,O
",",",",O
especially,RB,O
those,DT,O
which,WDT,O
be,VBD,O
connect,VBN,O
with,IN,O
he,PRP$,O
past,JJ,O
case,NNS,O
",",",",O
and,CC,O
yet,CC,O
it,PRP,O
be,VBD,O
only,RB,O
once,RB,O
in,IN,O
every,DT,O
year,NN,O
or,CC,O
two,CD,O
that,IN,O
he,PRP,O
would,MD,O
muster,VB,O
energy,NN,O
to,IN,O
docket,NN,O
and,CC,O
arrange,VB,O
they,PRP,O
;,:,O
for,IN,O
",",",",O
as,IN,O
I,PRP,O
have,VBP,O
mention,VBN,O
somewhere,RB,O
in,IN,O
these,DT,O
incoherent,JJ,O
memoirs,NNS,O
",",",",O
the,DT,O
outburst,NNS,O
of,IN,O
passionate,JJ,O
energy,NN,O
when,WRB,O
he,PRP,O
perform,VBD,O
the,DT,O
remarkable,JJ,O
feat,NNS,O
with,IN,O
which,WDT,O
he,PRP$,O
name,NN,O
be,VBZ,O
associate,VBN,O
be,VBD,O
follow,VBN,O
by,IN,O
reaction,NNS,O
of,IN,O
lethargy,NN,O
during,IN,O
which,WDT,O
he,PRP,O
would,MD,O
lie,VB,O
about,RB,O
with,IN,O
he,PRP$,O
violin,NN,O
and,CC,O
he,PRP$,O
book,NNS,O
",",",",O
hardly,RB,O
move,VBG,O
save,IN,O
from,IN,O
the,DT,O
sofa,NN,O
to,IN,O
the,DT,O
table,NN,O
.,.,O
thus,RB,O
month,NN,O
after,IN,O
month,NN,O
he,PRP$,O
papers,NNS,O
accumulate,VBN,O
",",",",O
until,IN,O
every,DT,O
corner,NN,O
of,IN,O
the,DT,O
room,NN,O
be,VBD,O
stack,VBN,O
with,IN,O
bundle,NNS,O
of,IN,O
manuscript,NN,O
which,WDT,O
be,VBD,O
on,IN,O
no,DT,O
account,NN,O
to,TO,O
be,VB,O
burn,VBN,O
",",",",O
and,CC,O
which,WDT,O
could,MD,O
not,RB,O
be,VB,O
put,VBN,O
away,RB,O
save,VBN,O
by,IN,O
they,PRP$,O
owner,NN,O
.,.,O
one,CD,O
winter,NN,O
's,POS,O
night,NN,O
",",",",O
as,IN,O
we,PRP,O
sit,VBD,O
together,RB,O
by,IN,O
the,DT,O
fire,NN,O
",",",",O
I,PRP,O
venture,VBD,O
to,TO,O
suggest,VB,O
to,IN,O
he,PRP,O
that,IN,O
",",",",O
as,IN,O
he,PRP,O
have,VBD,O
finish,VBN,O
paste,VBG,O
