lemma,pos,ner
from,IN,O
the,DT,O
year,NNS,O
1894,CD,DATE
to,IN,O
1901,CD,DATE
inclusive,JJ,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
a,DT,O
very,RB,O
busy,JJ,O
man,NN,O
.,.,O
it,PRP,O
be,VBZ,O
safe,JJ,O
to,TO,O
say,VB,O
that,IN,O
there,EX,O
be,VBD,O
no,DT,O
public,JJ,O
case,NN,O
of,IN,O
any,DT,O
difficulty,NN,O
in,IN,O
which,WDT,O
he,PRP,O
be,VBD,O
not,RB,O
consult,VBN,O
during,IN,O
those,DT,O
eight,CD,O
year,NNS,O
",",",",O
and,CC,O
there,EX,O
be,VBD,O
hundred,NNS,O
of,IN,O
private,JJ,O
case,NNS,O
",",",",O
some,DT,O
of,IN,O
they,PRP,O
of,IN,O
the,DT,O
most,RBS,O
intricate,JJ,O
and,CC,O
extraordinary,JJ,O
character,NN,O
",",",",O
in,IN,O
which,WDT,O
he,PRP,O
play,VBD,O
a,DT,O
prominent,JJ,O
part,NN,O
.,.,O
many,JJ,O
startling,JJ,O
success,NNS,O
and,CC,O
a,DT,O
few,JJ,O
unavoidable,JJ,O
failure,NNS,O
be,VBD,O
the,DT,O
outcome,NN,O
of,IN,O
this,DT,O
long,JJ,O
period,NN,O
of,IN,O
continuous,JJ,O
work,NN,O
.,.,O
as,IN,O
I,PRP,O
have,VBP,O
preserve,VBN,O
very,RB,O
full,JJ,O
note,NNS,O
of,IN,O
all,PDT,O
these,DT,O
case,NNS,O
",",",",O
and,CC,O
be,VBD,O
myself,PRP,O
personally,RB,O
engage,VBD,O
in,IN,O
many,JJ,O
of,IN,O
they,PRP,O
",",",",O
it,PRP,O
may,MD,O
be,VB,O
imagine,VBN,O
that,IN,O
it,PRP,O
be,VBZ,O
no,DT,O
easy,JJ,O
task,NN,O
to,TO,O
know,VB,O
which,WDT,O
I,PRP,O
should,MD,O
select,VB,O
to,TO,O
lay,VB,O
before,IN,O
the,DT,O
public,NN,O
.,.,O
I,PRP,O
shall,MD,O
",",",",O
however,RB,O
",",",",O
preserve,VB,O
my,PRP$,O
former,JJ,O
rule,NN,O
",",",",O
and,CC,O
give,VB,O
the,DT,O
preference,NN,O
to,IN,O
those,DT,O
case,NNS,O
which,WDT,O
derive,VBP,O
they,PRP$,O
interest,NN,O
not,RB,O
so,RB,O
much,RB,O
from,IN,O
the,DT,O
brutality,NN,O
of,IN,O
the,DT,O
crime,NN,O
as,IN,O
from,IN,O
the,DT,O
ingenuity,NN,O
and,CC,O
dramatic,JJ,O
quality,NN,O
of,IN,O
the,DT,O
solution,NN,O
.,.,O
for,IN,O
this,DT,O
reason,NN,O
I,PRP,O
will,MD,O
now,RB,O
lay,VB,O
before,IN,O
the,DT,O
reader,NN,O
the,DT,O
fact,NNS,O
connect,VBN,O
with,IN,O
Miss,NNP,PERSON
Violet,NNP,PERSON
Smith,NNP,PERSON
",",",",O
the,DT,O
solitary,JJ,O
cyclist,NN,O
of,IN,O
Charlington,NNP,LOCATION
",",",",O
and,CC,O
the,DT,O
curious,JJ,O
sequel,NN,O
of,IN,O
we,PRP$,O
investigation,NN,O
",",",",O
which,WDT,O
culminate,VBD,O
in,IN,O
unexpected,JJ,O
tragedy,NN,O
.,.,O
it,PRP,O
be,VBZ,O
true,JJ,O
that,IN,O
the,DT,O
circumstance,NNS,O
do,VBD,O
not,RB,O
admit,VB,O
of,IN,O
any,DT,O
striking,JJ,O
illustration,NN,O
of,IN,O
those,DT,O
power,NNS,O
for,IN,O
which,WDT,O
my,PRP$,O
friend,NN,O
be,VBD,O
famous,JJ,O
",",",",O
but,CC,O
there,EX,O
be,VBD,O
some,DT,O
point,NNS,O
about,IN,O
the,DT,O
case,NN,O
which,WDT,O
make,VBD,O
it,PRP,O
stand,VB,O
out,RP,O
in,IN,O
those,DT,O
long,JJ,O
record,NNS,O
of,IN,O
crime,NN,O
from,IN,O
which,WDT,O
I,PRP,O
gather,VBP,O
the,DT,O
material,NN,O
for,IN,O
these,DT,O
little,JJ,O
narrative,NNS,O
.,.,O
on,IN,O
refer,VBG,O
to,IN,O
my,PRP$,O
note,NN,O
-,HYPH,O
book,NN,O
for,IN,O
the,DT,O
year,NN,O
1895,CD,DATE
I,PRP,O
find,VBP,O
that,IN,O
it,PRP,O
be,VBD,O
upon,IN,O
Saturday,NNP,DATE
",",",",O
the,DT,O
23rd,NN,DATE
of,IN,DATE
April,NNP,DATE
",",",",O
that,IN,O
we,PRP,O
first,RB,O
hear,VBD,O
of,IN,O
Miss,NNP,PERSON
Violet,NNP,PERSON
Smith,NNP,PERSON
.,.,O
she,PRP$,O
visit,NN,O
be,VBD,O
",",",",O
I,PRP,O
remember,VBP,O
",",",",O
extremely,RB,O
unwelcome,JJ,O
to,IN,O
Holmes,NNP,PERSON
",",",",O
for,IN,O
he,PRP,O
be,VBD,O
immerse,VBN,O
at,IN,O
the,DT,O
moment,NN,O
in,IN,O
a,DT,O
very,RB,O
abstruse,JJ,O
and,CC,O
complicated,JJ,O
problem,NN,O
concern,VBG,O
the,DT,O
peculiar,JJ,O
persecution,NN,O
to,TO,O
which,WDT,O
John,NNP,PERSON
Vincent,NNP,PERSON
Harden,NNP,PERSON
",",",",O
the,DT,O
well,RB,O
-,HYPH,O
know,VBN,O
tobacco,NN,O
millionaire,NN,O
",",",",O
have,VBD,O
be,VBN,O
subject,VBN,O
.,.,O
my,PRP$,O
friend,NN,O
",",",",O
who,WP,O
love,VBD,O
above,RB,O
all,DT,O
thing,NNS,O
precision,NN,O
and,CC,O
concentration,NN,O
of,IN,O
thought,NN,O
",",",",O
resent,VBN,O
anything,NN,O
which,WDT,O
distract,VBD,O
he,PRP$,O
attention,NN,O
from,IN,O
the,DT,O
matter,NN,O
in,IN,O
hand,NN,O
