occurence,speaker,canonicalSpeaker,text
0,his,Kate Whitney,A patient!
1,Unknown,Kate Whitney,You'll have to go out.
2,Unknown,Kate Whitney,"You will excuse my calling so late,"
3,Kate Whitney,Kate Whitney,"Oh, I'm in such trouble!"
4,Kate Whitney,Kate Whitney,I do so want a little help.
5,James,Unknown,"Why,"
6,James,Unknown,"it is Kate Whitney. How you startled me, Kate! I had not an idea who you were when you came in."
7,James,Unknown,"I didn't know what to do, so I came straight to you."
8,James,Unknown,"It was very sweet of you to come. Now, you must have some wine and water, and sit here comfortably and tell us all about it. Or should you rather that I sent James off to bed?"
9,James,James,"Oh, no, no! I want the doctor's advice and help, too. It's about Isa. He has not been home for two days. I am so frightened about him!"
10,his,his,"Thank you. I have not come to stay,"
11,his,his,"There is a friend of mine here, Mr. Isa Whitney, and I wish to speak with him."
12,his,his,"My God! It's Watson,"
13,Unknown,his,"I say, Watson, what o'clock is it?"
14,Watson,Watson,Nearly eleven.
15,Watson,his,Of what day?
16,Watson,Watson,"Of Friday, June 19th."
17,Watson,his,Good heavens! I thought it was Wednesday. It is Wednesday. What d'you want to frighten a chap for?
18,Watson,his,"I tell you that it is Friday, man. Your wife has been waiting this two days for you. You should be ashamed of yourself!"
19,his,his,"So I am. But you've got mixed, Watson, for I have only been here a few hours, three pipes, four pipes--I forget how many. But I'll go home with you. I wouldn't frighten Kate--poor little Kate. Give me your hand! Have you a cab?"
20,Watson,his,"Yes, I have one waiting."
21,his,his,"Then I shall go in it. But I must owe something. Find what I owe, Watson. I am all off colour. I can do nothing for myself."
22,his,his,"Walk past me, and then look back at me."
23,his,Unknown,Holmes!
24,his,Unknown,what on earth are you doing in this den?
25,his,his,"As low as you can,"
26,his,his,I have excellent ears. If you would have the great kindness to get rid of that sottish friend of yours I should be exceedingly glad to have a little talk with you.
27,his,his,I have a cab outside.
28,Whitney,his,"Then pray send him home in it. You may safely trust him, for he appears to be too limp to get into any mischief. I should recommend you also to send a note by the cabman to your wife to say that you have thrown in your lot with me. If you will wait outside, I shall be with you in five minutes."
29,Unknown,he,"I suppose, Watson,"
30,Neville St. Clair,he,"that you imagine that I have added opium-smoking to cocaine injections, and all the other little weaknesses on which you have favoured me with your medical views."
31,Watson,Watson,I was certainly surprised to find you there.
32,Watson,he,But not more so than I to find you.
33,Watson,Watson,I came to find a friend.
34,Watson,he,And I to find an enemy.
35,Watson,Watson,An enemy?
36,Watson,his,"Yes; one of my natural enemies, or, shall I say, my natural prey. Briefly, Watson, I am in the midst of a very remarkable inquiry, and I have hoped to find a clue in the incoherent ramblings of these sots, as I have done before now. Had I been recognised in that den my life would not have been worth an hour's purchase; for I have used it before now for my own purposes, and the rascally Lascar who runs it has sworn to have vengeance upon me. There is a trap-door at the back of that building, near the corner of Paul's Wharf, which could tell some strange tales of what has passed through it upon the moonless nights."
37,Watson,his,What! You do not mean bodies?
