docTokenBegin,text,ner,nerConfidences
10,Mr. Sherlock Holmes,PERSON,
24,spring of '87,DATE,{'DATE': 0.99400136733253}
19,his,PERSON,
34,Netherland-Sumatra Company,ORGANIZATION,{'ORGANIZATION': 0.45521577715228}
44,Baron Maupertuis,PERSON,{'PERSON': 0.80005427882541}
109,he,PERSON,
111,his,PERSON,
131,14th of April,DATE,{'DATE': 0.995882302143}
140,Lyons,PERSON,{'PERSON': 0.63782935783371}
145,Holmes,PERSON,{'PERSON': 0.98682117658195}
151,Hotel Dulong,LOCATION,{'LOCATION': 0.64849155083686}
162,his,PERSON,
178,his,PERSON,
182,his,PERSON,
207,he,PERSON,
225,he,PERSON,
231,his,PERSON,
264,Europe,LOCATION,{'LOCATION': 0.99738650551374}
245,his,PERSON,
250,him,PERSON,
268,his,PERSON,
272,his,PERSON,
284,him,PERSON,
321,Europe,LOCATION,{'LOCATION': 0.99874210023664}
296,he,PERSON,
310,he,PERSON,
327,him,PERSON,
329,his,PERSON,
340,Baker Street,LOCATION,{'LOCATION': 0.99839377221565}
367,spring,DATE,{'DATE': 0.7709130874685}
385,Hayter,PERSON,{'PERSON': 0.99926142359207}
395,Afghanistan,LOCATION,{'LOCATION': 0.99736442161066}
403,Reigate,LOCATION,{'LOCATION': 0.99072805454075}
405,Surrey,LOCATION,{'LOCATION': 0.98180344453462}
416,him,PERSON,
425,he,PERSON,
437,he,PERSON,
443,his,PERSON,
446,him,PERSON,
457,Holmes,PERSON,{'PERSON': 0.99628978437255}
490,Lyons,PERSON,{'PERSON': 0.95865636357343}
469,he,PERSON,
477,he,PERSON,
499,Hayter,PERSON,{'PERSON': 0.99789361982835}
524,Holmes,PERSON,{'PERSON': 0.99285507994114}
514,he,PERSON,
526,he,PERSON,
551,Holmes,PERSON,{'PERSON': 0.99541579706196}
558,Hayter,PERSON,{'PERSON': 0.99619205016842}
567,Eastern,MISC,{'MISC': 0.99556998716232}
563,his,PERSON,
577,he,PERSON,
622,Acton,PERSON,{'PERSON': 0.9251900131229}
638,Monday,DATE,{'DATE': 0.99912434930218}
633,his,PERSON,
660,Holmes,PERSON,{'PERSON': 0.96916708266579}
663,his,PERSON,
698,Mr. Holmes,PERSON,
708,Holmes,PERSON,{'PERSON': 0.99417538580249}
715,his,PERSON,
722,him,PERSON,
775,Pope,PERSON,{'PERSON': 0.89182872292824}
831,Holmes,PERSON,{'PERSON': 0.95627305710257}
850,he,PERSON,
903,Holmes,PERSON,{'PERSON': 0.9966435896599}
905,his,PERSON,
991,his,PERSON,
996,him,PERSON,
1008,he,PERSON,
1014,Cunningham,PERSON,{'PERSON': 0.76413597466803}
1028,his,PERSON,
1045,Jove,PERSON,{'PERSON': 0.77744831189427}
1049,he,PERSON,
1061,his,PERSON,
1072,William the coachman,PERSON,{'PERSON': 0.68312391302491}
1092,him,PERSON,
1103,He,PERSON,
1124,William,PERSON,{'PERSON': 0.99479289555254}
1114,He,PERSON,
1127,him,PERSON,
1130,his,PERSON,
1134,his,PERSON,
1148,last night,TIME,{'TIME': 0.78130598278879}
1178,his,PERSON,
1209,Cunningham,LOCATION,{'LOCATION': 0.55895323807985}
1190,he,PERSON,
1199,he,PERSON,
1218,He,PERSON,
1232,his,PERSON,
1251,Acton,PERSON,{'PERSON': 0.42364811360969}
1265,Holmes,PERSON,{'PERSON': 0.94784224320019}
1341,last night,TIME,{'TIME': 0.53123177171734}
1362,England,LOCATION,{'LOCATION': 0.99897974260767}
1410,Acton,PERSON,{'PERSON': 0.60871767825464}
1413,Cunningham,PERSON,{'PERSON': 0.92998771395368}
1419,he,PERSON,
1471,Acton,PERSON,{'PERSON': 0.60141573291984}
1477,Cunningham,PERSON,{'PERSON': 0.83643752572735}
1513,Holmes,PERSON,{'PERSON': 0.99561913938797}
1508,him,PERSON,
1522,Watson,PERSON,{'PERSON': 0.97457676248954}
1534,Forrester,PERSON,{'PERSON': 0.8654311837845}
1588,Mr. Holmes,PERSON,
1591,Baker Street,LOCATION,{'LOCATION': 0.98156895279844}
1574,he,PERSON,
1600,his,PERSON,
1623,Mr. Holmes,PERSON,
1634,Watson,PERSON,{'PERSON': 0.9768801356132}
1638,he,PERSON,
1668,he,PERSON,
1672,his,PERSON,
1693,Acton,PERSON,{'PERSON': 0.43226036241369}
1747,William Kirwan,PERSON,{'PERSON': 0.9999949141577}
1735,he,PERSON,
1752,Mr. Cunningham,PERSON,
1762,Mr. Alec Cunningham,PERSON,
1755,him,PERSON,
1766,him,PERSON,
1783,Mr. Cunningham,PERSON,
1792,Mr. Alec,PERSON,
1799,his,PERSON,
1807,William the coachman,PERSON,{'PERSON': 0.48659941562333}
1815,Mr. Alec,PERSON,
1834,he,PERSON,
1842,he,PERSON,
1873,Mr. Cunningham,PERSON,
1879,his,PERSON,
1886,he,PERSON,
1895,him,PERSON,
1899,Mr. Alec,PERSON,
1905,he,PERSON,
1924,he,PERSON,
1953,he,PERSON,
1961,him,PERSON,
1969,William,PERSON,{'PERSON': 0.93749290527218}
1974,he,PERSON,
1978,he,PERSON,
1987,He,PERSON,
1993,his,PERSON,
1998,he,PERSON,
2007,he,PERSON,
2027,Acton,PERSON,{'PERSON': 0.35537171398657}
2054,William,PERSON,{'PERSON': 0.81034483853119}
2057,him,PERSON,
2062,William,PERSON,{'PERSON': 0.991179881816}
2066,his,PERSON,
2074,She,PERSON,
2088,her,PERSON,
2094,her,PERSON,
2103,she,PERSON,
2123,He,PERSON,
2141,his,PERSON,
2189,his,PERSON,
2195,his,PERSON,
2206,him,PERSON,
2208,he,PERSON,
2229,Holmes,PERSON,{'PERSON': 0.99377866738649}
2287,William Kirwan,PERSON,{'PERSON': 0.99992606790689}
2291,he,PERSON,
2310,He,PERSON,
2314,him,PERSON,
