docTokenBegin,text,ner,nerConfidences
31,Mr. Sherlock Holmes,PERSON,
82,Scarlet,LOCATION,{'LOCATION': 0.68880271847561}
64,his,PERSON,
90,his,PERSON,
168,James Moriarty,PERSON,{'PERSON': 0.99949137657278}
174,his,PERSON,
250,"May 6th, 1891",DATE,{'DATE': 0.99314407621168}
261,English,MISC,{'MISC': 0.9999946210277}
264,May 7th,DATE,{'DATE': 0.97272959431013}
322,Moriarty,PERSON,{'PERSON': 0.99849298696748}
324,Mr. Sherlock Holmes,PERSON,
353,Holmes,PERSON,{'PERSON': 0.63103560210133}
396,1890,DATE,{'DATE': 0.90232577331625}
362,He,PERSON,
372,he,PERSON,
377,his,PERSON,
418,spring of 1891,DATE,{'DATE': 0.97926933416212}
434,French,MISC,{'MISC': 0.99999700190228}
449,Holmes,PERSON,{'PERSON': 0.51883774840129}
453,Narbonne,ORGANIZATION,{'ORGANIZATION': 0.52208807470074}
456,Nimes,ORGANIZATION,{'ORGANIZATION': 0.90741609978825}
466,France,LOCATION,{'LOCATION': 0.99976428586035}
428,he,PERSON,
463,his,PERSON,
497,April 24th,DATE,{'DATE': 0.87804517972879}
486,him,PERSON,
504,he,PERSON,
528,he,PERSON,
583,Holmes,PERSON,{'PERSON': 0.98569910726363}
585,his,PERSON,
596,he,PERSON,
634,Holmes,PERSON,{'PERSON': 0.97917788116586}
652,Watson,PERSON,{'PERSON': 0.84467390401277}
698,He,PERSON,
704,his,PERSON,
714,him,PERSON,
727,he,PERSON,
770,He,PERSON,
773,his,PERSON,
788,his,PERSON,
808,he,PERSON,
826,his,PERSON,
831,Mrs. Watson,PERSON,
837,She,PERSON,
913,Holmes,PERSON,{'PERSON': 0.96933612848463}
925,his,PERSON,
933,his,PERSON,
941,He,PERSON,
952,his,PERSON,
958,his,PERSON,
961,his,PERSON,
964,he,PERSON,
977,Moriarty,PERSON,{'PERSON': 0.99854266805439}
981,he,PERSON,
1002,he,PERSON,
1009,London,LOCATION,{'LOCATION': 0.90789040938537}
1017,him,PERSON,
1023,him,PERSON,
1037,Watson,PERSON,{'PERSON': 0.92151980863652}
1057,him,PERSON,
1104,Scandinavia,LOCATION,{'LOCATION': 0.94730125771752}
1109,French,MISC,{'MISC': 0.99998966778179}
1152,Watson,PERSON,{'PERSON': 0.92412370921615}
1172,Moriarty,PERSON,{'PERSON': 0.99242486092566}
1178,London,LOCATION,{'LOCATION': 0.99294913425718}
1185,he,PERSON,
1192,His,PERSON,
1200,He,PERSON,
1240,European,MISC,{'MISC': 0.99909360142247}
1227,he,PERSON,
1251,Mathematical Chair,MISC,{'MISC': 0.66086493768002}
1248,he,PERSON,
1272,him,PERSON,
1291,his,PERSON,
1309,his,PERSON,
1338,London,LOCATION,{'LOCATION': 0.99795417447858}
1318,him,PERSON,
1326,he,PERSON,
1331,his,PERSON,
1341,he,PERSON,
1377,Watson,PERSON,{'PERSON': 0.90280519821034}
1390,London,LOCATION,{'LOCATION': 0.98623835622552}
1526,Moriarty,PERSON,{'PERSON': 0.95512661192428}
1535,Napoleon,PERSON,{'PERSON': 0.91685636393232}
1539,Watson,PERSON,{'PERSON': 0.92003297608169}
1532,He,PERSON,
1541,He,PERSON,
1562,He,PERSON,
1574,He,PERSON,
1583,He,PERSON,
1606,he,PERSON,
1616,He,PERSON,
1621,He,PERSON,
1626,his,PERSON,
1693,his,PERSON,
1696,his,PERSON,
1725,Watson,PERSON,{'PERSON': 0.61198676939175}
1781,Watson,PERSON,{'PERSON': 0.92256925527895}
1813,his,PERSON,
1821,his,PERSON,
1827,he,PERSON,
1844,he,PERSON,
1853,him,PERSON,
1873,him,PERSON,
1893,Monday,DATE,{'DATE': 0.99727937416515}
1911,his,PERSON,
1988,Moriarty,PERSON,{'PERSON': 0.99896004408715}
1997,he,PERSON,
2004,He,PERSON,
2016,him,PERSON,
2021,he,PERSON,
2032,him,PERSON,
2099,He,PERSON,
2108,him,PERSON,
2146,Moriarty,PERSON,{'PERSON': 0.99858591163744}
2158,Watson,PERSON,{'PERSON': 0.88514534775933}
2187,His,PERSON,
2195,He,PERSON,
2202,his,PERSON,
2212,his,PERSON,
2219,his,PERSON,
2222,He,PERSON,
2241,his,PERSON,
2244,His,PERSON,
2253,his,PERSON,
2273,He,PERSON,
2281,his,PERSON,
2300,he,PERSON,
2332,his,PERSON,
2352,him,PERSON,
2377,him,PERSON,
2383,his,PERSON,
2398,He,PERSON,
2409,his,PERSON,
2434,he,PERSON,
2492,he,PERSON,
2521,He,PERSON,
2523,his,PERSON,
2526,his,PERSON,
2539,he,PERSON,
2549,he,PERSON,
2565,January,DATE,{'DATE': 0.9918111725291}
2569,he,PERSON,
2583,February,DATE,{'DATE': 0.96654013362744}
2595,March,DATE,{'DATE': 0.97149945042339}
2611,April,DATE,{'DATE': 0.98287216190422}
2665,Mr. Holmes,PERSON,
2670,he,PERSON,
2673,his,PERSON,
2689,Monday,DATE,{'DATE': 0.98103190862252}
2702,he,PERSON,
2833,he,PERSON,
2881,Mr. Holmes,PERSON,
2924,He,PERSON,
2935,his,PERSON,
2947,he,PERSON,
2979,Monday,DATE,{'DATE': 0.99933193426549}
2991,Mr. Holmes,PERSON,
3063,Mr. Moriarty,PERSON,
3120,he,PERSON,
3126,his,PERSON,
3150,Moriarty,PERSON,{'PERSON': 0.99885811007296}
3164,His,PERSON,
3198,him,PERSON,
3213,his,PERSON,
3243,Watson,PERSON,{'PERSON': 0.93215806217463}
3246,Moriarty,PERSON,{'PERSON': 0.99959948955671}
3257,his,PERSON,
3270,Oxford Street,LOCATION,{'LOCATION': 0.98164444586812}
3281,Bentinck Street,LOCATION,{'LOCATION': 0.98528120357924}
3286,Welbeck Street,LOCATION,{'LOCATION': 0.96062930434338}
3328,Marylebone Lane,PERSON,{'PERSON': 0.9404212068812}
3345,Watson,PERSON,{'PERSON': 0.97635445413995}
3442,Pall Mall,LOCATION,{'LOCATION': 0.98281281014169}
3475,him,PERSON,
3482,him,PERSON,
3546,Watson,PERSON,{'PERSON': 0.95818182942053}
3603,he,PERSON,
3806,Watson,PERSON,{'PERSON': 0.97876550021259}
3841,Europe,LOCATION,{'LOCATION': 0.99869512275495}
3861,Victoria,LOCATION,{'LOCATION': 0.84205506921577}
3928,he,PERSON,
4005,Victoria,LOCATION,{'LOCATION': 0.75011767632871}
4010,Continental,ORGANIZATION,{'ORGANIZATION': 0.89202986244261}
4064,Holmes,PERSON,{'PERSON': 0.97391671866098}
4077,he,PERSON,
4079,he,PERSON,
4086,he,PERSON,
4098,him,PERSON,
4132,Mortimer Street,LOCATION,{'LOCATION': 0.9556598297144}
4114,he,PERSON,
4146,him,PERSON,
4155,Holmes,PERSON,{'PERSON': 0.9707396187826}
4237,Victoria Station,LOCATION,{'LOCATION': 0.9841849493132}
4244,he,PERSON,
4287,Holmes,PERSON,{'PERSON': 0.97466002212608}
4320,Holmes,PERSON,{'PERSON': 0.84270668084253}
4365,him,PERSON,
4376,Italian,MISC,{'MISC': 0.99999987997865}
4391,English,MISC,{'MISC': 0.99998406285773}
4402,Paris,LOCATION,{'LOCATION': 0.99585061985935}
4389,his,PERSON,
4394,his,PERSON,
4436,Italian,MISC,{'MISC': 0.99999936023469}
4461,Italian,MISC,{'MISC': 0.99999869369782}
4468,English,MISC,{'MISC': 0.99998588724713}
4451,him,PERSON,
4453,his,PERSON,
4467,his,PERSON,
4511,night,TIME,{'TIME': 0.53186303576976}
4500,his,PERSON,
4530,Watson,PERSON,{'PERSON': 0.98382262871796}
4561,his,PERSON,
4616,Holmes,PERSON,{'PERSON': 0.99218888673174}
4622,he,PERSON,
4649,he,PERSON,
4670,Moriarty,PERSON,{'PERSON': 0.98101837846525}
4682,Holmes,PERSON,{'PERSON': 0.95794529367485}
4694,his,PERSON,
4703,his,PERSON,
4707,he,PERSON,
4758,Holmes,PERSON,{'PERSON': 0.97100812892734}
4762,He,PERSON,
4776,his,PERSON,
4779,he,PERSON,
4797,Watson,PERSON,{'PERSON': 0.99344479447829}
4810,Baker Street,LOCATION,{'LOCATION': 0.95634843708618}
4817,Baker Street,LOCATION,
4828,last night,TIME,{'TIME': 0.92099493124941}
4842,Holmes,PERSON,{'PERSON': 0.91313823981748}
4897,Moriarty,PERSON,{'PERSON': 0.94972085218526}
4899,Victoria,LOCATION,{'LOCATION': 0.93660199298612}
4954,Mycroft,PERSON,{'PERSON': 0.99795024798801}
4985,Moriarty,PERSON,{'PERSON': 0.9787705156595}
5012,him,PERSON,
5021,Watson,PERSON,{'PERSON': 0.97366114393917}
5083,him,PERSON,
5089,he,PERSON,
5132,Canterbury,LOCATION,{'LOCATION': 0.71503502081702}
5151,He,PERSON,
5171,him,PERSON,
5174,his,PERSON,
5211,Monday,DATE,{'DATE': 0.99451139976149}
5237,Canterbury,LOCATION,{'LOCATION': 0.86725710132693}
5256,Newhaven,LOCATION,{'LOCATION': 0.99492571434203}
5262,Dieppe,LOCATION,{'LOCATION': 0.95437080565779}
5264,Moriarty,PERSON,{'PERSON': 0.98766491269236}
5278,Paris,LOCATION,{'LOCATION': 0.99817299897952}
5273,He,PERSON,
5328,Switzerland,LOCATION,{'LOCATION': 0.99937532617114}
5331,Luxembourg,LOCATION,{'LOCATION': 0.99966195101773}
5333,Basle,LOCATION,{'LOCATION': 0.9886401458463}
5337,Canterbury,LOCATION,{'LOCATION': 0.60833671049316}
5362,Newhaven,LOCATION,{'LOCATION': 0.99781784478734}
5383,Holmes,PERSON,{'PERSON': 0.99431345275972}
5401,he,PERSON,
5409,Kentish,LOCATION,{'LOCATION': 0.96056558402545}
5480,Holmes,PERSON,{'PERSON': 0.98281796117623}
5475,he,PERSON,
5517,he,PERSON,
5532,he,PERSON,
5536,he,PERSON,
5550,he,PERSON,
5598,Newhaven,LOCATION,{'LOCATION': 0.99570559133435}
5606,Brussels,LOCATION,{'LOCATION': 0.9994202196999}
5607,that night,TIME,{'TIME': 0.77862423015933}
5624,Strasburg,PERSON,{'PERSON': 0.94460595587763}
5628,Monday,DATE,{'DATE': 0.98774849438871}
5630,Holmes,PERSON,{'PERSON': 0.90727172747082}
5635,London,LOCATION,{'LOCATION': 0.99422346351743}
5653,Holmes,PERSON,{'PERSON': 0.94459406403781}
5678,he,PERSON,
5682,He,PERSON,
5688,Moriarty,PERSON,{'PERSON': 0.96481631068126}
5702,him,PERSON,
5704,He,PERSON,
5727,him,PERSON,
5751,England,LOCATION,{'LOCATION': 0.99953945522671}
5753,Watson,PERSON,{'PERSON': 0.96658262940966}
5785,London,LOCATION,{'LOCATION': 0.9942450004086}
5778,He,PERSON,
5782,he,PERSON,
5790,his,PERSON,
5793,he,PERSON,
5796,his,PERSON,
5805,He,PERSON,
5818,he,PERSON,
5860,Strasbourg,LOCATION,{'LOCATION': 0.98133895508089}
5890,Geneva,LOCATION,{'LOCATION': 0.98890813438858}
5903,Rhone,LOCATION,{'LOCATION': 0.83476207408678}
5911,Leuk,LOCATION,{'LOCATION': 0.93030733477319}
5919,Gemmi Pass,LOCATION,{'LOCATION': 0.73365808659166}
5933,Interlaken,LOCATION,{'LOCATION': 0.97264032053739}
5936,Meiringen,LOCATION,{'LOCATION': 0.99530719705351}
5949,spring,DATE,{'DATE': 0.84109220513134}
5972,Holmes,PERSON,{'PERSON': 0.92961053763731}
5979,him,PERSON,
5984,Alpine,MISC,{'MISC': 0.96375321931937}
5997,his,PERSON,
6002,his,PERSON,
6013,he,PERSON,
6087,Holmes,PERSON,{'PERSON': 0.95088438586512}
6105,his,PERSON,
6119,him,PERSON,
6138,He,PERSON,
6143,he,PERSON,
6160,he,PERSON,
6168,his,PERSON,
6170,he,PERSON,
6185,him,PERSON,
6211,Moriarty,PERSON,{'PERSON': 0.99905224372126}
6194,he,PERSON,
6201,he,PERSON,
6212,he,PERSON,
6216,his,PERSON,
6236,Watson,PERSON,{'PERSON': 0.98617243535886}
6248,he,PERSON,
6271,London,LOCATION,{'LOCATION': 0.99389518139692}
6338,Watson,PERSON,{'PERSON': 0.87020491890842}
6361,Europe,LOCATION,{'LOCATION': 0.9980468078543}
