lemma,pos,ner
to,TO,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
she,PRP,O
be,VBZ,O
always,RB,O
the,DT,O
woman,NN,O
.,.,O
I,PRP,O
have,VBP,O
seldom,RB,O
hear,VBN,O
he,PRP,O
mention,VB,O
she,PRP$,O
under,IN,O
any,DT,O
other,JJ,O
name,NN,O
.,.,O
in,IN,O
he,PRP$,O
eye,NNS,O
she,PRP,O
eclipse,VBZ,O
and,CC,O
predominate,VBZ,O
the,DT,O
whole,NN,O
of,IN,O
she,PRP$,O
sex,NN,O
.,.,O
it,PRP,O
be,VBD,O
not,RB,O
that,IN,O
he,PRP,O
feel,VBD,O
any,DT,O
emotion,NN,O
akin,JJ,O
to,TO,O
love,VB,O
for,IN,O
Irene,NNP,PERSON
Adler,NNP,PERSON
.,.,O
all,DT,O
emotion,NNS,O
",",",",O
and,CC,O
that,IN,O
one,CD,O
particularly,RB,O
",",",",O
be,VBD,O
abhorrent,JJ,O
to,IN,O
he,PRP$,O
cold,NN,O
",",",",O
precise,JJ,O
but,CC,O
admirably,RB,O
balanced,JJ,O
mind,NN,O
.,.,O
he,PRP,O
be,VBD,O
",",",",O
I,PRP,O
take,VBP,O
it,PRP,O
",",",",O
the,DT,O
most,RBS,O
perfect,JJ,O
reasoning,NN,O
and,CC,O
observe,VBG,O
machine,NN,O
that,IN,O
the,DT,O
world,NN,O
have,VBZ,O
see,VBN,O
",",",",O
but,CC,O
as,IN,O
a,DT,O
lover,NN,O
he,PRP,O
would,MD,O
have,VB,O
place,VBN,O
himself,PRP,O
in,IN,O
a,DT,O
false,JJ,O
position,NN,O
.,.,O
he,PRP,O
never,RB,O
speak,VBD,O
of,IN,O
the,DT,O
softer,JJR,O
passion,NNS,O
",",",",O
save,VB,O
with,IN,O
a,DT,O
gibe,NN,O
and,CC,O
a,DT,O
sneer,VB,O
.,.,O
they,PRP,O
be,VBD,O
admirable,JJ,O
thing,NNS,O
for,IN,O
the,DT,O
observer,NN,O
--,:,O
excellent,JJ,O
for,IN,O
draw,VBG,O
the,DT,O
veil,NN,O
from,IN,O
man,NNS,O
's,POS,O
motive,NNS,O
and,CC,O
action,NNS,O
.,.,O
but,CC,O
for,IN,O
the,DT,O
train,VBN,O
reasoner,NN,O
to,TO,O
admit,VB,O
such,JJ,O
intrusion,NNS,O
into,IN,O
he,PRP$,O
own,JJ,O
delicate,JJ,O
and,CC,O
finely,RB,O
adjust,VBN,O
temperament,NN,O
be,VBD,O
to,TO,O
introduce,VB,O
a,DT,O
distracting,JJ,O
factor,NN,O
which,WDT,O
might,MD,O
throw,VB,O
a,DT,O
doubt,NN,O
upon,IN,O
all,PDT,O
he,PRP$,O
mental,JJ,O
result,NNS,O
.,.,O
grit,NN,O
in,IN,O
a,DT,O
sensitive,JJ,O
instrument,NN,O
",",",",O
or,CC,O
a,DT,O
crack,NN,O
in,IN,O
one,CD,O
of,IN,O
he,PRP$,O
own,JJ,O
high,JJ,O
-,HYPH,O
power,NN,O
lens,NNS,O
",",",",O
would,MD,O
not,RB,O
be,VB,O
more,RBR,O
disturbing,JJ,O
than,IN,O
a,DT,O
strong,JJ,O
emotion,NN,O
in,IN,O
a,DT,O
nature,NN,O
such,JJ,O
as,IN,O
he,PRP$,O
.,.,O
and,CC,O
yet,RB,O
there,EX,O
be,VBD,O
but,CC,O
one,CD,O
woman,NN,O
to,IN,O
he,PRP,O
",",",",O
and,CC,O
that,DT,O
woman,NN,O
be,VBD,O
the,DT,O
late,JJ,O
Irene,NNP,PERSON
Adler,NNP,PERSON
",",",",O
of,IN,O
dubious,JJ,O
and,CC,O
questionable,JJ,O
memory,NN,O
.,.,O
I,PRP,O
have,VBD,O
see,VBN,O
little,JJ,O
of,IN,O
Holmes,NNP,PERSON
lately,RB,O
.,.,O
my,PRP$,O
marriage,NN,O
have,VBD,O
drift,VBN,O
we,PRP,O
away,RB,O
from,IN,O
each,DT,O
other,JJ,O
.,.,O
my,PRP$,O
own,JJ,O
complete,JJ,O
happiness,NN,O
",",",",O
and,CC,O
the,DT,O
home,NN,O
-,HYPH,O
centred,JJ,O
interest,NNS,O
which,WDT,O
rise,VBP,O
up,RP,O
around,IN,O
the,DT,O
man,NN,O
who,WP,O
first,RB,O
find,VBZ,O
himself,PRP,O
master,NN,O
of,IN,O
he,PRP$,O
own,JJ,O
establishment,NN,O
",",",",O
be,VBD,O
sufficient,JJ,O
to,TO,O
absorb,VB,O
all,PDT,O
my,PRP$,O
attention,NN,O
",",",",O
while,IN,O
Holmes,NNP,PERSON
",",",",O
who,WP,O
loathe,VBD,O
every,DT,O
form,NN,O
of,IN,O
society,NN,O
with,IN,O
he,PRP$,O
whole,JJ,O
bohemian,JJ,MISC
soul,NN,O
",",",",O
remain,VBD,O
in,IN,O
we,PRP$,O
lodgings,NNS,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
",",",",O
bury,VBN,O
among,IN,O
he,PRP$,O
old,JJ,O
book,NNS,O
",",",",O
and,CC,O
alternate,VBG,O
from,IN,O
week,NN,O
to,IN,O
week,NN,O
between,IN,O
cocaine,NN,O
and,CC,O
ambition,NN,O
",",",",O
the,DT,O
drowsiness,NN,O
of,IN,O
the,DT,O
drug,NN,O
",",",",O
and,CC,O
the,DT,O
fierce,JJ,O
energy,NN,O
of,IN,O
he,PRP$,O
own,JJ,O
keen,JJ,O
nature,NN,O
.,.,O
he,PRP,O
be,VBD,O
still,RB,O
",",",",O
as,IN,O
ever,RB,O
",",",",O
deeply,RB,O
attract,VBN,O
by,IN,O
the,DT,O
study,NN,O
of,IN,O
crime,NN,O
",",",",O
and,CC,O
occupy,VBD,O
he,PRP$,O
immense,JJ,O
faculty,NNS,O
and,CC,O
extraordinary,JJ,O
power,NNS,O
of,IN,O
observation,NN,O
in,IN,O
follow,VBG,O
out,RP,O
those,DT,O
clue,NNS,O
",",",",O
and,CC,O
clear,VBG,O
up,RP,O
those,DT,O
mystery,NNS,O
which,WDT,O
have,VBD,O
be,VBN,O
abandon,VBN,O
as,IN,O
hopeless,JJ,O
by,IN,O
the,DT,O
official,JJ,O
police,NN,O
.,.,O
from,IN,O
time,NN,O
to,IN,O
time,NN,O
I,PRP,O
hear,VBD,O
some,DT,O
vague,JJ,O
account,NN,O
of,IN,O
he,PRP$,O
doings,NNS,O
:,:,O
of,IN,O
he,PRP$,O
summons,NNS,O
to,IN,O
Odessa,NNP,LOCATION
in,IN,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
Trepoff,NNP,PERSON
murder,NN,O
",",",",O
of,IN,O
he,PRP$,O
clearing,NN,O
up,IN,O
of,IN,O
the,DT,O
singular,JJ,O
tragedy,NN,O
of,IN,O
the,DT,O
Atkinson,NNP,PERSON
brother,NNS,O
at,IN,O
Trincomalee,NNP,LOCATION
",",",",O
and,CC,O
finally,RB,O
of,IN,O
the,DT,O
mission,NN,O
which,WDT,O
he,PRP,O
have,VBD,O
accomplish,VBN,O
so,RB,O
delicately,RB,O
and,CC,O
successfully,RB,O
for,IN,O
the,DT,O
reign,VBG,O
family,NN,O
of,IN,O
Holland,NNP,LOCATION
.,.,O
beyond,IN,O
these,DT,O
sign,NNS,O
of,IN,O
he,PRP$,O
activity,NN,O
",",",",O
however,RB,O
",",",",O
which,WDT,O
I,PRP,O
merely,RB,O
share,VBD,O
with,IN,O
all,PDT,O
the,DT,O
reader,NNS,O
of,IN,O
the,DT,O
daily,JJ,O
press,NN,O
",",",",O
I,PRP,O
know,VBD,O
little,JJ,O
of,IN,O
my,PRP$,O
former,JJ,O
friend,NN,O
and,CC,O
companion,NN,O
.,.,O
one,CD,O
night,NN,O
--,:,O
it,PRP,O
be,VBD,O
on,IN,O
the,DT,O
twentieth,NN,O
of,IN,O
March,NNP,DATE
",",",",DATE
1888,CD,DATE
--,:,O
I,PRP,O
be,VBD,O
return,VBG,O
from,IN,O
a,DT,O
journey,NN,O
to,IN,O
a,DT,O
patient,NN,O
(,-LRB-,O
for,IN,O
I,PRP,O
have,VBD,O
now,RB,O
return,VBN,O
to,IN,O
civil,JJ,O
practice,NN,O
),-RRB-,O
",",",",O
when,WRB,O
my,PRP$,O
way,NN,O
lead,VBD,O
I,PRP,O
through,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
.,.,O
as,IN,O
I,PRP,O
pass,VBD,O
the,DT,O
well,NN,O
-,HYPH,O
remember,VBN,O
door,NN,O
",",",",O
which,WDT,O
must,MD,O
always,RB,O
be,VB,O
associate,VBN,O
in,IN,O
my,PRP$,O
mind,NN,O
with,IN,O
my,PRP$,O
woo,VBG,O
",",",",O
and,CC,O
with,IN,O
the,DT,O
dark,JJ,O
incident,NNS,O
of,IN,O
the,DT,O
study,NN,O
in,IN,O
Scarlet,NNP,LOCATION
",",",",O
I,PRP,O
be,VBD,O
seize,VBN,O
with,IN,O
a,DT,O
keen,JJ,O
desire,NN,O
to,TO,O
see,VB,O
Holmes,NNP,PERSON
again,RB,O
",",",",O
and,CC,O
to,TO,O
know,VB,O
how,WRB,O
he,PRP,O
be,VBD,O
employ,VBG,O
he,PRP$,O
extraordinary,JJ,O
power,NNS,O
.,.,O
he,PRP$,O
room,NNS,O
be,VBD,O
brilliantly,RB,O
light,VBN,O
",",",",O
and,CC,O
",",",",O
even,RB,O
as,IN,O
I,PRP,O
look,VBD,O
up,RP,O
",",",",O
I,PRP,O
see,VBD,O
he,PRP$,O
tall,JJ,O
",",",",O
spare,JJ,O
figure,NN,O
pass,VB,O
twice,RB,O
in,IN,O
a,DT,O
dark,JJ,O
silhouette,NN,O
against,IN,O
the,DT,O
blind,JJ,O
.,.,O
he,PRP,O
be,VBD,O
pacing,NN,O
the,DT,O
room,NN,O
swiftly,RB,O
",",",",O
eagerly,RB,O
",",",",O
with,IN,O
he,PRP$,O
head,NN,O
sink,VBN,O
upon,IN,O
he,PRP$,O
chest,NN,O
and,CC,O
he,PRP$,O
hand,NNS,O
clasped,JJ,O
behind,IN,O
he,PRP,O
.,.,O
to,IN,O
I,PRP,O
",",",",O
who,WP,O
know,VBD,O
he,PRP$,O
every,DT,O
mood,NN,O
and,CC,O
habit,NN,O
",",",",O
he,PRP$,O
attitude,NN,O
and,CC,O
manner,NN,O
tell,VBD,O
they,PRP$,O
own,JJ,O
story,NN,O
.,.,O
he,PRP,O
be,VBD,O
at,IN,O
work,NN,O
again,RB,O
.,.,O
he,PRP,O
have,VBD,O
rise,VBN,O
out,IN,O
of,IN,O
he,PRP$,O
drug,NN,O
-,HYPH,O
create,VBN,O
dream,NNS,O
and,CC,O
be,VBD,O
hot,JJ,O
upon,IN,O
the,DT,O
scent,NN,O
of,IN,O
some,DT,O
new,JJ,O
problem,NN,O
.,.,O
I,PRP,O
ring,VBD,O
the,DT,O
bell,NN,O
and,CC,O
be,VBD,O
show,VBN,O
up,RP,O
to,IN,O
the,DT,O
chamber,NN,O
which,WDT,O
have,VBD,O
formerly,RB,O
be,VBN,O
in,IN,O
part,NN,O
my,PRP$,O
own,JJ,O
.,.,O
he,PRP$,O
manner,NN,O
be,VBD,O
not,RB,O
effusive,JJ,O
.,.,O
it,PRP,O
seldom,RB,O
be,VBD,O
;,:,O
but,CC,O
he,PRP,O
be,VBD,O
glad,JJ,O
",",",",O
I,PRP,O
think,VBP,O
",",",",O
to,TO,O
see,VB,O
I,PRP,O
.,.,O
with,IN,O
hardly,RB,O
a,DT,O
word,NN,O
speak,VBN,O
",",",",O
but,CC,O
with,IN,O
a,DT,O
kindly,RB,O
eye,NN,O
",",",",O
he,PRP,O
wave,VBD,O
I,PRP,O
to,IN,O
a,DT,O
armchair,NN,O
",",",",O
throw,VBD,O
across,IN,O
he,PRP$,O
case,NN,O
of,IN,O
cigar,NNS,O
",",",",O
and,CC,O
indicate,VBD,O
a,DT,O
spirit,NN,O
case,NN,O
and,CC,O
a,DT,O
gasogene,NN,O
in,IN,O
the,DT,O
corner,NN,O
.,.,O
then,RB,O
he,PRP,O
stand,VBD,O
before,IN,O
the,DT,O
fire,NN,O
and,CC,O
look,VBD,O
I,PRP,O
over,RP,O
in,IN,O
he,PRP$,O
