lemma,pos,ner
when,WRB,O
I,PRP,O
glance,NN,O
over,IN,O
my,PRP$,O
note,NNS,O
and,CC,O
record,NNS,O
of,IN,O
the,DT,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
case,NNS,O
between,IN,O
the,DT,O
year,NNS,O
'82,CD,O
and,CC,O
',``,DATE
90,CD,DATE
",",",",O
I,PRP,O
be,VBP,O
face,VBN,O
by,IN,O
so,RB,O
many,JJ,O
which,WDT,O
present,VBP,O
strange,JJ,O
and,CC,O
interesting,JJ,O
feature,NNS,O
that,IN,O
it,PRP,O
be,VBZ,O
no,DT,O
easy,JJ,O
matter,NN,O
to,TO,O
know,VB,O
which,WDT,O
to,TO,O
choose,VB,O
and,CC,O
which,WDT,O
to,TO,O
leave,VB,O
.,.,O
some,DT,O
",",",",O
however,RB,O
",",",",O
have,VBP,O
already,RB,O
gain,VBN,O
publicity,NN,O
through,IN,O
the,DT,O
papers,NNS,O
",",",",O
and,CC,O
other,NNS,O
have,VBP,O
not,RB,O
offer,VBN,O
a,DT,O
field,NN,O
for,IN,O
those,DT,O
peculiar,JJ,O
quality,NNS,O
which,WDT,O
my,PRP$,O
friend,NN,O
possess,VBD,O
in,IN,O
so,RB,O
high,JJ,O
a,DT,O
degree,NN,O
",",",",O
and,CC,O
which,WDT,O
it,PRP,O
be,VBZ,O
the,DT,O
object,NN,O
of,IN,O
these,DT,O
papers,NNS,O
to,TO,O
illustrate,VB,O
.,.,O
some,DT,O
",",",",O
too,RB,O
",",",",O
have,VBP,O
baffle,VBN,O
he,PRP$,O
analytical,JJ,O
skill,NN,O
",",",",O
and,CC,O
would,MD,O
be,VB,O
",",",",O
as,IN,O
narrative,NNS,O
",",",",O
beginning,NNS,O
without,IN,O
a,DT,O
ending,NN,O
",",",",O
while,IN,O
other,NNS,O
have,VBP,O
be,VBN,O
but,CC,O
partially,RB,O
clear,VBD,O
up,RP,O
",",",",O
and,CC,O
have,VBP,O
they,PRP$,O
explanation,NNS,O
found,VBD,O
rather,RB,O
upon,IN,O
conjecture,NN,O
and,CC,O
surmise,VB,O
than,IN,O
on,IN,O
that,DT,O
absolute,JJ,O
logical,JJ,O
proof,NN,O
which,WDT,O
be,VBD,O
so,RB,O
dear,JJ,O
to,IN,O
he,PRP,O
.,.,O
there,EX,O
be,VBZ,O
",",",",O
however,RB,O
",",",",O
one,CD,O
of,IN,O
these,DT,O
last,JJ,O
which,WDT,O
be,VBD,O
so,RB,O
remarkable,JJ,O
in,IN,O
its,PRP$,O
detail,NNS,O
and,CC,O
so,RB,O
startling,JJ,O
in,IN,O
its,PRP$,O
result,NNS,O
that,IN,O
I,PRP,O
be,VBP,O
tempt,VBN,O
to,TO,O
give,VB,O
some,DT,O
account,NN,O
of,IN,O
it,PRP,O
in,IN,O
spite,NN,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
there,EX,O
be,VBP,O
point,NNS,O
in,IN,O
connection,NN,O
with,IN,O
it,PRP,O
which,WDT,O
never,RB,O
have,VBP,O
be,VBN,O
",",",",O
and,CC,O
probably,RB,O
never,RB,O
will,MD,O
be,VB,O
",",",",O
entirely,RB,O
clear,VBD,O
up,RP,O
.,.,O
the,DT,O
year,NN,O
'87,CD,O
furnish,VBD,O
we,PRP,O
with,IN,O
a,DT,O
long,JJ,O
series,NN,O
of,IN,O
case,NNS,O
of,IN,O
greater,JJR,O
or,CC,O
less,JJR,O
interest,NN,O
",",",",O
of,IN,O
which,WDT,O
I,PRP,O
retain,VBP,O
the,DT,O
record,NNS,O
.,.,O
among,IN,O
my,PRP$,O
heading,NNS,O
under,IN,O
this,DT,O
one,CD,O
twelve,CD,O
month,NNS,O
I,PRP,O
find,VBP,O
a,DT,O
account,NN,O
of,IN,O
the,DT,O
adventure,NN,O
of,IN,O
the,DT,O
Paradol,NNP,O
Chamber,NNP,O
",",",",O
of,IN,O
the,DT,O
amateur,JJ,ORGANIZATION
Mendicant,NNP,ORGANIZATION
Society,NNP,ORGANIZATION
",",",",O
who,WP,O
hold,VBD,O
a,DT,O
luxurious,JJ,O
club,NN,O
in,IN,O
the,DT,O
lower,JJR,O
vault,NN,O
of,IN,O
a,DT,O
furniture,NN,O
warehouse,NN,O
",",",",O
of,IN,O
the,DT,O
fact,NNS,O
connect,VBN,O
with,IN,O
the,DT,O
loss,NN,O
of,IN,O
the,DT,O
british,JJ,MISC
barque,NN,O
"""",'',O
Sophy,NNP,LOCATION
Anderson,NNP,LOCATION
"""",'',O
",",",",O
of,IN,O
the,DT,O
singular,JJ,O
adventure,NNS,O
of,IN,O
the,DT,O
Grice,NNP,PERSON
Patersons,NNPS,PERSON
in,IN,O
the,DT,O
island,NN,O
of,IN,O
Uffa,NNP,LOCATION
",",",",O
and,CC,O
finally,RB,O
of,IN,O
the,DT,O
camberwell,NN,LOCATION
poisoning,NN,O
case,NN,O
.,.,O
in,IN,O
the,DT,O
latter,JJ,O
",",",",O
as,IN,O
may,MD,O
be,VB,O
remember,VBN,O
",",",",O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
able,JJ,O
",",",",O
by,IN,O
wind,VBG,O
up,RP,O
the,DT,O
dead,JJ,O
man,NN,O
's,POS,O
watch,NN,O
",",",",O
to,TO,O
prove,VB,O
that,IN,O
it,PRP,O
have,VBD,O
be,VBN,O
wind,VBN,O
up,RP,O
two,CD,O
hour,NNS,O
before,RB,O
",",",",O
and,CC,O
that,IN,O
therefore,RB,O
the,DT,O
deceased,JJ,O
have,VBD,O
go,VBN,O
to,IN,O
bed,NN,O
within,IN,O
that,DT,O
time,NN,O
--,:,O
a,DT,O
deduction,NN,O
which,WDT,O
be,VBD,O
of,IN,O
the,DT,O
greatest,JJS,O
importance,NN,O
in,IN,O
clear,VBG,O
up,RP,O
the,DT,O
case,NN,O
.,.,O
all,PDT,O
these,DT,O
I,PRP,O
may,MD,O
sketch,VB,O
out,RP,O
at,IN,O
some,DT,O
future,NN,O
date,NN,O
",",",",O
but,CC,O
none,NN,O
of,IN,O
they,PRP,O
present,VBP,O
such,JJ,O
singular,JJ,O
feature,NNS,O
as,IN,O
the,DT,O
strange,JJ,O
train,NN,O
of,IN,O
circumstance,NNS,O
which,WDT,O
I,PRP,O
have,VBP,O
now,RB,O
take,VBN,O
up,RP,O
my,PRP$,O
pen,NN,O
to,TO,O
describe,VB,O
.,.,O
it,PRP,O
be,VBD,O
in,IN,O
the,DT,O
latter,JJ,O
day,NNS,O
of,IN,O
September,NNP,DATE
",",",",O
and,CC,O
the,DT,O
equinoctial,JJ,O
gale,NNS,O
have,VBD,O
set,VBN,O
in,RP,O
with,IN,O
exceptional,JJ,O
violence,NN,O
.,.,O
all,DT,O
day,NN,O
the,DT,O
wind,NN,O
have,VBD,O
scream,VBN,O
and,CC,O
the,DT,O
rain,NN,O
have,VBD,O
beat,VBN,O
against,IN,O
the,DT,O
window,NNS,O
",",",",O
so,IN,O
that,IN,O
even,RB,O
here,RB,O
in,IN,O
the,DT,O
heart,NN,O
of,IN,O
great,JJ,O
",",",",O
hand,NN,O
-,HYPH,O
make,VBN,O
London,NNP,LOCATION
we,PRP,O
be,VBD,O
force,VBN,O
to,TO,O
raise,VB,O
we,PRP$,O
mind,NNS,O
for,IN,O
the,DT,O
instant,NN,O
from,IN,O
the,DT,O
routine,NN,O
of,IN,O
life,NN,O
and,CC,O
to,TO,O
recognise,VB,O
the,DT,O
presence,NN,O
of,IN,O
those,DT,O
great,JJ,O
elemental,JJ,O
force,NNS,O
which,WDT,O
shriek,VBP,O
at,IN,O
mankind,NN,O
through,IN,O
the,DT,O
bar,NNS,O
of,IN,O
he,PRP$,O
civilisation,NN,O
",",",",O
like,UH,O
untame,VBZ,O
beast,NNS,O
in,IN,O
a,DT,O
cage,NN,O
.,.,O
as,IN,O
evening,NN,O
draw,VBD,O
in,IN,O
",",",",O
the,DT,O
storm,NN,O
grow,VBD,O
higher,JJR,O
and,CC,O
louder,RBR,O
",",",",O
and,CC,O
the,DT,O
wind,NN,O
cry,VBD,O
and,CC,O
sob,VBD,O
like,IN,O
a,DT,O
child,NN,O
in,IN,O
the,DT,O
chimney,NN,O
.,.,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
sit,VBD,O
moodily,RB,O
at,IN,O
one,CD,O
side,NN,O
of,IN,O
the,DT,O
fireplace,NN,O
cross-index,VBG,O
he,PRP$,O
record,NNS,O
of,IN,O
crime,NN,O
",",",",O
while,IN,O
I,PRP,O
at,IN,O
the,DT,O
other,JJ,O
be,VBD,O
deep,JJ,O
in,IN,O
one,CD,O
of,IN,O
Clark,NNP,PERSON
Russell,NNP,PERSON
's,POS,O
fine,JJ,O
sea,NN,O
-,HYPH,O
story,NNS,O
until,IN,O
the,DT,O
howl,NN,O
of,IN,O
the,DT,O
gale,NN,O
from,IN,O
without,IN,O
seem,VBD,O
to,TO,O
blend,VB,O
with,IN,O
the,DT,O
text,NN,O
",",",",O
and,CC,O
the,DT,O
splash,NN,O
of,IN,O
the,DT,O
rain,NN,O
to,IN,O
lengthen,VB,O
out,RP,O
into,IN,O
the,DT,O
long,JJ,O
swash,NN,O
of,IN,O
the,DT,O
sea,NN,O
wave,NNS,O
.,.,O
my,PRP$,O
wife,NN,O
be,VBD,O
on,IN,O
a,DT,O
visit,NN,O
to,IN,O
she,PRP$,O
mother,NN,O
's,POS,O
",",",",O
and,CC,O
for,IN,O
a,DT,O
few,JJ,O
day,NNS,O
I,PRP,O
be,VBD,O
a,DT,O
dweller,NN,O
once,RB,O
more,RBR,O
in,IN,O
my,PRP$,O
old,JJ,O
quarter,NNS,O
at,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
.,.,O
"""",``,O
why,WRB,O
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
",",",",O
glance,VBG,O
up,RP,O
at,IN,O
