docTokenBegin,text,ner,nerConfidences
1,Sherlock Holmes,PERSON,{'PERSON': 0.99551667009865}
3,she,PERSON,
13,him,PERSON,
15,her,PERSON,
22,his,PERSON,
24,she,PERSON,
31,her,PERSON,
46,Irene Adler,PERSON,{'PERSON': 0.99824807194818}
38,he,PERSON,
60,his,PERSON,
69,He,PERSON,
93,he,PERSON,
103,He,PERSON,
149,his,PERSON,
169,his,PERSON,
185,his,PERSON,
206,his,PERSON,
224,Irene Adler,PERSON,{'PERSON': 0.99844413075143}
216,him,PERSON,
238,Holmes,PERSON,{'PERSON': 0.77597492352815}
287,Holmes,PERSON,{'PERSON': 0.99395481648154}
298,Bohemian,MISC,{'MISC': 0.99974554173803}
306,Baker Street,LOCATION,{'LOCATION': 0.99889970071756}
274,his,PERSON,
296,his,PERSON,
311,his,PERSON,
337,his,PERSON,
342,He,PERSON,
359,his,PERSON,
406,Odessa,LOCATION,{'LOCATION': 0.97281199257194}
412,Trepoff,PERSON,
425,Atkinson,PERSON,{'PERSON': 0.84280603629566}
428,Trincomalee,LOCATION,{'LOCATION': 0.93721098557806}
448,Holland,LOCATION,{'LOCATION': 0.84599741254754}
399,his,PERSON,
403,his,PERSON,
416,his,PERSON,
436,he,PERSON,
454,his,PERSON,
491,"March, 1888",DATE,{'DATE': 0.99403783107442}
521,Baker Street,LOCATION,{'LOCATION': 0.96016245168986}
554,Scarlet,LOCATION,{'LOCATION': 0.6292003685304}
565,Holmes,PERSON,{'PERSON': 0.92964852454527}
572,he,PERSON,
575,his,PERSON,
579,His,PERSON,
595,his,PERSON,
610,He,PERSON,
620,his,PERSON,
624,his,PERSON,
627,his,PERSON,
631,him,PERSON,
638,his,PERSON,
644,his,PERSON,
653,He,PERSON,
659,He,PERSON,
664,his,PERSON,
700,His,PERSON,
711,he,PERSON,
734,he,PERSON,
743,his,PERSON,
761,he,PERSON,
771,his,PERSON,
782,he,PERSON,
789,Watson,PERSON,{'PERSON': 0.98861744275563}
833,Watson,PERSON,{'PERSON': 0.93778359202547}
905,Holmes,PERSON,{'PERSON': 0.96050065492804}
942,Thursday,DATE,{'DATE': 0.99873567045424}
969,Mary Jane,PERSON,{'PERSON': 0.99943386227359}
972,she,PERSON,
981,her,PERSON,
1000,He,PERSON,
1006,his,PERSON,
1021,he,PERSON,
1111,London,LOCATION,{'LOCATION': 0.96099802127595}
1139,his,PERSON,
1151,his,PERSON,
1158,he,PERSON,
1161,his,PERSON,
1176,him,PERSON,
1198,he,PERSON,
1200,his,PERSON,
1274,he,PERSON,
1438,He,PERSON,
1471,he,PERSON,
1539,Europe,LOCATION,{'LOCATION': 0.99344042800127}
1740,Holmes,PERSON,{'PERSON': 0.96776931664237}
1747,English,MISC,{'MISC': 0.99999973266024}
1813,Holmes,PERSON,{'PERSON': 0.93669854806052}
1826,his,PERSON,
1856,German,MISC,{'MISC': 0.99998965050555}
1896,Continental,ORGANIZATION,{'ORGANIZATION': 0.64241893673284}
1900,He,PERSON,
1908,his,PERSON,
1912,Eglow,LOCATION,{'PERSON': 0.94195588624537}
1914,Eglonitz,LOCATION,
1920,Egria,LOCATION,{'LOCATION': 0.51455292303959}
