docTokenBegin,text,ner,nerConfidences
13,Mr. Sherlock Holmes,PERSON,
18,London,LOCATION,{'LOCATION': 0.97697981832402}
33,Moriarty,PERSON,{'PERSON': 0.99742081424534}
70,he,PERSON,
77,he,PERSON,
80,his,PERSON,
139,Watson,PERSON,{'PERSON': 0.84187149414346}
220,Europe,LOCATION,{'LOCATION': 0.99859441521824}
225,London,LOCATION,{'LOCATION': 0.98851471191683}
233,He,PERSON,
235,his,PERSON,
246,he,PERSON,
262,Holmes,PERSON,{'PERSON': 0.96242122378845}
289,Baker Street,LOCATION,{'LOCATION': 0.99840884931581}
274,his,PERSON,
297,Verner,PERSON,{'PERSON': 0.93396631513296}
303,Kensington,LOCATION,{'LOCATION': 0.84898651051192}
334,Verner,PERSON,{'PERSON': 0.99874051059162}
340,Holmes,PERSON,{'PERSON': 0.8506665508603}
391,Murillo,PERSON,{'PERSON': 0.97188360450205}
400,Dutch,MISC,{'MISC': 0.99756990790824}
402,Friesland,ORGANIZATION,{'ORGANIZATION': 0.75665642130496}
366,he,PERSON,
413,His,PERSON,
434,he,PERSON,
450,his,PERSON,
454,his,PERSON,
472,Mr. Sherlock Holmes,PERSON,
479,his,PERSON,
482,his,PERSON,
489,his,PERSON,
528,his,PERSON,
575,He,PERSON,
591,he,PERSON,
609,Mr. Holmes,PERSON,
613,he,PERSON,
628,Mr. Holmes,PERSON,
635,John Hector McFarlane,PERSON,{'PERSON': 0.99892421398661}
640,He,PERSON,
652,his,PERSON,
674,him,PERSON,
684,Mr. McFarlane,PERSON,
689,he,PERSON,
692,his,PERSON,
707,Watson,PERSON,{'PERSON': 0.99996678541096}
829,his,PERSON,
876,Mr. Holmes,PERSON,
892,London,LOCATION,{'LOCATION': 0.99918178848192}
903,Mr. Holmes,PERSON,
958,Holmes,PERSON,{'PERSON': 0.98770483246369}
987,Mr. Jonas Oldacre,PERSON,
992,Lower Norwood,LOCATION,{'LOCATION': 0.52740490541727}
1042,Watson,PERSON,{'PERSON': 0.99979213803254}
1023,he,PERSON,
1066,Daily Telegraph,ORGANIZATION,{'ORGANIZATION': 0.70315127919823}
1073,Holmes,PERSON,{'PERSON': 0.95429125301092}
1105,this morning,TIME,{'TIME': 0.84723941923593}
1126,He,PERSON,
1156,Mr. Holmes,PERSON,
1169,Lower Norwood,LOCATION,{'LOCATION': 0.5334205255468}
1175,Well-known Builder,MISC,{'MISC': 0.95680381071623}
1187,Clue,MISC,{'MISC': 0.41815580315493}
1203,Mr. Holmes,PERSON,
1221,London Bridge Station,LOCATION,{'LOCATION': 0.96593164773773}
1252,her,PERSON,
1256,He,PERSON,
1258,his,PERSON,
1272,his,PERSON,
1296,He,PERSON,
1329,His,PERSON,
1339,his,PERSON,
1354,summer,DATE,{'DATE': 0.90991138602133}
1352,his,PERSON,
1364,his,PERSON,
1378,Holmes,PERSON,{'PERSON': 0.99051832123654}
1381,Watson,PERSON,{'PERSON': 0.9275014626616}
1427,early this morning,TIME,{'TIME': 0.92809163983612}
1435,Lower Norwood,LOCATION,{'LOCATION': 0.46189409038343}
1449,Mr. Jonas Oldacre,PERSON,
1463,he,PERSON,
1467,his,PERSON,
1476,Mr. Oldacre,PERSON,
1492,Deep Dene House,ORGANIZATION,{'ORGANIZATION': 0.24084244463831}
1498,Sydenham,LOCATION,{'LOCATION': 0.98180708916177}
1507,He,PERSON,
1527,he,PERSON,
1537,he,PERSON,
1564,last night,TIME,{'TIME': 0.83060606697982}
1668,he,PERSON,
1678,his,PERSON,
1756,Mr. Jonas Oldacre,PERSON,
1789,London,LOCATION,{'LOCATION': 0.99092117997703}
1792,John Hector McFarlane,PERSON,{'PERSON': 0.99935569342277}
1799,Graham,PERSON,{'PERSON': 0.9793390600914}
1801,McFarlane,PERSON,{'PERSON': 0.88300569242164}
1806,Gresham Buildings,ORGANIZATION,{'ORGANIZATION': 0.42884547964998}
1765,his,PERSON,
1857,Mr. John Hector McFarlane,PERSON,
1872,Mr. Jonas Oldacre,PERSON,
1899,Norwood,LOCATION,{'LOCATION': 0.92701703505596}
1920,French,MISC,{'MISC': 0.99999937427466}
1923,his,PERSON,
2000,his,PERSON,
2004,his,PERSON,
2009,his,PERSON,
2049,Lestrade,PERSON,{'PERSON': 0.51496404704602}
2052,Scotland Yard,LOCATION,{'LOCATION': 0.74292341191036}
2062,his,PERSON,
2069,Sherlock Holmes,PERSON,{'PERSON': 0.99876850374935}
2097,he,PERSON,
2100,his,PERSON,
2114,Mr. McFarlane,PERSON,
2144,Torrington Lodge,LOCATION,{'LOCATION': 0.95541016539985}
2153,Mr. Holmes,PERSON,
2157,last night,TIME,{'TIME': 0.97710840832031}
2167,Mr. Jonas Oldacre,PERSON,
2177,Norwood,LOCATION,{'LOCATION': 0.97854234719128}
2256,London Bridge Station,LOCATION,{'LOCATION': 0.97908443090052}
2297,Lestrade,PERSON,{'PERSON': 0.90216574719115}
2304,his,PERSON,
2319,Mr. John Hector McFarlane,PERSON,
2326,Lestrade,PERSON,{'PERSON': 0.6990672950322}
2346,Mr. Jonas Oldacre,PERSON,
2355,McFarlane,PERSON,{'PERSON': 0.98856743231585}
2368,his,PERSON,
2382,Lestrade,PERSON,{'PERSON': 0.47817454144225}
2386,Holmes,PERSON,{'PERSON': 0.98700871062031}
2443,Lestrade,PERSON,{'PERSON': 0.63050549937679}
2463,his,PERSON,
2470,Mr. Holmes,PERSON,
2507,Scotland Yard,LOCATION,{'LOCATION': 0.65665061920128}
2512,Lestrade,PERSON,{'PERSON': 0.6243688499293}
2532,him,PERSON,
2535,he,PERSON,
2543,him,PERSON,
2573,Lestrade,PERSON,{'PERSON': 0.5262216064378}
2576,his,PERSON,
2590,he,PERSON,
2600,McFarlane,PERSON,{'PERSON': 0.96473174382671}
2608,Mr. Jonas Oldacre,PERSON,
2612,His,PERSON,
2628,him,PERSON,
2651,afternoon,TIME,{'TIME': 0.76681355526746}
2653,he,PERSON,
2669,he,PERSON,
2675,his,PERSON,
2678,He,PERSON,
2681,his,PERSON,
2701,he,PERSON,
2717,he,PERSON,
2724,Mr. McFarlane,PERSON,
2768,he,PERSON,
2772,his,PERSON,
2777,He,PERSON,
2798,him,PERSON,
2801,his,PERSON,
2830,he,PERSON,
2833,he,PERSON,
2844,he,PERSON,
2850,his,PERSON,
2855,he,PERSON,
2872,his,PERSON,
2927,Mr. Jonas Oldacre,PERSON,
2994,Norwood,LOCATION,{'LOCATION': 0.92963476240148}
2995,that night,TIME,{'TIME': 0.88525533595654}
2967,He,PERSON,
2970,his,PERSON,
2984,he,PERSON,
2991,his,PERSON,
3041,He,PERSON,
3061,Mr. Holmes,PERSON,
3073,him,PERSON,
3076,he,PERSON,
3080,He,PERSON,
3093,his,PERSON,
3132,Mr. Oldacre,PERSON,
3144,supper,DATE,{'DATE': 0.52247335088263}
3138,he,PERSON,
3146,him,PERSON,
3151,he,PERSON,
3166,his,PERSON,
3185,him,PERSON,
3194,Holmes,PERSON,{'PERSON': 0.98770483246369}
3216,his,PERSON,
3224,she,PERSON,
3240,McFarlane,PERSON,{'PERSON': 0.95302756331331}
3247,McFarlane,PERSON,{'PERSON': 0.98694692249778}
3249,his,PERSON,
3255,his,PERSON,
3281,Mr. Jonas Oldacre,PERSON,
3287,his,PERSON,
3299,he,PERSON,
3325,He,PERSON,
3342,French,MISC,{'MISC': 0.99999960589738}
3335,He,PERSON,
3340,his,PERSON,
3362,Holmes,PERSON,{'PERSON': 0.93669854806052}
3386,he,PERSON,
3406,he,PERSON,
3446,him,PERSON,
3475,Blackheath,PERSON,{'PERSON': 0.65083875217153}
3484,Anerley Arms,MISC,{'MISC': 0.60059964330631}
3501,morning,TIME,{'TIME': 0.56918910419328}
3514,Mr. Holmes,PERSON,
3519,Lestrade,PERSON,{'PERSON': 0.84205498362463}
3548,Norwood,PERSON,{'PERSON': 0.53310214922424}
3552,Lestrade,PERSON,{'PERSON': 0.54420817288335}
3571,Holmes,PERSON,{'PERSON': 0.99153550172347}
3574,his,PERSON,
3578,Lestrade,PERSON,{'PERSON': 0.56725206282518}
3585,he,PERSON,
3604,him,PERSON,
3608,him,PERSON,
3629,Mr. Sherlock Holmes,PERSON,
3635,he,PERSON,
3640,Mr. McFarlane,PERSON,
3689,Lestrade,PERSON,{'PERSON': 0.69879834405393}
3683,him,PERSON,
3692,Holmes,PERSON,{'PERSON': 0.95376697921198}
3717,his,PERSON,
3729,Lestrade,PERSON,{'PERSON': 0.47703391891073}
3737,he,PERSON,
3789,he,PERSON,
3826,Holmes,PERSON,{'PERSON': 0.98770483246369}
3930,Norwood,LOCATION,{'LOCATION': 0.89100202548273}
3932,London Bridge,LOCATION,{'LOCATION': 0.95916133389329}
3908,his,PERSON,
3936,Lestrade,PERSON,{'PERSON': 0.6529719557956}
3957,Mr. Holmes,PERSON,
3962,he,PERSON,
3994,Jonas Oldacre,PERSON,{'PERSON': 0.99995370421142}
3997,his,PERSON,
4029,he,PERSON,
4051,he,PERSON,
4059,he,PERSON,
4084,Lestrade,PERSON,{'PERSON': 0.61008406782578}
4069,he,PERSON,
4072,his,PERSON,
4151,he,PERSON,
4160,he,PERSON,
4163,He,PERSON,
4170,he,PERSON,
4173,he,PERSON,
4182,his,PERSON,
4187,he,PERSON,
4211,he,PERSON,
4213,him,PERSON,
4216,his,PERSON,
4251,he,PERSON,
4253,his,PERSON,
4278,his,PERSON,
4290,him,PERSON,
4306,Lestrade,PERSON,
4318,Holmes,PERSON,{'PERSON': 0.9785934784874}
4441,Lestrade,PERSON,{'PERSON': 0.66904880989725}
4457,Mr. Holmes,PERSON,
4483,He,PERSON,
4519,Holmes,PERSON,{'PERSON': 0.98733016912451}
4583,He,PERSON,
4589,he,PERSON,
4622,McFarlane,PERSON,{'PERSON': 0.96610490819497}
4665,he,PERSON,
4671,Lestrade,PERSON,{'PERSON': 0.90498252768541}
4673,his,PERSON,
4682,his,PERSON,
4694,Mr. Sherlock Holmes,PERSON,
4710,him,PERSON,
4732,Mr. Holmes,PERSON,
4768,he,PERSON,
4817,he,PERSON,
4860,Norwood,LOCATION,{'LOCATION': 0.9053603225244}
4879,his,PERSON,
4899,him,PERSON,
4906,Watson,PERSON,{'PERSON': 0.98618712434881}
4910,he,PERSON,
4913,he,PERSON,
4916,his,PERSON,
4940,Norwood,PERSON,{'PERSON': 0.85924783942524}
5127,his,PERSON,
5138,he,PERSON,
5149,he,PERSON,
5153,his,PERSON,
5159,his,PERSON,
5166,he,PERSON,
5178,his,PERSON,
5188,Watson,PERSON,{'PERSON': 0.95941824637484}
5204,Lestrade,PERSON,{'PERSON': 0.5519093694993}
5250,British,MISC,{'MISC': 0.99951040456667}
5270,Lestrade,PERSON,{'ORGANIZATION': 0.44200995586031}
5280,Blackheath,PERSON,{'PERSON': 0.6358814539246}
5286,Watson,PERSON,{'PERSON': 0.97593101250843}
5301,Oldacre,PERSON,{'PERSON': 0.81929158781918}
5317,his,PERSON,
5347,she,PERSON,
5355,his,PERSON,
5371,Oldacre,LOCATION,{'LOCATION': 0.41354878500744}
5359,she,PERSON,
5377,she,PERSON,
5380,him,PERSON,
5385,she,PERSON,
5402,her,PERSON,
5406,her,PERSON,
5417,him,PERSON,
5424,He,PERSON,
5440,she,PERSON,
5444,he,PERSON,
5450,he,PERSON,
5461,him,PERSON,
5475,him,PERSON,
5481,he,PERSON,
5500,him,PERSON,
5519,Mr. Holmes,PERSON,
5517,him,PERSON,
5530,he,PERSON,
5546,his,PERSON,
5558,him,PERSON,
5561,She,PERSON,
5569,she,PERSON,
5593,she,PERSON,
5597,He,PERSON,
5607,his,PERSON,
5627,he,PERSON,
5634,he,PERSON,
5638,his,PERSON,
5655,Jonas Oldacre,PERSON,{'PERSON': 0.99767413042967}
5663,she,PERSON,
5679,Mr. Holmes,PERSON,
5695,His,PERSON,
5707,his,PERSON,
5752,Norwood,PERSON,{'PERSON': 0.52750606711247}
5758,Deep Dene House,PERSON,{'PERSON': 0.66610985861554}
5838,Oldacre,PERSON,{'PERSON': 0.35845518017816}
5869,Lestrade,PERSON,{'PERSON': 0.83086947177994}
5875,his,PERSON,
5896,morning,TIME,{'TIME': 0.59080390578374}
5953,Hyams,PERSON,{'PERSON': 0.7178524755196}
5958,Oldacre,PERSON,{'PERSON': 0.48196063478461}
6035,August,DATE,{'DATE': 0.95512765879369}
6115,He,PERSON,
6249,Mr. Oldacre,PERSON,
6303,Lestrade,PERSON,{'PERSON': 0.69191742549451}
6316,he,PERSON,
6319,he,PERSON,
6347,Mrs. Lexington,PERSON,
6350,her,PERSON,
6367,She,PERSON,
6373,she,PERSON,
6383,she,PERSON,
6395,Mr. McFarlane,PERSON,
6392,she,PERSON,
6404,She,PERSON,
6406,her,PERSON,
6411,she,PERSON,
6416,She,PERSON,
6427,Her,PERSON,
6439,she,PERSON,
6447,Mr. McFarlane,PERSON,
6451,his,PERSON,
6459,her,PERSON,
6461,his,PERSON,
6468,She,PERSON,
6478,Her,PERSON,
6489,he,PERSON,
6501,Mr. Oldacre,PERSON,
6539,last night,TIME,{'TIME': 0.95679462493599}
6520,She,PERSON,
6536,he,PERSON,
6568,she,PERSON,
6579,She,PERSON,
6601,Mr. Oldacre,PERSON,
6592,She,PERSON,
6612,Watson,PERSON,{'PERSON': 0.96795063507582}
6630,he,PERSON,
6632,his,PERSON,
6679,her,PERSON,
6701,Watson,PERSON,{'PERSON': 0.97415716490432}
6772,Watson,PERSON,{'PERSON': 0.96802369696733}
6780,Bert Stevens,PERSON,{'PERSON': 0.99995989099676}
6791,'87,DATE,{'DATE': 0.9737743384946}
6788,him,PERSON,
6845,him,PERSON,
6915,Mr. Cornelius,PERSON,
6929,Mr. Cornelius,PERSON,
6948,he,PERSON,
6957,Cornelius,PERSON,{'PERSON': 0.99109637111422}
7017,Lestrade,PERSON,
7029,Scotland Yard,LOCATION,{'LOCATION': 0.76744907381427}
7039,Sherlock Holmes,PERSON,{'PERSON': 0.9970860991065}
7056,him,PERSON,
7061,his,PERSON,
7076,his,PERSON,
7110,Watson,PERSON,{'PERSON': 0.99700404293123}
7113,he,PERSON,
7123,Norwood,LOCATION,{'LOCATION': 0.8024933947833}
7137,McFarlane,PERSON,{'PERSON': 0.89389886156393}
7149,Lestrade,PERSON,
7162,Lestrade,PERSON,{'PERSON': 0.55435492018397}
7172,Holmes,PERSON,{'PERSON': 0.99017478077009}
7217,Lestrade,PERSON,{'PERSON': 0.64836972311525}
7224,Watson,PERSON,{'PERSON': 0.92060120246635}
7269,his,PERSON,
7273,his,PERSON,
7277,he,PERSON,
7288,him,PERSON,
7291,his,PERSON,
7295,he,PERSON,
7317,he,PERSON,
7349,Norwood,PERSON,{'PERSON': 0.59606212995042}
7337,he,PERSON,
7339,his,PERSON,
7343,him,PERSON,
7360,Deep Dene House,ORGANIZATION,{'ORGANIZATION': 0.34907698768001}
7379,Lestrade,PERSON,{'PERSON': 0.95040042627279}
7383,his,PERSON,
7389,his,PERSON,
7397,Mr. Holmes,PERSON,
7416,he,PERSON,
7464,Mr. Holmes,PERSON,
7482,Holmes,PERSON,{'PERSON': 0.99105951236542}
7484,Lestrade,PERSON,{'PERSON': 0.7355883876704}
7506,he,PERSON,
7526,Watson,PERSON,{'PERSON': 0.99993644513548}
7518,his,PERSON,
7523,he,PERSON,
7551,John McFarlane,PERSON,{'PERSON': 0.99998450722019}
7559,He,PERSON,
7578,McFarlane,PERSON,{'PERSON': 0.99753920979607}
7585,his,PERSON,
7595,he,PERSON,
7608,he,PERSON,
7627,he,PERSON,
7662,Mr. Holmes,PERSON,
7715,McFarlane,PERSON,{'PERSON': 0.98017377716879}
7729,he,PERSON,
7778,Lestrade,PERSON,{'PERSON': 0.59764016217987}
7799,Holmes,PERSON,{'PERSON': 0.98336811992098}
7803,his,PERSON,
7815,him,PERSON,
7823,his,PERSON,
7833,His,PERSON,
7846,he,PERSON,
7867,he,PERSON,
7920,Lestrade,PERSON,{'PERSON': 0.78968191495432}
7939,Mr. Holmes,PERSON,
7944,Lestrade,PERSON,{'PERSON': 0.658161933667}
7971,his,PERSON,
7979,his,PERSON,
8002,Holmes,PERSON,{'PERSON': 0.99027398686991}
8008,his,PERSON,
8018,he,PERSON,
8026,Lestrade,PERSON,{'PERSON': 0.90938659537322}
8041,Mrs. Lexington,PERSON,
8064,He,PERSON,
8156,Lestrade,PERSON,{'PERSON': 0.49817597910061}
8159,Holmes,PERSON,{'PERSON': 0.90556889478434}
8162,he,PERSON,
8164,he,PERSON,
8169,his,PERSON,
8181,his,PERSON,
8186,his,PERSON,
8200,McFarlane,PERSON,{'PERSON': 0.99657297929627}
8222,Lestrade,PERSON,{'PERSON': 0.81727673940371}
8241,his,PERSON,
8252,his,PERSON,
8265,Lestrade,PERSON,{'PERSON': 0.68582150490598}
8274,Mr. Holmes,PERSON,
8310,Holmes,PERSON,{'PERSON': 0.9927054658498}
8313,his,PERSON,
8326,his,PERSON,
8340,Watson,PERSON,{'PERSON': 0.72920593419551}
8348,he,PERSON,
8392,him,PERSON,
8409,Watson,PERSON,{'PERSON': 0.98380871816717}
8437,Holmes,PERSON,{'PERSON': 0.98077761480035}
8467,Watson,PERSON,{'PERSON': 0.96380828748305}
8510,Holmes,PERSON,{'PERSON': 0.99077226813992}
8526,He,PERSON,
8554,Holmes,PERSON,{'PERSON': 0.9739500026299}
8574,he,PERSON,
8596,Watson,PERSON,{'PERSON': 0.96893132685275}
8600,he,PERSON,
8614,Lestrade,PERSON,{'PERSON': 0.84170616023363}
8619,He,PERSON,
8622,his,PERSON,
8637,him,PERSON,
8665,Scotland Yard,LOCATION,
8675,Holmes,PERSON,{'PERSON': 0.99508431078548}
8677,him,PERSON,
8694,he,PERSON,
8727,Lestrade,PERSON,{'PERSON': 0.68116502735269}
8735,his,PERSON,
8738,He,PERSON,
8741,his,PERSON,
8747,him,PERSON,
8755,Mr. Holmes,PERSON,
8778,him,PERSON,
8821,Holmes,PERSON,{'PERSON': 0.98770483246369}
8885,Holmes,PERSON,{'PERSON': 0.98551253376924}
8925,Holmes,PERSON,{'PERSON': 0.98068735985941}
8972,Watson,PERSON,{'PERSON': 0.85276796841948}
8976,Mr. Lestrade,PERSON,
9023,Sherlock Holmes,PERSON,{'PERSON': 0.99936283153225}
9030,Lestrade,PERSON,{'PERSON': 0.50973423978346}
9046,his,PERSON,
9049,Holmes,PERSON,{'PERSON': 0.98402377624406}
9106,Lestrade,PERSON,{'PERSON': 0.58146540315912}
9131,Mr. Sherlock Holmes,PERSON,
9137,he,PERSON,
9163,Lestrade,PERSON,{'PERSON': 0.61869825022026}
9220,Watson,PERSON,{'PERSON': 0.89620306164739}
9284,Lestrade,PERSON,{'PERSON': 0.44997251121885}
9359,Norwood,PERSON,{'PERSON': 0.4957966556658}
9416,Holmes,PERSON,{'PERSON': 0.9724188542451}
9421,Watson,PERSON,{'PERSON': 0.86493972259639}
9435,Lestrade,PERSON,{'PERSON': 0.48156160036947}
9448,Mr. Jonas Oldacre,PERSON,
9519,Lestrade,PERSON,{'PERSON': 0.82329131946935}
9536,Oldacre,PERSON,{'PERSON': 0.56525799722322}
9645,him,PERSON,
9649,him,PERSON,
9659,Mr. Holmes,PERSON,
9692,Watson,PERSON,{'PERSON': 0.99896763770743}
9663,he,PERSON,
9747,Holmes,PERSON,{'PERSON': 0.98359580710253}
9751,Lestrade,PERSON,
9806,Lestrade,PERSON,
9860,Watson,PERSON,{'PERSON': 0.99192806743785}
9853,his,PERSON,
9950,Holmes,PERSON,{'PERSON': 0.97666050831119}
9997,Lestrade,PERSON,
9958,He,PERSON,
9964,his,PERSON,
9983,his,PERSON,
10016,Mr. Holmes,PERSON,
10058,he,PERSON,
10063,he,PERSON,
10109,Lestrade,PERSON,{'PERSON': 0.56502928385563}
10088,him,PERSON,
10096,him,PERSON,
10142,he,PERSON,
10157,Lestrade,PERSON,
10229,night,TIME,{'TIME': 0.69648487324079}
10248,Jonas Oldacre,PERSON,{'PERSON': 0.99962470204145}
10251,McFarlane,PERSON,{'PERSON': 0.94460916244327}
10260,his,PERSON,
10298,Oldacre,PERSON,{'PERSON': 0.91011535079108}
10306,he,PERSON,
10334,McFarlane,PERSON,{'PERSON': 0.96236893980218}
10320,his,PERSON,
10325,him,PERSON,
10330,he,PERSON,
10351,him,PERSON,
10369,he,PERSON,
10392,his,PERSON,
10399,his,PERSON,
10409,he,PERSON,
10412,him,PERSON,
10414,his,PERSON,
10441,Lestrade,PERSON,{'PERSON': 0.60929320420665}
10469,Mr. Holmes,PERSON,
10540,McFarlane,PERSON,{'PERSON': 0.99212992665467}
10535,he,PERSON,
10559,Norwood,LOCATION,{'LOCATION': 0.42964619437202}
10568,he,PERSON,
10576,his,PERSON,
10584,his,PERSON,
10586,he,PERSON,
10595,his,PERSON,
10608,him,PERSON,
10617,he,PERSON,
10643,Mr. Cornelius,PERSON,
10625,He,PERSON,
10629,his,PERSON,
10636,he,PERSON,
10692,He,PERSON,
10696,his,PERSON,
10726,him,PERSON,
10730,he,PERSON,
10736,his,PERSON,
10751,his,PERSON,
10756,he,PERSON,
10762,he,PERSON,
10767,her,PERSON,
10779,he,PERSON,
10808,his,PERSON,
10859,he,PERSON,
