lemma,pos,ner
"""",``,O
it,PRP,O
can,MD,O
not,RB,O
hurt,VB,O
now,RB,O
",",",",O
"""",'',O
be,VBD,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
's,POS,O
comment,NN,O
when,WRB,O
",",",",O
for,IN,O
the,DT,O
tenth,JJ,O
time,NN,O
in,IN,O
as,RB,O
many,JJ,O
year,NNS,O
",",",",O
I,PRP,O
ask,VBD,O
he,PRP$,O
leave,NN,O
to,TO,O
reveal,VB,O
the,DT,O
follow,VBG,O
narrative,NN,O
.,.,O
so,RB,O
it,PRP,O
be,VBD,O
that,DT,O
at,IN,O
last,JJ,O
I,PRP,O
obtain,VBD,O
permission,NN,O
to,TO,O
put,VB,O
on,RP,O
record,NN,O
what,WP,O
be,VBD,O
",",",",O
in,IN,O
some,DT,O
way,NNS,O
",",",",O
the,DT,O
supreme,JJ,O
moment,NN,O
of,IN,O
my,PRP$,O
friend,NN,O
's,POS,O
career,NN,O
.,.,O
both,DT,O
Holmes,NNP,PERSON
and,CC,O
I,PRP,O
have,VBD,O
a,DT,O
weakness,NN,O
for,IN,O
the,DT,O
turkish,JJ,MISC
bath,NN,O
.,.,O
it,PRP,O
be,VBD,O
over,IN,O
a,DT,O
smoke,NN,O
in,IN,O
the,DT,O
pleasant,JJ,O
lassitude,NN,O
of,IN,O
the,DT,O
drying,NN,O
-,HYPH,O
room,NN,O
that,WDT,O
I,PRP,O
have,VBP,O
find,VBN,O
he,PRP,O
less,RBR,O
reticent,JJ,O
and,CC,O
more,RBR,O
human,JJ,O
than,IN,O
anywhere,RB,O
else,RB,O
.,.,O
on,IN,O
the,DT,O
upper,JJ,O
floor,NN,O
of,IN,O
the,DT,O
Northumberland,NNP,LOCATION
Avenue,NNP,LOCATION
establishment,NN,O
there,EX,O
be,VBZ,O
a,DT,O
isolated,JJ,O
corner,NN,O
where,WRB,O
two,CD,O
couch,NNS,O
lie,VBP,O
side,NN,O
by,IN,O
side,NN,O
",",",",O
and,CC,O
it,PRP,O
be,VBD,O
on,IN,O
these,DT,O
that,WDT,O
we,PRP,O
lay,VBD,O
upon,IN,O
September,NNP,DATE
3,CD,DATE
",",",",DATE
1902,CD,DATE
",",",",O
the,DT,O
day,NN,O
when,WRB,O
my,PRP$,O
narrative,NN,O
begin,VBZ,O
.,.,O
I,PRP,O
have,VBD,O
ask,VBN,O
he,PRP,O
whether,IN,O
anything,NN,O
be,VBD,O
stir,VBG,O
",",",",O
and,CC,O
for,IN,O
answer,NN,O
he,PRP,O
have,VBD,O
shoot,VBN,O
he,PRP$,O
long,JJ,O
",",",",O
thin,JJ,O
",",",",O
nervous,JJ,O
arm,NN,O
out,IN,O
of,IN,O
the,DT,O
sheet,NNS,O
which,WDT,O
envelop,VBD,O
he,PRP,O
and,CC,O
have,VBD,O
draw,VBN,O
a,DT,O
envelope,NN,O
from,IN,O
the,DT,O
inside,JJ,O
pocket,NN,O
of,IN,O
the,DT,O
coat,NN,O
which,WDT,O
hang,VBD,O
beside,IN,O
he,PRP,O
.,.,O
"""",``,O
it,PRP,O
may,MD,O
be,VB,O
some,DT,O
fussy,JJ,O
",",",",O
self,NN,O
-,HYPH,O
important,JJ,O
fool,NN,O
;,:,O
it,PRP,O
may,MD,O
be,VB,O
a,DT,O
matter,NN,O
of,IN,O
life,NN,O
or,CC,O
death,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
as,IN,O
he,PRP,O
hand,VBD,O
I,PRP,O
the,DT,O
note,NN,O
.,.,O
"""",``,O
I,PRP,O
know,VBP,O
no,DT,O
more,JJR,O
than,IN,O
this,DT,O
message,NN,O
tell,VBZ,O
I,PRP,O
.,.,O
"""",'',O
it,PRP,O
be,VBD,O
from,IN,O
the,DT,O
Carlton,NNP,PERSON
Club,NNP,PERSON
and,CC,O
date,VBN,O
the,DT,O
evening,NN,O
before,RB,O
.,.,O
this,DT,O
be,VBZ,O
what,WP,O
I,PRP,O
read,VBD,O
:,:,O
Sir,NNP,O
James,NNP,PERSON
Damery,NNP,PERSON
present,VBZ,O
he,PRP$,O
compliment,NNS,O
to,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
and,CC,O
will,MD,O
call,VB,O
upon,IN,O
he,PRP,O
at,IN,O
4.30,CD,O
to,IN,O
-,HYPH,O
morrow,NN,O
.,.,O
Sir,NNP,O
James,NNP,PERSON
beg,VBZ,O
to,TO,O
say,VB,O
that,IN,O
the,DT,O
matter,NN,O
upon,IN,O
which,WDT,O
he,PRP,O
desire,VBZ,O
to,TO,O
consult,VB,O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
be,VBZ,O
very,RB,O
delicate,JJ,O
and,CC,O
also,RB,O
very,RB,O
important,JJ,O
.,.,O
he,PRP,O
trust,VBZ,O
",",",",O
therefore,RB,O
",",",",O
that,IN,O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
will,MD,O
make,VB,O
every,DT,O
effort,NN,O
to,TO,O
grant,VB,O
this,DT,O
interview,NN,O
",",",",O
and,CC,O
that,IN,O
he,PRP,O
will,MD,O
confirm,VB,O
it,PRP,O
over,IN,O
the,DT,O
telephone,NN,O
to,IN,O
the,DT,O
Carlton,NNP,ORGANIZATION
Club,NNP,ORGANIZATION
.,.,O
"""",``,O
I,PRP,O
need,VBP,O
not,RB,O
say,VB,O
that,IN,O
I,PRP,O
have,VBP,O
confirm,VBN,O
it,PRP,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
as,IN,O
I,PRP,O
return,VBD,O
the,DT,O
paper,NN,O
.,.,O
"""",``,O
do,VBP,O
you,PRP,O
know,VB,O
anything,NN,O
of,IN,O
this,DT,O
man,NN,O
Damery,NNP,PERSON
?,.,O
"""",'',O
"""",``,O
only,RB,O
that,IN,O
this,DT,O
name,NN,O
be,VBZ,O
a,DT,O
household,NN,O
word,NN,O
in,IN,O
society,NN,O
.,.,O
"""",'',O
"""",``,O
well,UH,O
",",",",O
I,PRP,O
can,MD,O
tell,VB,O
you,PRP,O
a,DT,O
little,JJ,O
more,JJR,O
than,IN,O
that,DT,O
.,.,O
he,PRP,O
have,VBZ,O
rather,RB,O
a,DT,O
reputation,NN,O
for,IN,O
arrange,VBG,O
delicate,JJ,O
matter,NNS,O
which,WDT,O
be,VBP,O
to,TO,O
be,VB,O
keep,VBN,O
out,IN,O
of,IN,O
the,DT,O
papers,NNS,O
.,.,O
you,PRP,O
may,MD,O
remember,VB,O
he,PRP$,O
negotiation,NNS,O
with,IN,O
Sir,NNP,O
George,NNP,PERSON
Lewis,NNP,PERSON
over,IN,O
the,DT,O
Hammerford,NNP,O
Will,NNP,O
case,NN,O
.,.,O
he,PRP,O
be,VBZ,O
a,DT,O
man,NN,O
of,IN,O
the,DT,O
world,NN,O
with,IN,O
a,DT,O
natural,JJ,O
turn,NN,O
for,IN,O
diplomacy,NN,O
.,.,O
I,PRP,O
be,VBP,O
bind,VBN,O
",",",",O
therefore,RB,O
",",",",O
to,TO,O
hope,VB,O
that,IN,O
it,PRP,O
be,VBZ,O
not,RB,O
a,DT,O
false,JJ,O
scent,NN,O
and,CC,O
that,IN,O
he,PRP,O
have,VBZ,O
some,DT,O
real,JJ,O
need,NN,O
for,IN,O
we,PRP$,O
assistance,NN,O
.,.,O
"""",``,O
"""",``,O
we,PRP$,O
?,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
