lemma,pos,ner
it,PRP,O
be,VBD,O
no,DT,O
very,RB,O
unusual,JJ,O
thing,NN,O
for,IN,O
Mr.,NNP,PERSON
Lestrade,NNP,PERSON
",",",",O
of,IN,O
Scotland,NNP,LOCATION
Yard,NNP,LOCATION
",",",",O
to,TO,O
look,VB,O
in,IN,O
upon,IN,O
we,PRP,O
of,IN,O
a,DT,O
evening,NN,O
",",",",O
and,CC,O
he,PRP$,O
visit,NNS,O
be,VBD,O
welcome,JJ,O
to,IN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
for,IN,O
they,PRP,O
enable,VBD,O
he,PRP,O
to,TO,O
keep,VB,O
in,IN,O
touch,NN,O
with,IN,O
all,DT,O
that,WDT,O
be,VBD,O
go,VBG,O
on,RP,O
at,IN,O
the,DT,O
police,NN,O
head,NN,O
-,HYPH,O
quarter,NNS,O
.,.,O
in,IN,O
return,NN,O
for,IN,O
the,DT,O
news,NN,O
which,WDT,O
Lestrade,NNP,PERSON
would,MD,O
bring,VB,O
",",",",O
Holmes,NNP,PERSON
be,VBD,O
always,RB,O
ready,JJ,O
to,TO,O
listen,VB,O
with,IN,O
attention,NN,O
to,IN,O
the,DT,O
detail,NNS,O
of,IN,O
any,DT,O
case,NN,O
upon,IN,O
which,WDT,O
the,DT,O
detective,NN,O
be,VBD,O
engage,VBN,O
",",",",O
and,CC,O
be,VBD,O
able,JJ,O
occasionally,RB,O
",",",",O
without,IN,O
any,DT,O
active,JJ,O
interference,NN,O
",",",",O
to,TO,O
give,VB,O
some,DT,O
hint,NN,O
or,CC,O
suggestion,NN,O
draw,VBN,O
from,IN,O
he,PRP$,O
own,JJ,O
vast,JJ,O
knowledge,NN,O
and,CC,O
experience,NN,O
.,.,O
on,IN,O
this,DT,O
particular,JJ,O
evening,NN,O
Lestrade,NNP,PERSON
have,VBD,O
speak,VBN,O
of,IN,O
the,DT,O
weather,NN,O
and,CC,O
the,DT,O
newspaper,NNS,O
.,.,O
then,RB,O
he,PRP,O
have,VBD,O
fall,VBN,O
silent,JJ,O
",",",",O
puff,VBG,O
thoughtfully,RB,O
at,IN,O
he,PRP$,O
cigar,NN,O
.,.,O
Holmes,NNP,PERSON
look,VBD,O
keenly,RB,O
at,IN,O
he,PRP,O
.,.,O
"""",``,O
anything,NN,O
remarkable,JJ,O
on,IN,O
hand,NN,O
?,.,O
"""",'',O
he,PRP,O
ask,VBD,O
.,.,O
"""",``,O
oh,UH,O
",",",",O
no,UH,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
nothing,NN,O
very,RB,O
particular,JJ,O
.,.,O
"""",'',O
"""",``,O
then,RB,O
tell,VB,O
I,PRP,O
about,IN,O
it,PRP,O
.,.,O
"""",'',O
Lestrade,NNP,PERSON
laugh,VBD,O
.,.,O
"""",``,O
well,UH,O
",",",",O
Mr.,NNP,PERSON
