lemma,pos,ner
I,PRP,O
have,VBD,O
call,VBN,O
upon,IN,O
my,PRP$,O
friend,NN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
upon,IN,O
the,DT,O
second,JJ,O
morning,NN,O
after,IN,O
Christmas,NNP,DATE
",",",",O
with,IN,O
the,DT,O
intention,NN,O
of,IN,O
wish,VBG,O
he,PRP,O
the,DT,O
compliment,NNS,O
of,IN,O
the,DT,O
season,NN,O
.,.,O
he,PRP,O
be,VBD,O
lounge,VBG,O
upon,IN,O
the,DT,O
sofa,NN,O
in,IN,O
a,DT,O
purple,JJ,O
dressing,NN,O
-,HYPH,O
gown,NN,O
",",",",O
a,DT,O
pipe,NN,O
-,HYPH,O
rack,NN,O
within,IN,O
he,PRP$,O
reach,NN,O
upon,IN,O
the,DT,O
right,NN,O
",",",",O
and,CC,O
a,DT,O
pile,NN,O
of,IN,O
crumpled,JJ,O
morning,NN,O
papers,NNS,O
",",",",O
evidently,RB,O
newly,RB,O
study,VBN,O
",",",",O
near,IN,O
at,IN,O
hand,NN,O
.,.,O
beside,IN,O
the,DT,O
couch,NN,O
be,VBD,O
a,DT,O
wooden,JJ,O
chair,NN,O
",",",",O
and,CC,O
on,IN,O
the,DT,O
angle,NN,O
of,IN,O
the,DT,O
back,NN,O
hang,VBD,O
a,DT,O
very,RB,O
seedy,JJ,O
and,CC,O
disreputable,JJ,O
hard,JJ,O
-,HYPH,O
feel,VBN,O
hat,NN,O
",",",",O
much,RB,O
the,DT,O
worse,JJR,O
for,IN,O
wear,NN,O
",",",",O
and,CC,O
crack,VBN,O
in,IN,O
several,JJ,O
place,NNS,O
.,.,O
a,DT,O
lens,NN,O
and,CC,O
a,DT,O
forceps,NN,O
lie,VBG,O
upon,IN,O
the,DT,O
seat,NN,O
of,IN,O
the,DT,O
chair,NN,O
suggest,VBD,O
that,IN,O
the,DT,O
hat,NN,O
have,VBD,O
be,VBN,O
suspend,VBN,O
in,IN,O
this,DT,O
manner,NN,O
for,IN,O
the,DT,O
