lemma,pos,ner
in,IN,O
the,DT,O
year,NN,DATE
1878,CD,DATE
I,PRP,O
take,VBD,O
my,PRP$,O
degree,NN,O
of,IN,O
Doctor,NNP,O
of,IN,O
Medicine,NNP,O
of,IN,O
the,DT,O
University,NNP,ORGANIZATION
of,IN,ORGANIZATION
London,NNP,ORGANIZATION
",",",",O
and,CC,O
proceed,VBD,O
to,IN,O
Netley,NNP,LOCATION
to,TO,O
go,VB,O
through,IN,O
the,DT,O
course,NN,O
prescribe,VBN,O
for,IN,O
surgeon,NNS,O
in,IN,O
the,DT,O
army,NN,O
.,.,O
have,VBG,O
complete,VBN,O
my,PRP$,O
study,NNS,O
there,RB,O
",",",",O
I,PRP,O
be,VBD,O
duly,RB,O
attach,VBN,O
to,IN,O
the,DT,O
Fifth,NNP,O
Northumberland,NNP,LOCATION
Fusiliers,NNP,LOCATION
as,IN,O
Assistant,NNP,O
Surgeon,NNP,O
.,.,O
the,DT,O
regiment,NN,O
be,VBD,O
station,VBN,O
in,IN,O
India,NNP,LOCATION
at,IN,O
the,DT,O
time,NN,O
",",",",O
and,CC,O
before,IN,O
I,PRP,O
could,MD,O
join,VB,O
it,PRP,O
",",",",O
the,DT,O
second,JJ,O
afghan,JJ,MISC
war,NN,O
have,VBD,O
break,VBN,O
out,RP,O
.,.,O
on,IN,O
landing,NN,O
at,IN,O
Bombay,NNP,LOCATION
",",",",O
I,PRP,O
learn,VBD,O
that,IN,O
my,PRP$,O
corps,NN,O
have,VBD,O
advance,VBN,O
through,IN,O
the,DT,O
pass,NNS,O
",",",",O
and,CC,O
be,VBD,O
already,RB,O
deep,JJ,O
in,IN,O
the,DT,O
enemy,NN,O
's,POS,O
country,NN,O
.,.,O
I,PRP,O
follow,VBD,O
",",",",O
however,RB,O
",",",",O
with,IN,O
many,JJ,O
other,JJ,O
officer,NNS,O
who,WP,O
be,VBD,O
in,IN,O
the,DT,O
same,JJ,O
situation,NN,O
as,IN,O
myself,PRP,O
",",",",O
and,CC,O
succeed,VBD,O
in,IN,O
reach,VBG,O
Candahar,NNP,LOCATION
in,IN,O
safety,NN,O
",",",",O
where,WRB,O
I,PRP,O
find,VBD,O
my,PRP$,O
regiment,NN,O
",",",",O
and,CC,O
at,IN,O
once,RB,O
enter,VBN,O
upon,IN,O
my,PRP$,O
new,JJ,O
duty,NNS,O
.,.,O
the,DT,O
campaign,NN,O
bring,VBD,O
honour,NNS,O
and,CC,O
promotion,NN,O
to,IN,O
many,JJ,O
",",",",O
but,CC,O
for,IN,O
I,PRP,O
it,PRP,O
have,VBD,O
nothing,NN,O
but,CC,O
misfortune,NN,O
and,CC,O
disaster,NN,O
.,.,O
I,PRP,O
be,VBD,O
remove,VBN,O
from,IN,O
my,PRP$,O
brigade,NN,O
and,CC,O
attach,VBN,O
to,IN,O
the,DT,O
Berkshires,NNPS,LOCATION
",",",",O
with,IN,O
whom,WP,O
I,PRP,O
serve,VBD,O
at,IN,O
the,DT,O
fatal,JJ,O
battle,NN,O
of,IN,O
Maiwand,NNP,LOCATION
.,.,O
there,RB,O
I,PRP,O
be,VBD,O
strike,VBN,O
on,IN,O
the,DT,O
shoulder,NN,O
by,IN,O
a,DT,O
Jezail,NNP,MISC
bullet,NN,O
",",",",O
which,WDT,O
shatter,VBD,O
the,DT,O
bone,NN,O
and,CC,O
graze,VBD,O
the,DT,O
subclavian,JJ,O
artery,NN,O
.,.,O
I,PRP,O
should,MD,O
have,VB,O
fall,VBN,O
into,IN,O
the,DT,O
hand,NNS,O
of,IN,O
the,DT,O
murderous,JJ,O
Ghazis,NNP,PERSON
have,VBD,O
it,PRP,O
not,RB,O
be,VBN,O
for,IN,O
the,DT,O
devotion,NN,O
and,CC,O
courage,NN,O
show,VBN,O
by,IN,O
Murray,NNP,PERSON
",",",",O
my,PRP$,O
orderly,JJ,O
",",",",O
who,WP,O
throw,VBD,O
I,PRP,O
across,IN,O
a,DT,O
pack,NN,O
-,HYPH,O
horse,NN,O
",",",",O
and,CC,O
succeed,VBD,O
in,IN,O
bring,VBG,O
I,PRP,O
safely,RB,O
to,IN,O
the,DT,O
british,JJ,MISC
line,NNS,O
.,.,O
wear,VBN,O
with,IN,O
pain,NN,O
",",",",O
and,CC,O
weak,JJ,O
from,IN,O
the,DT,O
prolonged,JJ,O
hardship,NNS,O
which,WDT,O
I,PRP,O
have,VBD,O
undergo,VBN,O
",",",",O
I,PRP,O
be,VBD,O
remove,VBN,O
",",",",O
with,IN,O
a,DT,O
great,JJ,O
train,NN,O
of,IN,O
wounded,JJ,O
sufferer,NNS,O
",",",",O
to,IN,O
the,DT,O
base,NN,O
hospital,NN,O
at,IN,O
Peshawar,NNP,LOCATION
.,.,O
here,RB,O
I,PRP,O
rally,VBD,O
",",",",O
and,CC,O
have,VBD,O
already,RB,O
improve,VBN,O
so,RB,O
far,RB,O
as,IN,O
to,TO,O
be,VB,O
able,JJ,O
to,TO,O
walk,VB,O
about,IN,O
the,DT,O
ward,NNS,O
",",",",O
and,CC,O
even,RB,O
to,IN,O
bask,VB,O
a,DT,O
little,JJ,O
upon,IN,O
the,DT,O
verandah,NN,O
",",",",O
when,WRB,O
I,PRP,O
be,VBD,O
strike,VBN,O
down,RP,O
by,IN,O
enteric,JJ,O
fever,NN,O
",",",",O
that,DT,O
curse,NN,O
of,IN,O
we,PRP$,O
indian,JJ,MISC
possession,NNS,O
.,.,O
for,IN,O
month,NNS,O
my,PRP$,O
life,NN,O
be,VBD,O
despaired,JJ,O
of,IN,O
",",",",O
and,CC,O
when,WRB,O
at,IN,O
last,JJ,O
I,PRP,O
come,VBD,O
to,IN,O
myself,PRP,O
and,CC,O
become,VBD,O
convalescent,JJ,O
",",",",O
I,PRP,O
be,VBD,O
so,RB,O
weak,JJ,O
and,CC,O
emaciated,JJ,O
that,IN,O
a,DT,O
medical,JJ,O
board,NN,O
determine,VBD,O
that,IN,O
not,RB,O
a,DT,O
day,NN,O
should,MD,O
be,VB,O
lose,VBN,O
in,IN,O
send,VBG,O
I,PRP,O
back,RB,O
to,IN,O
England,NNP,LOCATION
.,.,O
I,PRP,O
be,VBD,O
dispatch,VBN,O
",",",",O
accordingly,RB,O
",",",",O
in,IN,O
the,DT,O
troopship,NN,O
oronte,NNS,O
",",",",O
and,CC,O
land,VBD,O
a,DT,O
month,NN,O
later,RB,O
on,IN,O
Portsmouth,NNP,LOCATION
jetty,NN,O
",",",",O
with,IN,O
my,PRP$,O
health,NN,O
irretrievably,RB,O
ruin,VBD,O
",",",",O
but,CC,O
with,IN,O
permission,NN,O
from,IN,O
a,DT,O
paternal,JJ,O
government,NN,O
to,TO,O
spend,VB,O
the,DT,O
next,JJ,O
nine,CD,O
month,NNS,O
in,IN,O
attempt,VBG,O
to,TO,O
improve,VB,O
it,PRP,O
.,.,O
I,PRP,O
have,VBD,O
neither,CC,O
kith,NN,O
nor,CC,O
kin,NN,O
in,IN,O
England,NNP,LOCATION
",",",",O
and,CC,O
be,VBD,O
therefore,RB,O
as,IN,O
free,JJ,O
as,IN,O
air,NN,O
--,:,O
or,CC,O
as,IN,O
free,JJ,O
as,IN,O
a,DT,O
income,NN,O
of,IN,O
eleven,CD,O
shilling,NNS,O
and,CC,O
sixpence,VBP,O
a,DT,O
day,NN,O
will,MD,O
permit,VB,O
a,DT,O
man,NN,O
to,TO,O
be,VB,O
.,.,O
under,IN,O
such,JJ,O
circumstance,NNS,O
",",",",O
I,PRP,O
naturally,RB,O
gravitate,VBD,O
to,IN,O
London,NNP,LOCATION
",",",",O
that,DT,O
great,JJ,O
cesspool,NN,O
into,IN,O
which,WDT,O
all,PDT,O
the,DT,O
lounger,NNS,O
and,CC,O
idler,NNS,O
of,IN,O
the,DT,O
empire,NN,O
be,VBP,O
irresistibly,RB,O
drain,VBN,O
.,.,O
there,RB,O
I,PRP,O
stay,VBD,O
