lemma,pos,ner
it,PRP,O
be,VBD,O
in,IN,O
the,DT,O
spring,NN,DATE
of,IN,DATE
the,DT,DATE
year,NN,DATE
1894,CD,DATE
that,IN,O
all,DT,O
London,NNP,LOCATION
be,VBD,O
interested,JJ,O
",",",",O
and,CC,O
the,DT,O
fashionable,JJ,O
world,NN,O
dismay,VBN,O
",",",",O
by,IN,O
the,DT,O
murder,NN,O
of,IN,O
the,DT,O
Honourable,NNP,O
Ronald,NNP,PERSON
Adair,NNP,PERSON
under,IN,O
most,JJS,O
unusual,JJ,O
and,CC,O
inexplicable,JJ,O
circumstance,NNS,O
.,.,O
the,DT,O
public,NN,O
have,VBZ,O
already,RB,O
learn,VBN,O
those,DT,O
particulars,NNS,O
of,IN,O
the,DT,O
crime,NN,O
which,WDT,O
come,VBD,O
out,RP,O
in,IN,O
the,DT,O
police,NN,O
investigation,NN,O
;,:,O
but,CC,O
a,DT,O
good,JJ,O
deal,NN,O
be,VBD,O
suppress,VBN,O
upon,IN,O
that,DT,O
occasion,NN,O
",",",",O
since,IN,O
the,DT,O
case,NN,O
for,IN,O
the,DT,O
prosecution,NN,O
be,VBD,O
so,RB,O
overwhelmingly,RB,O
strong,JJ,O
that,IN,O
it,PRP,O
be,VBD,O
not,RB,O
necessary,JJ,O
to,TO,O
bring,VB,O
forward,RB,O
all,PDT,O
the,DT,O
fact,NNS,O
.,.,O
only,RB,O
now,RB,O
",",",",O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
nearly,RB,O
ten,CD,O
year,NNS,O
",",",",O
be,VBP,O
I,PRP,O
allow,VBN,O
to,TO,O
supply,VB,O
those,DT,O
miss,VBG,O
link,NNS,O
which,WDT,O
make,VBP,O
up,RP,O
the,DT,O
whole,NN,O
of,IN,O
that,DT,O
remarkable,JJ,O
chain,NN,O
.,.,O
the,DT,O
crime,NN,O
be,VBD,O
of,IN,O
interest,NN,O
in,IN,O
itself,PRP,O
",",",",O
but,CC,O
that,IN,O
interest,NN,O
be,VBD,O
as,IN,O
nothing,NN,O
to,IN,O
I,PRP,O
compare,VBN,O
to,IN,O
the,DT,O
inconceivable,JJ,O
sequel,NN,O
",",",",O
which,WDT,O
afford,VBD,O
I,PRP,O
the,DT,O
greatest,JJS,O
shock,NN,O
and,CC,O
surprise,NN,O
of,IN,O
any,DT,O
event,NN,O
in,IN,O
my,PRP$,O
adventurous,JJ,O
life,NN,O
.,.,O
even,RB,O
now,RB,O
",",",",O
after,IN,O
this,DT,O
long,JJ,O
interval,NN,O
",",",",O
I,PRP,O
find,VBP,O
myself,PRP,O
thrilling,JJ,O
as,IN,O
I,PRP,O
think,VBP,O
of,IN,O
it,PRP,O
",",",",O
and,CC,O
feel,VBG,O
once,RB,O
more,RBR,O
that,RB,O
sudden,JJ,O
flood,NN,O
of,IN,O
joy,NN,O
",",",",O
amazement,NN,O
",",",",O
and,CC,O
