lemma,pos,ner
we,PRP,O
have,VBP,O
have,VBN,O
some,DT,O
dramatic,JJ,O
entrance,NNS,O
and,CC,O
exit,NNS,O
upon,IN,O
we,PRP$,O
small,JJ,O
stage,NN,O
at,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
",",",",O
but,CC,O
I,PRP,O
can,MD,O
not,RB,O
recollect,VB,O
anything,NN,O
more,JJR,O
sudden,JJ,O
and,CC,O
startling,JJ,O
than,IN,O
the,DT,O
first,JJ,O
appearance,NN,O
of,IN,O
Thorneycroft,NNP,PERSON
Huxtable,NNP,PERSON
",",",",O
M.A.,NNP,O
",",",",O
ph.d.,NN,O
",",",",O
etc.,FW,O
.,.,O
he,PRP$,O
card,NN,O
",",",",O
which,WDT,O
seem,VBD,O
too,RB,O
small,JJ,O
to,TO,O
carry,VB,O
the,DT,O
weight,NN,O
of,IN,O
he,PRP$,O
academic,JJ,O
distinction,NNS,O
",",",",O
precede,VBD,O
he,PRP,O
by,IN,O
a,DT,O
few,JJ,O
seconds,NNS,O
",",",",O
and,CC,O
then,RB,O
he,PRP,O
enter,VBD,O
himself,PRP,O
--,:,O
so,RB,O
large,JJ,O
",",",",O
so,RB,O
pompous,JJ,O
",",",",O
and,CC,O
so,RB,O
dignified,JJ,O
that,IN,O
he,PRP,O
be,VBD,O
the,DT,O
very,RB,O
embodiment,NN,O
of,IN,O
self,NN,O
-,HYPH,O
possession,NN,O
and,CC,O
solidity,NN,O
.,.,O
and,CC,O
yet,RB,O
he,PRP$,O
first,JJ,O
action,NN,O
when,WRB,O
the,DT,O
door,NN,O
have,VBD,O
close,VBN,O
behind,IN,O
he,PRP,O
be,VBD,O
to,TO,O
stagger,VB,O
against,IN,O
the,DT,O
table,NN,O
",",",",O
whence,IN,O
he,PRP,O
slip,VBD,O
down,RP,O
upon,IN,O
the,DT,O
floor,NN,O
",",",",O
and,CC,O
there,EX,O
be,VBD,O
that,DT,O
majestic,JJ,O
figure,NN,O
prostrate,NN,O
and,CC,O
insensible,JJ,O
upon,IN,O
we,PRP$,O
bearskin,JJ,O
hearthrug,NN,O
.,.,O
we,PRP,O
have,VBD,O
spring,VBN,O
to,IN,O
we,PRP$,O
foot,NNS,O
",",",",O
and,CC,O
for,IN,O
a,DT,O
few,JJ,O
moment,NNS,O
we,PRP,O
stare,VBD,O
in,IN,O
silent,JJ,O
amazement,NN,O
at,IN,O
this,DT,O
ponderous,JJ,O
piece,NN,O
of,IN,O
wreckage,NN,O
",",",",O
which,WDT,O
tell,VBD,O
of,IN,O
some,RB,O
sudden,JJ,O
and,CC,O
fatal,JJ,O
storm,NN,O
far,RB,O
out,RB,O
on,IN,O
the,DT,O
ocean,NN,O
of,IN,O
life,NN,O
.,.,O
then,RB,O
Holmes,NNP,PERSON
hurry,VBD,O
with,IN,O
a,DT,O
cushion,NN,O
for,IN,O
he,PRP$,O
head,NN,O
and,CC,O
I,PRP,O
with,IN,O
brandy,NN,O
for,IN,O
he,PRP$,O
lip,NNS,O
.,.,O
the,DT,O
heavy,JJ,O
white,JJ,O
face,NN,O
be,VBD,O
seam,VBN,O
with,IN,O
line,NNS,O
of,IN,O
trouble,NN,O
",",",",O
the,DT,O
hang,VBG,O
pouch,NNS,O
under,IN,O
the,DT,O
closed,JJ,O
eye,NNS,O
be,VBD,O
leaden,VBN,O
in,IN,O
colour,NN,O
",",",",O
the,DT,O
loose,JJ,O
mouth,NN,O
drooped,JJ,O
dolorously,RB,O
at,IN,O
the,DT,O
corner,NNS,O
",",",",O
the,DT,O
rolling,JJ,O
chin,NNS,O
be,VBD,O
unshaven,JJ,O
.,.,O
collar,NN,O
and,CC,O
shirt,NN,O
bear,VBD,O
the,DT,O
grime,NN,O
of,IN,O
a,DT,O
long,JJ,O
journey,NN,O
",",",",O
and,CC,O
the,DT,O
hair,NN,O
bristle,VBN,O
unkempt,JJ,O
from,IN,O
the,DT,O
well,NN,O
