occurence,speaker,canonicalSpeaker,text
0,his,Unknown,Sophy Anderson
1,his,he,"Why,"
2,his,he,"that was surely the bell. Who could come to-night? Some friend of yours, perhaps?"
3,his,he,"Except yourself I have none,"
4,his,he,I do not encourage visitors.
5,his,he,"A client, then?"
6,Sherlock Holmes,Sherlock Holmes,"If so, it is a serious case. Nothing less would bring a man out on such a day and at such an hour. But I take it that it is more likely to be some crony of the landlady's."
7,his,Sherlock Holmes,Come in!
8,his,Sherlock Holmes,"I owe you an apology,"
9,Holmes,Sherlock Holmes,I trust that I am not intruding. I fear that I have brought some traces of the storm and rain into your snug chamber.
10,Holmes,Sherlock Holmes,"Give me your coat and umbrella,"
11,Holmes,Sherlock Holmes,"They may rest here on the hook and will be dry presently. You have come up from the south-west, I see."
12,Holmes,Sherlock Holmes,"Yes, from Horsham."
13,Holmes,Sherlock Holmes,That clay and chalk mixture which I see upon your toe caps is quite distinctive.
14,Holmes,Sherlock Holmes,I have come for advice.
15,Holmes,Sherlock Holmes,That is easily got.
16,Holmes,Sherlock Holmes,And help.
17,Holmes,Sherlock Holmes,That is not always so easy.
18,Holmes,Sherlock Holmes,"I have heard of you, Mr. Holmes. I heard from Major Prendergast how you saved him in the Tankerville Club scandal."
19,Holmes,Sherlock Holmes,"Ah, of course. He was wrongfully accused of cheating at cards."
20,Holmes,Sherlock Holmes,He said that you could solve anything.
21,Holmes,Sherlock Holmes,He said too much.
22,Holmes,Sherlock Holmes,That you are never beaten.
23,Holmes,Sherlock Holmes,"I have been beaten four times--three times by men, and once by a woman."
24,Holmes,Sherlock Holmes,But what is that compared with the number of your successes?
25,Holmes,Sherlock Holmes,It is true that I have been generally successful.
26,Holmes,Sherlock Holmes,Then you may be so with me.
27,Holmes,Sherlock Holmes,I beg that you will draw your chair up to the fire and favour me with some details as to your case.
28,Holmes,Sherlock Holmes,It is no ordinary one.
29,Holmes,Sherlock Holmes,None of those which come to me are. I am the last court of appeal.
30,Holmes,Sherlock Holmes,"And yet I question, sir, whether, in all your experience, you have ever listened to a more mysterious and inexplicable chain of events than those which have happened in my own family."
31,Holmes,Sherlock Holmes,"You fill me with interest,"
32,Holmes,Sherlock Holmes,"Pray give us the essential facts from the commencement, and I can afterwards question you as to those details which seem to me to be most important."
33,his,his,"My name,"
