lemma,pos,ner
"""",``,O
I,PRP,O
have,VBP,O
some,DT,O
papers,NNS,O
here,RB,O
",",",",O
"""",'',O
say,VBD,O
my,PRP$,O
friend,NN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
as,IN,O
we,PRP,O
sit,VBD,O
one,CD,O
winter,NN,O
's,POS,O
night,NN,O
on,IN,O
either,DT,O
side,NN,O
of,IN,O
the,DT,O
fire,NN,O
",",",",O
"""",'',O
which,WDT,O
I,PRP,O
really,RB,O
think,VBP,O
",",",",O
Watson,NNP,PERSON
",",",",O
that,IN,O
it,PRP,O
would,MD,O
be,VB,O
worth,JJ,O
you,PRP$,O
while,NN,O
to,IN,O
glance,NN,O
over,IN,O
.,.,O
these,DT,O
be,VBP,O
the,DT,O
document,NNS,O
in,IN,O
the,DT,O
extraordinary,JJ,O
case,NN,O
of,IN,O
the,DT,O
Gloria,NNP,ORGANIZATION
Scott,NNP,ORGANIZATION
",",",",O
and,CC,O
this,DT,O
be,VBZ,O
the,DT,O
message,NN,O
which,WDT,O
strike,VBD,O
Justice,NNP,O
of,IN,O
the,DT,O
peace,NN,O
Trevor,NNP,PERSON
dead,JJ,O
with,IN,O
horror,NN,O
when,WRB,O
he,PRP,O
read,VBD,O
it,PRP,O
.,.,O
"""",``,O
he,PRP,O
have,VBD,O
pick,VBN,O
from,IN,O
a,DT,O
drawer,NN,O
a,DT,O
little,JJ,O
tarnished,JJ,O
cylinder,NN,O
",",",",O
and,CC,O
",",",",O
undo,VBG,O
the,DT,O
tape,NN,O
",",",",O
he,PRP,O
hand,VBD,O
I,PRP,O
a,DT,O
short,JJ,O
note,NN,O
scrawl,VBN,O
upon,IN,O
a,DT,O
half,NN,O
-,HYPH,O
sheet,NN,O
of,IN,O
slate,NN,O
gray,JJ,O
-,HYPH,O
paper,NN,O
.,.,O
"""",'',O
the,DT,O
supply,NN,O
of,IN,O
game,NN,O
for,IN,O
London,NNP,LOCATION
be,VBZ,O
go,VBG,O
steadily,RB,O
up,RB,O
",",",",O
"""",'',O
it,PRP,O
run,VBD,O
.,.,O
"""",'',O
head,VB,O
-,HYPH,O
keeper,NN,O
hudson,NN,LOCATION
",",",",O
we,PRP,O
believe,VBP,O
",",",",O
have,VBZ,O
be,VBN,O
now,RB,O
tell,VBN,O
to,TO,O
receive,VB,O
all,DT,O
order,NNS,O
for,IN,O
fly,NN,O
-,HYPH,O
paper,NN,O
and,CC,O
for,IN,O
preservation,NN,O
of,IN,O
you,PRP$,O
hen,NN,O
-,HYPH,O
pheasant,NN,O
's,POS,O
life,NN,O
.,.,O
"""",``,O
as,IN,O
I,PRP,O
glance,VBD,O
up,RP,O
from,IN,O
read,VBG,O
this,DT,O
enigmatical,JJ,O
message,NN,O
",",",",O
I,PRP,O
see,VBD,O
Holmes,NNP,PERSON
chuckle,VBG,O
at,IN,O
the,DT,O
expression,NN,O
upon,IN,O
my,PRP$,O
face,NN,O
.,.,O
"""",'',O
you,PRP,O
look,VBP,O
a,DT,O
little,JJ,O
bewilder,VBN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",'',O
I,PRP,O
can,MD,O
