lemma,pos,ner
shortly,RB,O
after,IN,O
my,PRP$,O
marriage,NN,O
I,PRP,O
have,VBD,O
buy,VBN,O
a,DT,O
connection,NN,O
in,IN,O
the,DT,O
Paddington,NNP,LOCATION
district,NN,O
.,.,O
old,JJ,O
Mr.,NNP,PERSON
Farquhar,NNP,PERSON
",",",",O
from,IN,O
whom,WP,O
I,PRP,O
purchase,VBD,O
it,PRP,O
",",",",O
have,VBD,O
at,IN,O
one,CD,O
time,NN,O
a,DT,O
excellent,JJ,O
general,JJ,O
practice,NN,O
;,:,O
but,CC,O
he,PRP$,O
age,NN,O
",",",",O
and,CC,O
a,DT,O
affliction,NN,O
of,IN,O
the,DT,O
nature,NN,O
of,IN,O
St.,NNP,ORGANIZATION
Vitus,NNP,ORGANIZATION
's,POS,O
dance,NN,O
from,IN,O
which,WDT,O
he,PRP,O
suffer,VBD,O
",",",",O
have,VBD,O
very,RB,O
much,JJ,O
thin,VBN,O
it,PRP,O
.,.,O
the,DT,O
public,JJ,O
not,RB,O
unnaturally,RB,O
go,VBZ,O
on,IN,O
the,DT,O
principle,NN,O
that,IN,O
he,PRP,O
who,WP,O
would,MD,O
heal,VB,O
other,NNS,O
must,MD,O
himself,PRP,O
be,VB,O
whole,JJ,O
",",",",O
and,CC,O
look,VBZ,O
askance,RB,O
at,IN,O
the,DT,O
curative,JJ,O
power,NNS,O
of,IN,O
the,DT,O
man,NN,O
whose,WP$,O
own,JJ,O
case,NN,O
be,VBZ,O
beyond,IN,O
the,DT,O
reach,NN,O
of,IN,O
he,PRP$,O
drug,NNS,O
.,.,O
thus,RB,O
as,IN,O
my,PRP$,O
predecessor,NN,O
weaken,VBD,O
he,PRP$,O
practice,NN,O
decline,VBD,O
",",",",O
until,IN,O
when,WRB,O
I,PRP,O
purchase,VBD,O
it,PRP,O
from,IN,O
he,PRP,O
it,PRP,O
have,VBD,O
sink,VBN,O
from,IN,O
twelve,CD,O
hundred,CD,O
to,IN,O
little,JJ,O
more,JJR,O
than,IN,O
three,CD,O
hundred,CD,O
a,DT,O
year,NN,O
.,.,O
I,PRP,O
have,VBD,O
confidence,NN,O
",",",",O
however,RB,O
",",",",O
in,IN,O
my,PRP$,O
own,JJ,O
youth,NN,O
and,CC,O
energy,NN,O
",",",",O
and,CC,O
be,VBD,O
convince,VBN,O
that,IN,O
in,IN,O
a,DT,O
very,RB,O
few,JJ,O
year,NNS,O
the,DT,O
concern,NN,O
