lemma,pos,ner
Mrs.,NNP,PERSON
Hudson,NNP,PERSON
",",",",O
the,DT,O
landlady,NN,O
of,IN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
be,VBD,O
a,DT,O
long,JJ,O
-,HYPH,O
suffering,NN,O
woman,NN,O
.,.,O
not,RB,O
only,RB,O
be,VBD,O
she,PRP$,O
first,JJ,O
-,HYPH,O
floor,NN,O
flat,JJ,O
invade,VBN,O
at,IN,O
all,DT,O
hour,NNS,O
by,IN,O
throng,NNS,O
of,IN,O
singular,JJ,O
and,CC,O
often,RB,O
undesirable,JJ,O
character,NNS,O
but,CC,O
she,PRP$,O
remarkable,JJ,O
lodger,NN,O
show,VBD,O
a,DT,O
eccentricity,NN,O
and,CC,O
irregularity,NN,O
in,IN,O
he,PRP$,O
life,NN,O
which,WDT,O
must,MD,O
have,VB,O
sorely,RB,O
try,VBN,O
she,PRP$,O
patience,NN,O
.,.,O
he,PRP$,O
incredible,JJ,O
untidiness,NN,O
",",",",O
he,PRP$,O
addiction,NN,O
to,IN,O
music,NN,O
at,IN,O
strange,JJ,O
hour,NNS,O
",",",",O
he,PRP$,O
occasional,JJ,O
revolver,NN,O
practice,NN,O
within,IN,O
door,NNS,O
",",",",O
he,PRP$,O
weird,JJ,O
and,CC,O
often,RB,O
malodorous,JJ,O
scientific,JJ,O
experiment,NNS,O
",",",",O
and,CC,O
the,DT,O
atmosphere,NN,O
of,IN,O
violence,NN,O
and,CC,O
danger,NN,O
which,WDT,O
hang,VBD,O
around,IN,O
he,PRP,O
make,VBD,O
he,PRP,O
the,DT,O
very,RB,O
worst,JJS,O
tenant,NN,O
in,IN,O
London,NNP,LOCATION
.,.,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
",",",",O
he,PRP$,O
payment,NNS,O
be,VBD,O
princely,RB,O
.,.,O
I,PRP,O
have,VBP,O
no,DT,O
doubt,NN,O
that,IN,O
the,DT,O
house,NN,O
might,MD,O
have,VB,O
be,VBN,O
purchase,VBN,O
at,IN,O
the,DT,O
price,NN,O
which,WDT,O
Holmes,NNP,PERSON
pay,VBD,O
for,IN,O
he,PRP$,O
room,NNS,O
during,IN,O
the,DT,O
year,NNS,O
that,WDT,O
I,PRP,O
be,VBD,O
with,IN,O
he,PRP,O
.,.,O
the,DT,O
landlady,NN,O
stand,VBD,O
in,IN,O
the,DT,O
deepest,JJS,O
awe,NN,O
of,IN,O
he,PRP,O
and,CC,O
never,RB,O
dare,VBD,O
to,TO,O
interfere,VB,O
with,IN,O
he,PRP,O
",",",",O
however,RB,O
outrageous,JJ,O
he,PRP$,O
proceedings,NNS,O
might,MD,O
seem,VB,O
.,.,O
she,PRP,O
be,VBD,O
fond,JJ,O
of,IN,O
he,PRP,O
",",",",O
too,RB,O
",",",",O
for,IN,O
he,PRP,O
have,VBD,O
a,DT,O
remarkable,JJ,O
gentleness,NN,O
and,CC,O
courtesy,NN,O
in,IN,O
he,PRP$,O
dealings,NNS,O
with,IN,O
woman,NNS,O
.,.,O
he,PRP,O
dislike,VBD,O
and,CC,O
distrust,VBD,O
the,DT,O
sex,NN,O
",",",",O
but,CC,O
he,PRP,O
be,VBD,O
always,RB,O
a,DT,O
chivalrous,JJ,O
opponent,NN,O
.,.,O
know,VBG,O
how,WRB,O
genuine,JJ,O
be,VBD,O
she,PRP$,O
regard,NN,O
for,IN,O
he,PRP,O
",",",",O
I,PRP,O
listen,VBD,O
earnestly,RB,O
to,IN,O
she,PRP$,O
story,NN,O
when,WRB,O
she,PRP,O
come,VBD,O
to,IN,O
my,PRP$,O
room,NNS,O
in,IN,O
the,DT,O
second,JJ,O
year,NN,O
of,IN,O
my,PRP$,O
married,JJ,O
life,NN,O
and,CC,O
tell,VBD,O
I,PRP,O
of,IN,O
the,DT,O
sad,JJ,O
condition,NN,O
to,IN,O
which,WDT,O
my,PRP$,O
poor,JJ,O
friend,NN,O
be,VBD,O
reduce,VBN,O
.,.,O
"""",``,O
he,PRP,O
be,VBZ,O
die,VBG,O
",",",",O
Dr.,NNP,O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
she,PRP,O
.,.,O
"""",``,O
for,IN,O
three,CD,O
day,NNS,O
he,PRP,O
have,VBZ,O
be,VBN,O
sink,VBG,O
",",",",O
and,CC,O
I,PRP,O
doubt,VBP,O
if,IN,O
he,PRP,O
will,MD,O
last,VB,O
the,DT,O
day,NN,O
.,.,O
he,PRP,O
would,MD,O
not,RB,O
let,VB,O
I,PRP,O
get,VB,O
a,DT,O
doctor,NN,O
.,.,O
this,DT,O
morning,NN,O
when,WRB,O
I,PRP,O
see,VBD,O
he,PRP$,O
bone,NNS,O
stick,VBG,O
out,IN,O
of,IN,O
he,PRP$,O
face,NN,O
and,CC,O
he,PRP$,O
great,JJ,O
bright,JJ,O
eye,NNS,O
look,VBG,O
at,IN,O
I,PRP,O
I,PRP,O
could,MD,O
stand,VB,O
no,DT,O
more,JJR,O
of,IN,O
it,PRP,O
.,.,O
',``,O
with,IN,O
you,PRP$,O
leave,NN,O
or,CC,O
without,IN,O
it,PRP,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
I,PRP,O
be,VBP,O
go,VBG,O
for,IN,O
a,DT,O
doctor,NN,O
this,DT,O
very,RB,O
hour,NN,O
",",",",O
','',O
say,VBD,O
I.,NNP,O
',POS,O
let,VB,O
it,PRP,O
be,VB,O
Watson,NNP,PERSON
",",",",O
then,RB,O
",",",",O
','',O
say,VBD,O
he,PRP,O
.,.,O
I,PRP,O
would,MD,O
not,RB,O
waste,VB,O
a,DT,O
hour,NN,O
in,IN,O
come,VBG,O
to,IN,O
he,PRP,O
",",",",O
sir,NN,O
",",",",O
or,CC,O
you,PRP,O
may,MD,O
not,RB,O
see,VB,O
he,PRP,O
alive,JJ,O
.,.,O
"""",``,O
I,PRP,O
be,VBD,O
horrified,JJ,O
for,IN,O
I,PRP,O
have,VBD,O
hear,VBN,O
nothing,NN,O
of,IN,O
he,PRP$,O
illness,NN,O
.,.,O
I,PRP,O
need,VBP,O
not,RB,O
say,VB,O
that,IN,O
I,PRP,O
rush,VBD,O
for,IN,O
my,PRP$,O
coat,NN,O
and,CC,O
my,PRP$,O
hat,NN,O
.,.,O
as,IN,O
we,PRP,O
drive,VBD,O
back,RB,O
I,PRP,O
ask,VBD,O
for,IN,O
the,DT,O
detail,NNS,O
.,.,O
"""",``,O
there,EX,O
be,VBZ,O
little,JJ,O
I,PRP,O
can,MD,O
tell,VB,O
you,PRP,O
",",",",O
sir,NN,O
.,.,O
he,PRP,O
have,VBZ,O
be,VBN,O
work,VBG,O
at,IN,O
a,DT,O
case,NN,O
down,RP,O
at,IN,O
Rotherhithe,NNP,O
",",",",O
in,IN,O
a,DT,O
alley,NN,O
near,IN,O
the,DT,O
river,NN,O
",",",",O
and,CC,O
he,PRP,O
have,VBZ,O
bring,VBN,O
this,DT,O
illness,NN,O
back,RB,O
with,IN,O
he,PRP,O
.,.,O
he,PRP,O
take,VBD,O
to,IN,O
he,PRP$,O
bed,NN,O
on,IN,O
Wednesday,NNP,DATE
afternoon,NN,TIME
and,CC,O
have,VBZ,O
never,RB,O
move,VBN,O
since,RB,O
.,.,O
for,IN,O
these,DT,O
three,CD,O
day,NNS,O
neither,CC,O
food,NN,O
nor,CC,O
drink,NN,O
have,VBZ,O
pass,VBN,O
he,PRP$,O
lip,NNS,O
.,.,O
"""",``,O
"""",``,O
good,JJ,O
God,NNP,O
!,.,O
why,WRB,O
do,VBD,O
you,PRP,O
not,RB,O
call,VB,O
in,IN,O
a,DT,O
doctor,NN,O
?,.,O
"""",``,O
"""",``,O
he,PRP,O
would,MD,O
not,RB,O
have,VB,O
it,PRP,O
",",",",O
sir,NN,O
.,.,O
you,PRP,O
know,VBP,O
how,WRB,O
masterful,JJ,O
he,PRP,O
be,VBZ,O
.,.,O
I,PRP,O
do,VBD,O
not,RB,O
dare,VB,O
to,TO,O
disobey,VB,O
he,PRP,O
.,.,O
but,CC,O
he,PRP,O
be,VBZ,O
not,RB,O
long,JJ,O
for,IN,O
this,DT,O
world,NN,O
",",",",O
as,IN,O
you,PRP,O
will,MD,O
see,VB,O
for,IN,O
yourself,PRP,O
the,DT,O
moment,NN,O
that,WDT,O
you,PRP,O
set,VBD,O
eye,NNS,O
on,IN,O
he,PRP,O
.,.,O
"""",``,O
he,PRP,O
be,VBD,O
indeed,RB,O
a,DT,O
deplorable,JJ,O
spectacle,NN,O
.,.,O
in,IN,O
the,DT,O
dim,JJ,O
light,NN,O
of,IN,O
a,DT,O
foggy,JJ,O
November,NNP,DATE
day,NN,O
the,DT,O
sick,JJ,O
room,NN,O
be,VBD,O
a,DT,O
gloomy,JJ,O
spot,NN,O
",",",",O
but,CC,O
it,PRP,O
be,VBD,O
that,IN,O
gaunt,JJ,O
",",",",O
waste,VBN,O
face,NN,O
stare,VBG,O
at,IN,O
I,PRP,O
from,IN,O
the,DT,O
bed,NN,O
which,WDT,O
send,VBD,O
a,DT,O
chill,NN,O
to,IN,O
my,PRP$,O
heart,NN,O
.,.,O
he,PRP$,O
eye,NNS,O
have,VBD,O
the,DT,O
brightness,NN,O
of,IN,O
fever,NN,O
",",",",O
there,EX,O
be,VBD,O
a,DT,O
hectic,JJ,O
flush,JJ,O
upon,IN,O
either,CC,O
cheek,NN,O
",",",",O
and,CC,O
dark,JJ,O
