lemma,pos,ner
it,PRP,O
be,VBD,O
pleasant,JJ,O
to,IN,O
Dr.,NNP,O
Watson,NNP,PERSON
to,TO,O
find,VB,O
himself,PRP,O
once,RB,O
more,RBR,O
in,IN,O
the,DT,O
untidy,JJ,O
room,NN,O
of,IN,O
the,DT,O
first,JJ,O
floor,NN,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
which,WDT,O
have,VBD,O
be,VBN,O
the,DT,O
starting,NN,O
-,HYPH,O
point,NN,O
of,IN,O
so,RB,O
many,JJ,O
remarkable,JJ,O
adventure,NNS,O
.,.,O
he,PRP,O
look,VBD,O
round,IN,O
he,PRP,O
at,IN,O
the,DT,O
scientific,JJ,O
chart,NNS,O
upon,IN,O
the,DT,O
wall,NN,O
",",",",O
the,DT,O
acid,NN,O
-,HYPH,O
char,VBN,O
bench,NN,O
of,IN,O
chemical,NNS,O
",",",",O
the,DT,O
violin,NN,O
-,HYPH,O
case,NN,O
lean,VBG,O
in,IN,O
the,DT,O
corner,NN,O
",",",",O
the,DT,O
coal,NN,O
-,",",O
scuttle,VB,O
",",",",O
which,WDT,O
contain,VBD,O
of,IN,O
old,JJ,O
the,DT,O
pipe,NNS,O
and,CC,O
tobacco,NN,O
.,.,O
finally,RB,O
",",",",O
he,PRP$,O
eye,NNS,O
come,VBD,O
round,RB,O
to,IN,O
the,DT,O
fresh,JJ,O
and,CC,O
smile,VBG,O
face,NN,O
of,IN,O
Billy,NNP,PERSON
",",",",O
the,DT,O
young,JJ,O
but,CC,O
very,RB,O
wise,JJ,O
and,CC,O
tactful,JJ,O
page,NN,O
",",",",O
who,WP,O
have,VBD,O
help,VBN,O
a,DT,O
little,JJ,O
to,TO,O
fill,VB,O
up,RP,O
the,DT,O
gap,NN,O
of,IN,O
loneliness,NN,O
and,CC,O
isolation,NN,O
which,WDT,O
surround,VBD,O
the,DT,O
saturnine,JJ,O
figure,NN,O
of,IN,O
the,DT,O
great,JJ,O
detective,NN,O
.,.,O
"""",``,O
it,PRP,O
all,DT,O
seem,VBZ,O
very,RB,O
unchanged,JJ,O
",",",",O
Billy,NNP,PERSON
.,.,O
you,PRP,O
do,VBP,O
not,RB,O
change,VB,O
",",",",O
either,RB,O
.,.,O
I,PRP,O
hope,VBP,O
the,DT,O
same,JJ,O
can,MD,O
be,VB,O
say,VBN,O
of,IN,O
he,PRP,O
?,.,O
"""",``,O
Billy,NNP,PERSON
glance,VBD,O
with,IN,O
some,DT,O
solicitude,NN,O
at,IN,O
the,DT,O
closed,JJ,O
door,NN,O
of,IN,O
the,DT,O
bedroom,NN,O
.,.,O
"""",'',O
I,PRP,O
think,VBP,O
he,PRP,O
be,VBZ,O
in,IN,O
bed,NN,O
and,CC,O
asleep,JJ,O
",",",",O
"""",'',O
he,PRP,O
say,VBD,O
.,.,O
it,PRP,O
be,VBD,O
seven,CD,O
in,IN,O
the,DT,O
