occurence,speaker,canonicalSpeaker,text
0,Sherlock Holmes,Sherlock Holmes,"To the man who loves art for its own sake,"
1,Sherlock Holmes,Sherlock Holmes,"it is frequently in its least important and lowliest manifestations that the keenest pleasure is to be derived. It is pleasant to me to observe, Watson, that you have so far grasped this truth that in these little records of our cases which you have been good enough to draw up, and, I am bound to say, occasionally to embellish, you have given prominence not so much to the many causes célèbres and sensational trials in which I have figured but rather to those incidents which may have been trivial in themselves, but which have given room for those faculties of deduction and of logical synthesis which I have made my special province."
2,Sherlock Holmes,Sherlock Holmes,"And yet,"
3,Sherlock Holmes,Sherlock Holmes,I cannot quite hold myself absolved from the charge of sensationalism which has been urged against my records.
4,Watson,he,"You have erred, perhaps,"
5,Unknown,his,you have erred perhaps in attempting to put colour and life into each of your statements instead of confining yourself to the task of placing upon record that severe reasoning from cause to effect which is really the only notable feature about the thing.
6,Unknown,his,"It seems to me that I have done you full justice in the matter,"
7,Unknown,his,"No, it is not selfishness or conceit,"
8,Watson,his,"If I claim full justice for my art, it is because it is an impersonal thing--a thing beyond myself. Crime is common. Logic is rare. Therefore it is upon the logic rather than upon the crime that you should dwell. You have degraded what should have been a course of lectures into a series of tales."
9,Unknown,Sherlock Holmes,"At the same time,"
10,his,Sherlock Holmes,"you can hardly be open to a charge of sensationalism, for out of these cases which you have been so kind as to interest yourself in, a fair proportion do not treat of crime, in its legal sense, at all. The small matter in which I endeavoured to help the King of Bohemia, the singular experience of Miss Mary Sutherland, the problem connected with the man with the twisted lip, and the incident of the noble bachelor, were all matters which are outside the pale of the law. But in avoiding the sensational, I fear that you may have bordered on the trivial."
11,his,Sherlock Holmes,"The end may have been so,"
12,his,Sherlock Holmes,but the methods I hold to have been novel and of interest.
13,his,He,"Pshaw, my dear fellow, what do the public, the great unobservant public, who could hardly tell a weaver by his tooth or a compositor by his left thumb, care about the finer shades of analysis and deduction! But, indeed, if you are trivial, I cannot blame you, for the days of the great cases are past. Man, or at least criminal man, has lost all enterprise and originality. As to my own little practice, it seems to be degenerating into an agency for recovering lost lead pencils and giving advice to young ladies from boarding-schools. I think that I have touched bottom at last, however. This note I had this morning marks my zero-point, I fancy. Read it!"
14,Mr. Holmes,Unknown,Do you know the young lady?
15,Mr. Holmes,Unknown,Not I.
16,Mr. Holmes,Unknown,It is half-past ten now.
17,Mr. Holmes,Unknown,"Yes, and I have no doubt that is her ring."
18,Mr. Holmes,Unknown,"It may turn out to be of more interest than you think. You remember that the affair of the blue carbuncle, which appeared to be a mere whim at first, developed into a serious investigation. It may be so in this case, also."
19,Mr. Holmes,Unknown,"Well, let us hope so. But our doubts will very soon be solved, for here, unless I am much mistaken, is the person in question."
20,her,She,"You will excuse my troubling you, I am sure,"
21,her,She,"but I have had a very strange experience, and as I have no parents or relations of any sort from whom I could ask advice, I thought that perhaps you would be kind enough to tell me what I should do."
22,Holmes,Sherlock Holmes,"Pray take a seat, Miss Hunter. I shall be happy to do anything that I can to serve you."
23,his,She,"I have been a governess for five years,"
24,his,She,"in the family of Colonel Spence Munro, but two months ago the colonel received an appointment at Halifax, in Nova Scotia, and took his children over to America with him, so that I found myself without a situation. I advertised, and I answered advertisements, but without success. At last the little money which I had saved began to run short, and I was at my wit's end as to what I should do.

""There is a well-known agency for governesses in the West End called Westaway's, and there I used to call about once a week in order to see whether anything had turned up which might suit me. Westaway was the name of the founder of the business, but it is really managed by Miss Stoper. She sits in her own little office, and the ladies who are seeking employment wait in an anteroom, and are then shown in one by one, when she consults her ledgers and sees whether she has anything which would suit them.

""Well, when I called last week I was shown into the little office as usual, but I found that Miss Stoper was not alone. A prodigiously stout man with a very smiling face and a great heavy chin which rolled down in fold upon fold over his throat sat at her elbow with a pair of glasses on his nose, looking very earnestly at the ladies who entered. As I came in he gave quite a jump in his chair and turned quickly to Miss Stoper.

""'That will do,' said he; 'I could not ask for anything better. Capital! capital!' He seemed quite enthusiastic and rubbed his hands together in the most genial fashion. He was such a comfortable-looking man that it was quite a pleasure to look at him.

""'You are looking for a situation, miss?' he asked.

""'Yes, sir.'

""'As governess?'

""'Yes, sir.'

""'And what salary do you ask?'

""'I had £4 a month in my last place with Colonel Spence Munro.'

""'Oh, tut, tut! sweating--rank sweating!' he cried, throwing his fat hands out into the air like a man who is in a boiling passion. 'How could anyone offer so pitiful a sum to a lady with such attractions and accomplishments?'

""'My accomplishments, sir, may be less than you imagine,' said I. 'A little French, a little German, music, and drawing--'

""'Tut, tut!' he cried. 'This is all quite beside the question. The point is, have you or have you not the bearing and deportment of a lady? There it is in a nutshell. If you have not, you are not fitted for the rearing of a child who may some day play a considerable part in the history of the country. But if you have why, then, how could any gentleman ask you to condescend to accept anything under the three figures? Your salary with me, madam, would commence at £100 a year.'

""You may imagine, Mr. Holmes, that to me, destitute as I was, such an offer seemed almost too good to be true. The gentleman, however, seeing perhaps the look of incredulity upon my face, opened a pocket-book and took out a note.

""'It is also my custom,' said he, smiling in the most pleasant fashion until his eyes were just two little shining slits amid the white creases of his face, 'to advance to my young ladies half their salary beforehand, so that they may meet any little expenses of their journey and their wardrobe.'

""It seemed to me that I had never met so fascinating and so thoughtful a man. As I was already in debt to my tradesmen, the advance was a great convenience, and yet there was something unnatural about the whole transaction which made me wish to know a little more before I quite committed myself.

""'May I ask where you live, sir?' said I.

""'Hampshire. Charming rural place. The Copper Beeches, five miles on the far side of Winchester. It is the most lovely country, my dear young lady, and the dearest old country-house.'

""'And my duties, sir? I should be glad to know what they would be.'

""'One child--one dear little romper just six years old. Oh, if you could see him killing cockroaches with a slipper! Smack! smack! smack! Three gone before you could wink!' He leaned back in his chair and laughed his eyes into his head again.

""I was a little startled at the nature of the child's amusement, but the father's laughter made me think that perhaps he was joking.

""'My sole duties, then,' I asked, 'are to take charge of a single child?'

""'No, no, not the sole, not the sole, my dear young lady,' he cried. 'Your duty would be, as I am sure your good sense would suggest, to obey any little commands my wife might give, provided always that they were such commands as a lady might with propriety obey. You see no difficulty, heh?'

""'I should be happy to make myself useful.'

""'Quite so. In dress now, for example. We are faddy people, you know--faddy but kind-hearted. If you were asked to wear any dress which we might give you, you would not object to our little whim. Heh?'

""'No,' said I, considerably astonished at his words.

""'Or to sit here, or sit there, that would not be offensive to you?'

""'Oh, no.'

""'Or to cut your hair quite short before you come to us?'

""I could hardly believe my ears. As you may observe, Mr. Holmes, my hair is somewhat luxuriant, and of a rather peculiar tint of chestnut. It has been considered artistic. I could not dream of sacrificing it in this offhand fashion.

""'I am afraid that that is quite impossible,' said I. He had been watching me eagerly out of his small eyes, and I could see a shadow pass over his face as I spoke.

""'I am afraid that it is quite essential,' said he. 'It is a little fancy of my wife's, and ladies' fancies, you know, madam, ladies' fancies must be consulted. And so you won't cut your hair?'

""'No, sir, I really could not,' I answered firmly.

""'Ah, very well; then that quite settles the matter. It is a pity, because in other respects you would really have done very nicely. In that case, Miss Stoper, I had best inspect a few more of your young ladies.'

""The manageress had sat all this while busy with her papers without a word to either of us, but she glanced at me now with so much annoyance upon her face that I could not help suspecting that she had lost a handsome commission through my refusal.

""'Do you desire your name to be kept upon the books?' she asked.

""'If you please, Miss Stoper.'

""'Well, really, it seems rather useless, since you refuse the most excellent offers in this fashion,' said she sharply. 'You can hardly expect us to exert ourselves to find another such opening for you. Good-day to you, Miss Hunter.' She struck a gong upon the table, and I was shown out by the page.

""Well, Mr. Holmes, when I got back to my lodgings and found little enough in the cupboard, and two or three bills upon the table. I began to ask myself whether I had not done a very foolish thing. After all, if these people had strange fads and expected obedience on the most extraordinary matters, they were at least ready to pay for their eccentricity. Very few governesses in England are getting £100 a year. Besides, what use was my hair to me? Many people are improved by wearing it short and perhaps I should be among the number. Next day I was inclined to think that I had made a mistake, and by the day after I was sure of it. I had almost overcome my pride so far as to go back to the agency and inquire whether the place was still open when I received this letter from the gentleman himself. I have it here and I will read it to you:

""'The Copper Beeches, near Winchester. ""'Dear Miss Hunter: ""'Miss Stoper has very kindly given me your address, and I write from here to ask you whether you have reconsidered your decision. My wife is very anxious that you should come, for she has been much attracted by my description of you. We are willing to give £30 a quarter, or £120 a year, so as to recompense you for any little inconvenience which our fads may cause you. They are not very exacting, after all. My wife is fond of a particular shade of electric blue and would like you to wear such a dress indoors in the morning. You need not, however, go to the expense of purchasing one, as we have one belonging to my dear daughter Alice (now in Philadelphia), which would, I should think, fit you very well. Then, as to sitting here or there, or amusing yourself in any manner indicated, that need cause you no inconvenience. As regards your hair, it is no doubt a pity, especially as I could not help remarking its beauty during our short interview, but I am afraid that I must remain firm upon this point, and I only hope that the increased salary may recompense you for the loss. Your duties, as far as the child is concerned, are very light. Now do try to come, and I shall meet you with the dog-cart at Winchester. Let me know your train. ""'Yours faithfully, ""'Jephro Rucastle.'

""That is the letter which I have just received, Mr. Holmes, and my mind is made up that I will accept it. I thought, however, that before taking the final step I should like to submit the whole matter to your consideration."
25,Holmes,Holmes,"Well, Miss Hunter, if your mind is made up, that settles the question,"
26,Holmes,Holmes,But you would not advise me to refuse?
27,Holmes,Holmes,I confess that it is not the situation which I should like to see a sister of mine apply for.
28,Holmes,Holmes,"What is the meaning of it all, Mr. Holmes?"
29,Holmes,Holmes,"Ah, I have no data. I cannot tell. Perhaps you have yourself formed some opinion?"
30,Holmes,Holmes,"Well, there seems to me to be only one possible solution. Mr. Rucastle seemed to be a very kind, good-natured man. Is it not possible that his wife is a lunatic, that he desires to keep the matter quiet for fear she should be taken to an asylum, and that he humours her fancies in every way in order to prevent an outbreak?"
31,Holmes,Holmes,"That is a possible solution--in fact, as matters stand, it is the most probable one. But in any case it does not seem to be a nice household for a young lady."
32,Holmes,Holmes,"But the money, Mr. Holmes, the money!"
33,Holmes,Holmes,"Well, yes, of course the pay is good--too good. That is what makes me uneasy. Why should they give you £120 a year, when they could have their pick for £40? There must be some strong reason behind."
34,Holmes,Holmes,I thought that if I told you the circumstances you would understand afterwards if I wanted your help. I should feel so much stronger if I felt that you were at the back of me.
35,Holmes,Mr. Holmes,"Oh, you may carry that feeling away with you. I assure you that your little problem promises to be the most interesting which has come my way for some months. There is something distinctly novel about some of the features. If you should find yourself in doubt or in danger--"
36,Holmes,Mr. Holmes,Danger! What danger do you foresee?
37,his,Mr. Holmes,"It would cease to be a danger if we could define it,"
38,Unknown,Mr. Holmes,"But at any time, day or night, a telegram would bring me down to your help."
39,Unknown,She,That is enough.
40,her,She,"I shall go down to Hampshire quite easy in my mind now. I shall write to Mr. Rucastle at once, sacrifice my poor hair to-night, and start for Winchester to-morrow."
41,her,She,"At least,"
42,her,She,she seems to be a young lady who is very well able to take care of herself.
43,Holmes,Holmes,"And she would need to be,"
44,Holmes,Holmes,I am much mistaken if we do not hear from her before many days are past.
45,his,his,Data! data! data!
46,Unknown,his,I can't make bricks without clay.
47,Unknown,Mr. Holmes,"Just look up the trains in Bradshaw,"
48,Holmes,Holmes,Will you come with me?
49,Bradshaw,Unknown,I should wish to.
50,Holmes,Holmes,"Just look it up, then."
51,Bradshaw,Bradshaw,"There is a train at half-past nine,"
52,Bradshaw,Bradshaw,It is due at Winchester at 11.30.
53,Holmes,Holmes,"That will do very nicely. Then perhaps I had better postpone my analysis of the acetones, as we may need to be at our best in the morning."
54,Holmes,Unknown,Are they not fresh and beautiful?
55,his,Mr. Holmes,"Do you know, Watson,"
56,her,Mr. Holmes,"that it is one of the curses of a mind with a turn like mine that I must look at everything with reference to my own special subject. You look at these scattered houses, and you are impressed by their beauty. I look at them, and the only thought which comes to me is a feeling of their isolation and of the impunity with which crime may be committed there."
57,her,Mr. Holmes,Good heavens!
58,her,Mr. Holmes,Who would associate crime with these dear old homesteads?
59,her,Mr. Holmes,"They always fill me with a certain horror. It is my belief, Watson, founded upon my experience, that the lowest and vilest alleys in London do not present a more dreadful record of sin than does the smiling and beautiful countryside."
60,his,Mr. Holmes,You horrify me!
61,her,Mr. Holmes,"But the reason is very obvious. The pressure of public opinion can do in the town what the law cannot accomplish. There is no lane so vile that the scream of a tortured child, or the thud of a drunkard's blow, does not beget sympathy and indignation among the neighbours, and then the whole machinery of justice is ever so close that a word of complaint can set it going, and there is but a step between the crime and the dock. But look at these lonely houses, each in its own fields, filled for the most part with poor ignorant folk who know little of the law. Think of the deeds of hellish cruelty, the hidden wickedness which may go on, year in, year out, in such places, and none the wiser. Had this lady who appeals to us for help gone to live in Winchester, I should never have had a fear for her. It is the five miles of country which makes the danger. Still, it is clear that she is not personally threatened."
62,Unknown,Mr. Holmes,No. If she can come to Winchester to meet us she can get away.
63,her,Mr. Holmes,Quite so. She has her freedom.
64,her,Mr. Holmes,"What can be the matter, then? Can you suggest no explanation?"
65,her,Mr. Holmes,"I have devised seven separate explanations, each of which would cover the facts as far as we know them. But which of these is correct can only be determined by the fresh information which we shall no doubt find waiting for us. Well, there is the tower of the cathedral, and we shall soon learn all that Miss Hunter has to tell."
66,Unknown,her,"I am so delighted that you have come,"
67,his,her,It is so very kind of you both; but indeed I do not know what I should do. Your advice will be altogether invaluable to me.
68,his,her,Pray tell us what has happened to you.
69,Holmes,Mr. Holmes,"I will do so, and I must be quick, for I have promised Mr. Rucastle to be back before three. I got his leave to come into town this morning, though he little knew for what purpose."
70,Holmes,Mr. Holmes,Let us have everything in its due order.
71,Holmes,Mr. Holmes,"In the first place, I may say that I have met, on the whole, with no actual ill-treatment from Mr. and Mrs. Rucastle. It is only fair to them to say that. But I cannot understand them, and I am not easy in my mind about them."
72,Holmes,Mr. Holmes,What can you not understand?
73,Holmes,Mr. Holmes,"Their reasons for their conduct. But you shall have it all just as it occurred. When I came down, Mr. Rucastle met me here and drove me in his dog-cart to the Copper Beeches. It is, as he said, beautifully situated, but it is not beautiful in itself, for it is a large square block of a house, whitewashed, but all stained and streaked with damp and bad weather. There are grounds round it, woods on three sides, and on the fourth a field which slopes down to the Southampton highroad, which curves past about a hundred yards from the front door. This ground in front belongs to the house, but the woods all round are part of Lord Southerton's preserves. A clump of copper beeches immediately in front of the hall door has given its name to the place.

""I was driven over by my employer, who was as amiable as ever, and was introduced by him that evening to his wife and the child. There was no truth, Mr. Holmes, in the conjecture which seemed to us to be probable in your rooms at Baker Street. Mrs. Rucastle is not mad. I found her to be a silent, pale-faced woman, much younger than her husband, not more than thirty, I should think, while he can hardly be less than forty-five. From their conversation I have gathered that they have been married about seven years, that he was a widower, and that his only child by the first wife was the daughter who has gone to Philadelphia. Mr. Rucastle told me in private that the reason why she had left them was that she had an unreasoning aversion to her stepmother. As the daughter could not have been less than twenty, I can quite imagine that her position must have been uncomfortable with her father's young wife.

""Mrs. Rucastle seemed to me to be colourless in mind as well as in feature. She impressed me neither favourably nor the reverse. She was a nonentity. It was easy to see that she was passionately devoted both to her husband and to her little son. Her light grey eyes wandered continually from one to the other, noting every little want and forestalling it if possible. He was kind to her also in his bluff, boisterous fashion, and on the whole they seemed to be a happy couple. And yet she had some secret sorrow, this woman. She would often be lost in deep thought, with the saddest look upon her face. More than once I have surprised her in tears. I have thought sometimes that it was the disposition of her child which weighed upon her mind, for I have never met so utterly spoiled and so ill-natured a little creature. He is small for his age, with a head which is quite disproportionately large. His whole life appears to be spent in an alternation between savage fits of passion and gloomy intervals of sulking. Giving pain to any creature weaker than himself seems to be his one idea of amusement, and he shows quite remarkable talent in planning the capture of mice, little birds, and insects. But I would rather not talk about the creature, Mr. Holmes, and, indeed, he has little to do with my story."
74,Holmes,Mr. Holmes,"I am glad of all details,"
75,Holmes,Mr. Holmes,whether they seem to you to be relevant or not.
