docTokenBegin,text,ner,nerConfidences
8,Cox and Co.,ORGANIZATION,{'ORGANIZATION': 0.87096362293605}
13,Charing Cross,ORGANIZATION,{'ORGANIZATION': 0.85070089905304}
32,John H. Watson,PERSON,{'PERSON': 0.99997950274767}
67,Mr. Sherlock Holmes,PERSON,
131,Mr. James Phillimore,PERSON,
140,his,PERSON,
145,his,PERSON,
164,Alicia,PERSON,{'PERSON': 0.67965864643024}
169,spring,DATE,{'DATE': 0.9462907878896}
179,she,PERSON,
193,her,PERSON,
205,Isadora Persano,PERSON,{'PERSON': 0.98785996067199}
229,him,PERSON,
313,his,PERSON,
420,October,DATE,{'DATE': 0.99948979473543}
470,he,PERSON,
475,his,PERSON,
485,he,PERSON,
489,his,PERSON,
494,his,PERSON,
511,his,PERSON,
521,Holmes,PERSON,{'PERSON': 0.99075451718403}
536,Watson,PERSON,{'PERSON': 0.9569545833326}
539,he,PERSON,
622,Family Herald,ORGANIZATION,{'ORGANIZATION': 0.53887174585571}
684,He,PERSON,
690,his,PERSON,
698,Neil Gibson,PERSON,{'PERSON': 0.99848417858308}
706,he,PERSON,
713,American,MISC,{'MISC': 0.99878332635569}
726,Western,MISC,{'MISC': 0.99994077452401}
720,he,PERSON,
751,him,PERSON,
758,England,LOCATION,{'LOCATION': 0.99976793096479}
753,He,PERSON,
763,His,PERSON,
779,Hampshire,LOCATION,{'LOCATION': 0.92285063960263}
781,five years ago,DATE,{'DATE': 0.63711575643856}
773,he,PERSON,
795,his,PERSON,
826,Holmes,PERSON,{'PERSON': 0.99469400028704}
828,his,PERSON,
860,he,PERSON,
920,Assizes,LOCATION,{'LOCATION': 0.51956622086966}
922,Winchester,LOCATION,{'LOCATION': 0.72181059090588}
937,Watson,PERSON,{'PERSON': 0.93069807265137}
992,Watson,PERSON,{'PERSON': 0.87806389396624}
1028,Claridge,PERSON,{'PERSON': 0.7762222002582}
1031,October,DATE,{'DATE': 0.9671209505323}
1011,he,PERSON,
1035,Mr. Sherlock Holmes,PERSON,
1051,her,PERSON,
1061,her,PERSON,
1085,Miss Dunbar,PERSON,
1114,her,PERSON,
1138,her,PERSON,
1200,her,PERSON,
1222,J. Neil Gibson,PERSON,{'PERSON': 0.98503029565684}
1234,Sherlock Holmes,PERSON,{'PERSON': 0.99975236168093}
1242,his,PERSON,
1323,He,PERSON,
1341,she,PERSON,
1344,her,PERSON,
1387,English,MISC,{'MISC': 0.99999623964893}
1417,her,PERSON,
1425,her,PERSON,
1432,her,PERSON,
1440,her,PERSON,
1457,Watson,PERSON,{'PERSON': 0.94085384648145}
1455,her,PERSON,
1472,evening,TIME,{'TIME': 0.69080181390292}
1568,her,PERSON,
1572,His,PERSON,
1576,he,PERSON,
1591,her,PERSON,
1597,he,PERSON,
1626,he,PERSON,
1637,Watson,PERSON,{'PERSON': 0.83611263558558}
1662,her,PERSON,
1687,Gibson,PERSON,{'PERSON': 0.99943097481618}
1694,his,PERSON,
1703,her,PERSON,
1718,her,PERSON,
1738,Watson,PERSON,{'PERSON': 0.96774125439559}
1749,Holmes,PERSON,{'PERSON': 0.96352104441774}
1755,she,PERSON,
1773,Thor Bridge,LOCATION,{'LOCATION': 0.97831114837694}
1764,she,PERSON,
1769,she,PERSON,
1788,She,PERSON,
1800,her,PERSON,
1815,Watson,PERSON,{'PERSON': 0.97950280116118}
1853,Thor Mere,PERSON,{'PERSON': 0.69447990760392}
1890,his,PERSON,
1894,Billy,PERSON,{'PERSON': 0.98218496718274}
1904,he,PERSON,
1911,Mr. Marlow Bates,PERSON,
1922,He,PERSON,
1967,Mr. Bates,PERSON,
1972,Holmes,PERSON,{'PERSON': 0.98193275641025}
2024,Mr. Gibson,PERSON,
2029,Mr. Gibson,PERSON,
2039,his,PERSON,
2042,Mr. Holmes,PERSON,
2045,he,PERSON,
2059,Mr. Bates,PERSON,
2070,Mr. Holmes,PERSON,
2084,him,PERSON,
2092,He,PERSON,
2113,Mr. Ferguson,PERSON,
2110,His,PERSON,
2122,his,PERSON,
2132,his,PERSON,
2140,him,PERSON,
2153,his,PERSON,
2161,Mr. Holmes,PERSON,
2168,him,PERSON,
2178,his,PERSON,
2183,his,PERSON,
2186,his,PERSON,
2190,He,PERSON,
2194,her,PERSON,
2203,she,PERSON,
2206,her,PERSON,
2218,he,PERSON,
2221,her,PERSON,
2226,her,PERSON,
2237,Brazilian,MISC,{'MISC': 0.99999976621674}
2228,She,PERSON,
2275,She,PERSON,
2278,him,PERSON,
2287,her,PERSON,
2308,him,PERSON,
2313,her,PERSON,
2317,her,PERSON,
2320,him,PERSON,
2325,he,PERSON,
2327,her,PERSON,
2330,he,PERSON,
2349,him,PERSON,
2351,his,PERSON,
2374,He,PERSON,
2405,Holmes,PERSON,{'PERSON': 0.97870110148129}
2413,Mr. Gibson,PERSON,
2471,him,PERSON,
2481,his,PERSON,
2495,his,PERSON,
2524,Mr. Neil Gibson,PERSON,
2531,His,PERSON,
2547,Abraham Lincoln,PERSON,{'PERSON': 0.98402347246267}
2565,His,PERSON,
2619,Holmes,PERSON,{'PERSON': 0.9908900319213}
2613,He,PERSON,
2632,he,PERSON,
2644,his,PERSON,
2649,him,PERSON,
2658,Mr. Holmes,PERSON,
2662,he,PERSON,
2731,Holmes,PERSON,{'PERSON': 0.98616519389499}
2773,England,LOCATION,{'LOCATION': 0.99991344096877}
2775,America,LOCATION,{'LOCATION': 0.98959133555877}
2795,Mr. Gibson,PERSON,
2926,Miss Dunbar,PERSON,
2941,his,PERSON,
2945,his,PERSON,
2951,him,PERSON,
2974,Mr. Holmes,PERSON,
2988,Holmes,PERSON,{'PERSON': 0.98948773543145}
3012,he,PERSON,
3023,she,PERSON,
3029,his,PERSON,
3033,Holmes,PERSON,{'PERSON': 0.82819274381778}
3036,his,PERSON,
3047,Mr. Gibson,PERSON,
3052,he,PERSON,
3087,Holmes,PERSON,{'PERSON': 0.59344184920521}
3081,his,PERSON,
3119,Mr. Holmes,PERSON,
3132,Mr. Gibson,PERSON,
3198,Holmes,PERSON,{'PERSON': 0.99051478394307}
3282,he,PERSON,
3285,his,PERSON,
3290,Holmes,PERSON,{'PERSON': 0.97714697215989}
3295,his,PERSON,
3299,his,PERSON,
3308,Mr. Gibson,PERSON,
3352,his,PERSON,
3360,him,PERSON,
3369,he,PERSON,
3425,this morning,TIME,{'TIME': 0.70738348861057}
3428,Mr. Holmes,PERSON,
3468,Holmes,PERSON,{'PERSON': 0.98334627364418}
3479,Mr. Gibson,PERSON,
3500,Holmes,PERSON,{'PERSON': 0.98202109055316}
3517,Watson,PERSON,{'PERSON': 0.99486449905675}
3520,he,PERSON,
3528,Holmes,PERSON,{'PERSON': 0.94612404180278}
3573,Bates,PERSON,{'PERSON': 0.99500945213076}
3549,his,PERSON,
3557,his,PERSON,
3597,his,PERSON,
3614,Watson,PERSON,{'PERSON': 0.92524770754338}
3629,his,PERSON,
3635,his,PERSON,
3694,him,PERSON,
3699,he,PERSON,
3706,him,PERSON,
3709,him,PERSON,
3730,he,PERSON,
3737,He,PERSON,
3744,He,PERSON,
3749,He,PERSON,
3770,his,PERSON,
3775,Mr. Gibson,PERSON,
3784,Watson,PERSON,{'PERSON': 0.99991483431017}
3805,he,PERSON,
3810,His,PERSON,
3816,his,PERSON,
3821,his,PERSON,
3826,him,PERSON,
3828,he,PERSON,
3832,he,PERSON,
3835,his,PERSON,
3846,Mr. Holmes,PERSON,
3899,Miss Dunbar,PERSON,
3943,he,PERSON,
3946,his,PERSON,
3969,his,PERSON,
3977,his,PERSON,
3992,Mr. Holmes,PERSON,
4075,her,PERSON,
4119,his,PERSON,
4122,His,PERSON,
4150,Mr. Holmes,PERSON,
4155,he,PERSON,
4195,Brazil,LOCATION,{'LOCATION': 0.99933914404592}
4197,Maria Pinto,PERSON,{'PERSON': 0.99926480704654}
4207,Manaos,LOCATION,{'LOCATION': 0.52335102422347}
4210,she,PERSON,
4245,she,PERSON,
4251,her,PERSON,
4279,American,MISC,{'MISC': 0.9999689623957}
4297,her,PERSON,
4301,her,PERSON,
4337,hers,PERSON,
4364,her,PERSON,
4374,her,PERSON,
4394,her,PERSON,
4416,her,PERSON,
4423,English,MISC,{'MISC': 0.99995262116066}
4438,Amazon,LOCATION,{'LOCATION': 0.92693946075342}
4418,She,PERSON,
4426,she,PERSON,
4445,she,PERSON,
4455,Miss Grace Dunbar,PERSON,
4459,She,PERSON,
4475,her,PERSON,
4487,she,PERSON,
4533,her,PERSON,
4540,her,PERSON,
4547,Mr. Holmes,PERSON,
4607,his,PERSON,
4636,his,PERSON,
4640,he,PERSON,
4660,her,PERSON,
4674,Holmes,PERSON,{'PERSON': 0.98291063961163}
4680,he,PERSON,
4688,her,PERSON,
4694,her,PERSON,
4722,her,PERSON,
4741,Holmes,PERSON,{'PERSON': 0.99284117867073}
4750,Mr. Holmes,PERSON,
4799,Holmes,PERSON,{'PERSON': 0.98892925217024}
4809,she,PERSON,
4898,She,PERSON,
4906,she,PERSON,
4918,she,PERSON,
4934,her,PERSON,
4943,her,PERSON,
4951,her,PERSON,
4964,she,PERSON,
4971,she,PERSON,
4982,She,PERSON,
4986,she,PERSON,
5004,She,PERSON,
5020,she,PERSON,
5031,Mr. Holmes,PERSON,
5110,she,PERSON,
5117,she,PERSON,
5121,She,PERSON,
5135,he,PERSON,
5158,she,PERSON,
5165,she,PERSON,
5178,She,PERSON,
5185,she,PERSON,
5189,she,PERSON,
5191,she,PERSON,
5202,she,PERSON,
5232,his,PERSON,
5236,his,PERSON,
5250,her,PERSON,
5290,she,PERSON,
5303,her,PERSON,
5320,Mr. Holmes,PERSON,
5381,English,MISC,{'MISC': 0.99999980455916}
5368,she,PERSON,
5376,she,PERSON,
5393,she,PERSON,
5424,Amazon,LOCATION,{'LOCATION': 0.9174944963569}
5413,She,PERSON,
5428,her,PERSON,
5437,Miss Dunbar,PERSON,
5431,She,PERSON,
5446,her,PERSON,
5453,her,PERSON,
5490,Holmes,PERSON,{'PERSON': 0.99000366100992}
5508,she,PERSON,
5542,her,PERSON,
5548,She,PERSON,
5555,her,PERSON,
5561,she,PERSON,
5570,she,PERSON,
5575,her,PERSON,
5598,Miss Dunbar,PERSON,
5609,Holmes,PERSON,{'PERSON': 0.97961275797721}
5612,his,PERSON,
5626,this morning,TIME,{'TIME': 0.82183556770023}
5630,Winchester,PERSON,{'PERSON': 0.56725924675741}
5690,Winchester,PERSON,{'PERSON': 0.86094558058467}
5697,Thor Place,PERSON,{'PERSON': 0.88042395709235}
5701,Hampshire,LOCATION,{'LOCATION': 0.91499280742878}
5704,Mr. Neil Gibson,PERSON,
5722,Coventry,LOCATION,
5708,He,PERSON,
5737,He,PERSON,
5758,he,PERSON,
5768,he,PERSON,
5772,He,PERSON,
5782,his,PERSON,
5789,he,PERSON,
5811,he,PERSON,
5830,he,PERSON,
5834,his,PERSON,
5851,Scotland Yard,LOCATION,{'LOCATION': 0.72649189250131}
5854,Mr. Holmes,PERSON,
5859,he,PERSON,
5864,Yard,MISC,{'MISC': 0.62382028035296}
5911,Holmes,PERSON,{'PERSON': 0.99241488773434}
5958,Watson,PERSON,{'PERSON': 0.99874457037748}
5969,Mr. Holmes,PERSON,
6001,He,PERSON,
6006,he,PERSON,
6024,Mr. Neil Gibson,PERSON,
6043,Miss Dunbar,PERSON,
6046,She,PERSON,
6056,He,PERSON,
6061,his,PERSON,
6070,Americans,MISC,{'MISC': 0.99996962502586}
6082,his,PERSON,
6109,he,PERSON,
6234,Coventry,LOCATION,
6311,Tudor,PERSON,{'PERSON': 0.47138578620785}
6314,Georgian,MISC,{'MISC': 0.99978140369011}
6323,Beside,MISC,{'MISC': 0.32822588336652}
6368,he,PERSON,
6378,Mrs. Gibson,PERSON,
6422,Mr. Gibson,PERSON,
6433,he,PERSON,
6443,he,PERSON,
6533,Miss Dunbar,PERSON,
6538,her,PERSON,
6611,Thor Bridge,LOCATION,{'LOCATION': 0.9906220878059}
6618,G. Dunbar,PERSON,{'PERSON': 0.99880631551216}
6636,Miss Dunbar,PERSON,
6652,her,PERSON,
6657,Her,PERSON,
6665,She,PERSON,
6731,Holmes,PERSON,{'PERSON': 0.99580299454829}
6733,his,PERSON,
6773,her,PERSON,
6779,she,PERSON,
6785,She,PERSON,
6838,He,PERSON,
6853,his,PERSON,
6866,he,PERSON,
6879,his,PERSON,
6882,his,PERSON,
6899,he,PERSON,
6977,Holmes,PERSON,{'PERSON': 0.99213596879014}
6981,his,PERSON,
6983,he,PERSON,
