lemma,pos,ner
the,DT,O
idea,NNS,O
of,IN,O
my,PRP$,O
friend,NN,O
Watson,NNP,PERSON
",",",",O
though,IN,O
limit,VBN,O
",",",",O
be,VBP,O
exceedingly,RB,O
pertinacious,JJ,O
.,.,O
for,IN,O
a,DT,O
long,JJ,O
time,NN,O
he,PRP,O
have,VBZ,O
worry,VBN,O
I,PRP,O
to,TO,O
write,VB,O
a,DT,O
experience,NN,O
of,IN,O
my,PRP$,O
own,JJ,O
.,.,O
perhaps,RB,O
I,PRP,O
have,VBP,O
rather,RB,O
invite,VBN,O
this,DT,O
persecution,NN,O
",",",",O
since,IN,O
I,PRP,O
have,VBP,O
often,RB,O
have,VBN,O
occasion,NN,O
to,TO,O
point,VB,O
out,RP,O
to,IN,O
he,PRP,O
how,WRB,O
superficial,JJ,O
be,VBP,O
he,PRP$,O
own,JJ,O
account,NNS,O
and,CC,O
to,TO,O
accuse,VB,O
he,PRP,O
of,IN,O
pander,VBG,O
to,IN,O
popular,JJ,O
taste,NN,O
instead,RB,O
of,IN,O
confine,VBG,O
himself,PRP,O
rigidly,RB,O
to,IN,O
fact,NNS,O
and,CC,O
figure,NNS,O
.,.,O
"""",``,O
try,VB,O
it,PRP,O
yourself,PRP,O
",",",",O
Holmes,NNP,PERSON
!,.,O
"""",'',O
he,PRP,O
have,VBZ,O
retort,VBN,O
",",",",O
and,CC,O
I,PRP,O
be,VBP,O
compel,VBN,O
to,TO,O
admit,VB,O
that,IN,O
",",",",O
have,VBG,O
take,VBN,O
my,PRP$,O
pen,NN,O
in,IN,O
my,PRP$,O
hand,NN,O
",",",",O
I,PRP,O
do,VBP,O
begin,VB,O
to,TO,O
realize,VB,O
that,IN,O
the,DT,O
matter,NN,O
must,MD,O
be,VB,O
present,VBN,O
in,IN,O
such,PDT,O
a,DT,O
way,NN,O
as,IN,O
may,MD,O
interest,VB,O
the,DT,O
reader,NN,O
.,.,O
the,DT,O
follow,VBG,O
case,NN,O
can,MD,O
hardly,RB,O
fail,VB,O
to,TO,O
do,VB,O
so,RB,O
",",",",O
as,IN,O
it,PRP,O
be,VBZ,O
among,IN,O
the,DT,O
strangest,JJS,O
happening,NNS,O
in,IN,O
my,PRP$,O
collection,NN,O
",",",",O
though,IN,O
it,PRP,O
chance,VBD,O
that,IN,O
Watson,NNP,PERSON
have,VBD,O
no,DT,O
note,NN,O
of,IN,O
it,PRP,O
in,IN,O
he,PRP$,O
collection,NN,O
.,.,O
speak,VBG,O
of,IN,O
my,PRP$,O
old,JJ,O
friend,NN,O
and,CC,O
biographer,NN,O
",",",",O
I,PRP,O
would,MD,O
take,VB,O
this,DT,O
opportunity,NN,O
to,TO,O
remark,VB,O
that,IN,O
if,IN,O
I,PRP,O
burden,VBP,O
myself,PRP,O
with,IN,O
a,DT,O
companion,NN,O
in,IN,O
my,PRP$,O
various,JJ,O
little,JJ,O
inquiry,NNS,O
it,PRP,O
be,VBZ,O
not,RB,O
do,VBN,O
out,IN,O
of,IN,O
sentiment,NN,O
or,CC,O
caprice,NN,O
",",",",O
but,CC,O
it,PRP,O
be,VBZ,O
that,IN,O
Watson,NNP,PERSON
have,VBZ,O
some,DT,O
remarkable,JJ,O
characteristic,NNS,O
of,IN,O
he,PRP$,O
own,JJ,O
to,TO,O
which,WDT,O
in,IN,O
he,PRP$,O
modesty,NN,O
he,PRP,O
have,VBZ,O
give,VBN,O
small,JJ,O
attention,NN,O
amid,IN,O
he,PRP$,O
exaggerated,JJ,O
estimate,NNS,O
of,IN,O
my,PRP$,O
own,JJ,O
performance,NNS,O
.,.,O
a,DT,O
confederate,NN,O
who,WP,O
foresee,VBZ,O
you,PRP$,O
conclusion,NNS,O
and,CC,O
course,NN,O
of,IN,O
action,NN,O
be,VBZ,O
always,RB,O
dangerous,JJ,O
",",",",O
but,CC,O
one,CD,O
to,IN,O
whom,WP,O
each,DT,O
development,NN,O
come,VBZ,O
as,IN,O
a,DT,O
perpetual,JJ,O
surprise,NN,O
",",",",O
and,CC,O
to,TO,O
whom,WP,O
the,DT,O
future,NN,O
be,VBZ,O
always,RB,O
a,DT,O
closed,JJ,O
book,NN,O
",",",",O
be,VBZ,O
indeed,RB,O
a,DT,O
ideal,JJ,O
helpmate,NN,O
.,.,O
I,PRP,O
