docTokenBegin,text,ner,nerConfidences
8,Abbey Grange,LOCATION,
22,Mr. Sherlock Holmes,PERSON,
98,Mr. Holmes,PERSON,
107,his,PERSON,
139,London,LOCATION,{'LOCATION': 0.99908899819535}
151,Sussex,LOCATION,{'ORGANIZATION': 0.9590441566723}
152,Downs,ORGANIZATION,{'ORGANIZATION': 0.95502998322275}
113,he,PERSON,
122,his,PERSON,
130,him,PERSON,
134,he,PERSON,
159,him,PERSON,
162,he,PERSON,
167,his,PERSON,
194,Adventure of the Second Stain,MISC,{'MISC': 0.9879491469194}
184,him,PERSON,
213,him,PERSON,
234,he,PERSON,
250,his,PERSON,
322,Tuesday,DATE,{'DATE': 0.99808450213681}
331,European,MISC,{'MISC': 0.9999728283391}
341,Baker Street,LOCATION,{'LOCATION': 0.99872290609583}
367,Bellinger,PERSON,{'PERSON': 0.97655986199487}
372,Britain,LOCATION,{'LOCATION': 0.99336871121902}
407,Trelawney Hope,PERSON,{'PERSON': 0.92953938258874}
412,European Affairs,ORGANIZATION,{'ORGANIZATION': 0.59106192234078}
491,Holmes,PERSON,{'PERSON': 0.78829841032525}
479,his,PERSON,
483,his,PERSON,
496,European,MISC,{'MISC': 0.99673311790272}
501,his,PERSON,
509,his,PERSON,
521,Mr. Holmes,PERSON,
527,eight o'clock this morning,TIME,{'TIME': 0.99189770803764}
543,his,PERSON,
581,he,PERSON,
662,European,MISC,{'MISC': 0.99997862073431}
736,Mr. Trelawney Hope,PERSON,
771,Mr. Holmes,PERSON,
820,Whitehall Terrace,LOCATION,{'LOCATION': 0.86401091958101}
839,last night,TIME,{'TIME': 0.94713302594487}
970,her,PERSON,
1015,morning,TIME,{'TIME': 0.73290781049368}
1119,this morning,TIME,{'TIME': 0.7147429229539}
1147,he,PERSON,
1176,European,MISC,{'MISC': 0.9983199649883}
1210,she,PERSON,
1218,Mr. Holmes,PERSON,
1221,she,PERSON,
1254,England,LOCATION,{'LOCATION': 0.99955491033351}
1271,Cabinet,ORGANIZATION,{'ORGANIZATION': 0.90216446246562}
1320,His,PERSON,
1332,his,PERSON,
1336,his,PERSON,
1379,Cabinet,ORGANIZATION,{'ORGANIZATION': 0.9284415712281}
1400,England,LOCATION,{'LOCATION': 0.99995194106018}
1402,Mr. Holmes,PERSON,
1437,his,PERSON,
1451,Holmes,PERSON,{'PERSON': 0.9918703414639}
1504,Mr. Holmes,PERSON,
1552,Holmes,PERSON,{'PERSON': 0.97442788937307}
1662,Sherlock Holmes,PERSON,{'PERSON': 0.98886881289065}
1684,he,PERSON,
1734,his,PERSON,
1743,his,PERSON,
1764,he,PERSON,
1769,his,PERSON,
1773,his,PERSON,
1792,his,PERSON,
1802,Mr. Holmes,PERSON,
1864,Watson,PERSON,{'PERSON': 0.99913765105956}
1934,his,PERSON,
1943,his,PERSON,
2030,Holmes,PERSON,{'PERSON': 0.99710570125966}
2051,he,PERSON,
2113,he,PERSON,
2134,he,PERSON,
2138,he,PERSON,
2157,him,PERSON,
2160,his,PERSON,
2207,Mr. Holmes,PERSON,
2225,European,MISC,{'MISC': 0.99994997672996}
2240,Europe,LOCATION,{'LOCATION': 0.99496343886084}
2260,Great Britain,LOCATION,{'LOCATION': 0.7095340974408}
2267,Britain,LOCATION,{'LOCATION': 0.99744406293831}
2329,his,PERSON,
2369,Europe,LOCATION,{'LOCATION': 0.99581289407888}
2392,Mr. Trelawney Hope,PERSON,
2396,his,PERSON,
2399,his,PERSON,
2408,his,PERSON,
2412,his,PERSON,
2442,Mr. Holmes,PERSON,
2461,Holmes,PERSON,{'PERSON': 0.99615272565831}
2463,his,PERSON,
2511,Mr. Holmes,PERSON,
2540,Mr. Hope,PERSON,
2543,his,PERSON,
2682,Mr. Holmes,PERSON,
2838,his,PERSON,
2852,last night,TIME,{'TIME': 0.61195790897796}
2848,he,PERSON,
2872,he,PERSON,
2879,European,MISC,{'MISC': 0.99268612319247}
2890,Embassy,ORGANIZATION,{'ORGANIZATION': 0.49900322429339}
2892,London,LOCATION,{'LOCATION': 0.99872667616029}
2883,He,PERSON,
2915,Embassies,MISC,{'MISC': 0.33820720900863}
2925,his,PERSON,
2935,Mr. Holmes,PERSON,
2938,He,PERSON,
2950,his,PERSON,
2968,Hope,PERSON,{'PERSON': 0.53177226292998}
3033,Holmes,PERSON,{'PERSON': 0.9890350238127}
