lemma,pos,ner
in,IN,O
choose,VBG,O
a,DT,O
few,JJ,O
typical,JJ,O
case,NNS,O
which,WDT,O
illustrate,VBP,O
the,DT,O
remarkable,JJ,O
mental,JJ,O
quality,NNS,O
of,IN,O
my,PRP$,O
friend,NN,O
",",",",O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
I,PRP,O
have,VBP,O
endeavour,VBN,O
",",",",O
as,RB,O
far,RB,O
as,IN,O
possible,JJ,O
",",",",O
to,TO,O
select,VB,O
those,DT,O
which,WDT,O
present,VBD,O
the,DT,O
minimum,NN,O
of,IN,O
sensationalism,NN,O
",",",",O
while,IN,O
offer,VBG,O
a,DT,O
fair,JJ,O
field,NN,O
for,IN,O
he,PRP$,O
talent,NNS,O
.,.,O
it,PRP,O
be,VBZ,O
",",",",O
however,RB,O
",",",",O
unfortunately,RB,O
impossible,JJ,O
entirely,RB,O
to,TO,O
separate,VB,O
the,DT,O
sensational,JJ,O
from,IN,O
the,DT,O
criminal,JJ,O
",",",",O
and,CC,O
a,DT,O
chronicler,NN,O
be,VBZ,O
leave,VBN,O
in,IN,O
the,DT,O
dilemma,NN,O
that,IN,O
he,PRP,O
must,MD,O
either,CC,O
sacrifice,VB,O
detail,NNS,O
which,WDT,O
be,VBP,O
essential,JJ,O
to,IN,O
he,PRP$,O
statement,NN,O
and,CC,O
so,RB,O
give,VB,O
a,DT,O
false,JJ,O
impression,NN,O
of,IN,O
the,DT,O
problem,NN,O
",",",",O
or,CC,O
he,PRP,O
must,MD,O
use,VB,O
matter,NN,O
which,WDT,O
chance,NN,O
",",",",O
and,CC,O
not,RB,O
choice,NN,O
",",",",O
have,VBZ,O
provide,VBN,O
he,PRP,O
with,IN,O
.,.,O
with,IN,O
this,DT,O
short,JJ,O
preface,NN,O
I,PRP,O
shall,MD,O
turn,VB,O
to,IN,O
my,PRP$,O
note,NNS,O
of,IN,O
what,WP,O
prove,VBD,O
to,TO,O
be,VB,O
a,DT,O
strange,JJ,O
",",",",O
though,IN,O
a,DT,O
peculiarly,RB,O
terrible,JJ,O
",",",",O
chain,NN,O
of,IN,O
event,NNS,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
blaze,VBG,O
hot,JJ,O
day,NN,O
in,IN,O
August,NNP,DATE
.,.,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
be,VBD,O
like,IN,O
a,DT,O
oven,NN,O
",",",",O
and,CC,O
the,DT,O
glare,NN,O
of,IN,O
the,DT,O
sunlight,NN,O
upon,IN,O
the,DT,O
yellow,JJ,O
brickwork,NN,O
of,IN,O
the,DT,O
house,NN,O
across,IN,O
the,DT,O
road,NN,O
be,VBD,O
painful,JJ,O
to,IN,O
the,DT,O
eye,NN,O
.,.,O
it,PRP,O
be,VBD,O
hard,JJ,O
to,TO,O
believe,VB,O
that,IN,O
these,DT,O
be,VBD,O
the,DT,O
same,JJ,O
wall,NNS,O
which,WDT,O
loom,VBD,O
so,RB,O
gloomily,RB,O
through,IN,O
the,DT,O
fog,NNS,O
of,IN,O
winter,NN,O
.,.,O
we,PRP$,O
blind,NNS,O
be,VBD,O
half,RB,O
-,HYPH,O
draw,VBN,O
",",",",O
and,CC,O
Holmes,NNP,PERSON
lay,VBD,O
curl,VBN,O
upon,IN,O
the,DT,O
sofa,NN,O
",",",",O
read,VBG,O
and,CC,O
re-read,VBG,O
a,DT,O
letter,NN,O
which,WDT,O
he,PRP,O
have,VBD,O
receive,VBN,O
by,IN,O
the,DT,O
morning,NN,O
post,NN,O
.,.,O
for,IN,O
myself,PRP,O
",",",",O
my,PRP$,O
term,NN,O
of,IN,O
service,NN,O
in,IN,O
India,NNP,LOCATION
have,VBD,O
train,VBN,O
I,PRP,O
to,TO,O
stand,VB,O
heat,NN,O
better,JJR,O
than,IN,O
cold,JJ,O
",",",",O
and,CC,O
a,DT,O
thermometer,NN,O
at,IN,O
ninety,CD,O
be,VBD,O
no,DT,O
hardship,NN,O
.,.,O
but,CC,O
the,DT,O
morning,NN,O
paper,NN,O
be,VBD,O
uninteresting,JJ,O
.,.,O
Parliament,NNP,ORGANIZATION
have,VBD,O
rise,VBN,O
.,.,O
everybody,NN,O
be,VBD,O
out,IN,O
of,IN,O
town,NN,O
",",",",O
and,CC,O
I,PRP,O
yearn,VBD,O
for,IN,O
the,DT,O
glade,NNS,O
of,IN,O
the,DT,O
New,NNP,O
Forest,NNP,O
or,CC,O
the,DT,O
shingle,NN,O
of,IN,O
Southsea,NNP,LOCATION
.,.,O
a,DT,O
deplete,VBN,O
bank,NN,O
account,NN,O
have,VBD,O
cause,VBN,O
I,PRP,O
to,TO,O
postpone,VB,O
my,PRP$,O
holiday,NN,O
",",",",O
and,CC,O
as,IN,O
to,IN,O
my,PRP$,O
companion,NN,O
",",",",O
neither,CC,O
the,DT,O
country,NN,O
nor,CC,O
the,DT,O
sea,NN,O
present,VBD,O
the,DT,O
slightest,JJS,O
attraction,NN,O
to,IN,O
he,PRP,O
.,.,O
he,PRP,O
love,VBD,O
to,TO,O
lie,VB,O
in,IN,O
the,DT,O
very,RB,O
center,NN,O
of,IN,O
five,CD,O
million,NNS,O
of,IN,O
people,NNS,O
",",",",O
with,IN,O
he,PRP$,O
filament,NNS,O
stretch,VBG,O
out,RP,O
and,CC,O
run,VBG,O
through,IN,O
they,PRP,O
",",",",O
responsive,JJ,O
to,IN,O
every,DT,O
little,JJ,O
rumour,NN,O
or,CC,O
suspicion,NN,O
of,IN,O
unsolved,JJ,O
crime,NN,O
.,.,O
appreciation,NN,O
of,IN,O
nature,NN,O
find,VBD,O
no,DT,O
place,NN,O
among,IN,O
he,PRP$,O
many,JJ,O
gift,NNS,O
",",",",O
and,CC,O
he,PRP$,O
only,JJ,O
change,NN,O
be,VBD,O
when,WRB,O
he,PRP,O
turn,VBD,O
he,PRP$,O
mind,NN,O
from,IN,O
the,DT,O
evil,NN,O
-,HYPH,O
doer,NN,O
of,IN,O
the,DT,O
town,NN,O
to,TO,O
track,VB,O
down,RP,O
he,PRP$,O
brother,NN,O
of,IN,O
the,DT,O
country,NN,O
.,.,O
find,VBG,O
that,IN,O
Holmes,NNP,PERSON
be,VBD,O
too,RB,O
absorb,VBN,O
for,IN,O
conversation,NN,O
I,PRP,O
have,VBD,O
toss,VBN,O
side,NN,O
the,DT,O
barren,JJ,O
paper,NN,O
",",",",O
and,CC,O
lean,VBG,O
back,RB,O
in,IN,O
my,PRP$,O
chair,NN,O
I,PRP,O
fall,VBD,O
into,IN,O
a,DT,O
brown,JJ,O
study,NN,O
.,.,O
suddenly,RB,O
my,PRP$,O
companion,NN,O
's,POS,O
voice,NN,O
break,VBD,O
in,IN,O
upon,IN,O
my,PRP$,O
thought,NNS,O
:,:,O
"""",``,O
you,PRP,O
be,VBP,O
right,RB,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
it,PRP,O
do,VBZ,O
seem,VB,O
a,DT,O
most,RBS,O
preposterous,JJ,O
way,NN,O
of,IN,O
settle,VBG,O
a,DT,O
dispute,NN,O
.,.,O
"""",'',O
"""",``,O
most,JJS,O
preposterous,JJ,O
!,.,O
"""",'',O
I,PRP,O
exclaim,VBD,O
",",",",O
and,CC,O
then,RB,O
suddenly,RB,O
realize,VBG,O
how,WRB,O
he,PRP,O
have,VBD,O
echo,VBN,O
the,DT,O
inmost,JJS,O
thought,NN,O
of,IN,O
my,PRP$,O
soul,NN,O
",",",",O
I,PRP,O
sit,VBD,O
up,RP,O
in,IN,O
my,PRP$,O
chair,NN,O
and,CC,O
stare,VBD,O
at,IN,O
he,PRP,O
in,IN,O
blank,JJ,O
amazement,NN,O
.,.,O
"""",``,O
what,WP,O
be,VBZ,O
this,DT,O
",",",",O
Holmes,NNP,PERSON
?,.,O
"""",'',O
I,PRP,O
cry,VBD,O
.,.,O
"""",``,O
this,DT,O
be,VBZ,O
beyond,IN,O
anything,NN,O
which,WDT,O
I,PRP,O
could,MD,O
have,VB,O
imagine,VBN,O
.,.,O
"""",'',O
he,PRP,O
laugh,VBD,O
heartily,RB,O
at,IN,O
my,PRP$,O
perplexity,NN,O
.,.,O
"""",``,O
you,PRP,O
remember,VBP,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
"""",'',O
that,IN,O
some,DT,O
little,JJ,O
time,NN,O
ago,RB,O
when,WRB,O
I,PRP,O
read,VBP,O
you,PRP,O
the,DT,O
passage,NN,O
in,IN,O
one,CD,O
of,IN,O
Poe,NNP,PERSON
's,POS,O
sketch,NNS,O
in,IN,O
which,WDT,O
a,DT,O
close,JJ,O
reasoner,NN,O
follow,VBZ,O
the,DT,O
unspoken,JJ,O
thought,NNS,O
of,IN,O
he,PRP$,O
companion,NN,O
",",",",O
you,PRP,O
be,VBD,O
incline,VBN,O
to,TO,O
treat,VB,O
the,DT,O
matter,NN,O
as,IN,O
a,DT,O
mere,JJ,O
tour,NN,O
-,HYPH,O
de-force,NN,O
of,IN,O
the,DT,O
author,NN,O
.,.,O
on,IN,O
my,PRP$,O
remark,VBG,O
that,IN,O
I,PRP,O
be,VBD,O
constantly,RB,O
in,IN,O
the,DT,O
habit,NN,O
of,IN,O
do,VBG,O
the,DT,O
same,JJ,O
thing,NN,O
you,PRP,O
express,VBD,O
incredulity,NN,O
.,.,O
"""",``,O
