lemma,pos,ner
Holmes,NNP,PERSON
have,VBD,O
be,VBN,O
seat,VBN,O
for,IN,O
some,DT,O
hour,NNS,O
in,IN,O
silence,NN,O
with,IN,O
he,PRP$,O
long,JJ,O
",",",",O
thin,JJ,O
back,RB,O
curved,JJ,O
over,IN,O
a,DT,O
chemical,NN,O
vessel,NN,O
in,IN,O
which,WDT,O
he,PRP,O
be,VBD,O
brew,VBG,O
a,DT,O
particularly,RB,O
malodorous,JJ,O
product,NN,O
.,.,O
he,PRP$,O
head,NN,O
be,VBD,O
sink,VBN,O
upon,IN,O
he,PRP$,O
breast,NN,O
",",",",O
and,CC,O
he,PRP,O
look,VBD,O
from,IN,O
my,PRP$,O
point,NN,O
of,IN,O
view,NN,O
like,IN,O
a,DT,O
strange,JJ,O
",",",",O
lank,JJ,O
bird,NN,O
",",",",O
with,IN,O
dull,JJ,O
grey,JJ,O
plumage,NN,O
and,CC,O
a,DT,O
black,JJ,O
top,NN,O
-,HYPH,O
knot,NN,O
.,.,O
"""",``,O
so,RB,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
suddenly,RB,O
",",",",O
"""",``,O
you,PRP,O
do,VBP,O
not,RB,O
propose,VB,O
to,TO,O
invest,VB,O
in,IN,O
south,JJ,MISC
african,JJ,MISC
security,NNS,O
?,.,O
"""",'',O
I,PRP,O
give,VBD,O
a,DT,O
start,NN,O
of,IN,O
astonishment,NN,O
.,.,O
accustom,VBN,O
as,IN,O
I,PRP,O
be,VBD,O
to,TO,O
Holmes,NNP,PERSON
's,POS,O
curious,JJ,O
faculty,NNS,O
",",",",O
this,DT,O
sudden,JJ,O
intrusion,NN,O
into,IN,O
my,PRP$,O
most,RBS,O
intimate,JJ,O
thought,NNS,O
be,VBD,O
utterly,RB,O
inexplicable,JJ,O
.,.,O
"""",``,O
how,WRB,O
on,IN,O
earth,NN,O
do,VBP,O
you,PRP,O
know,VB,O
that,DT,O
?,.,O
"""",'',O
I,PRP,O
ask,VBD,O
.,.,O
he,PRP,O
wheel,VBD,O
round,JJ,O
upon,IN,O
he,PRP$,O
stool,NN,O
",",",",O
with,IN,O
a,DT,O
steam,VBG,O
test,NN,O
-,HYPH,O
tube,NN,O
in,IN,O
he,PRP$,O
hand,NN,O
and,CC,O
a,DT,O
gleam,NN,O
of,IN,O
amusement,NN,O
in,IN,O
he,PRP$,O
deep,JJ,O
-,HYPH,O
set,NN,O
eye,NNS,O
.,.,O
"""",``,O
now,RB,O
",",",",O
Watson,NNP,PERSON
",",",",O
confess,VBZ,O
yourself,PRP,O
utterly,RB,O
take,VBN,O
aback,RB,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
I,PRP,O
be,VBP,O
.,.,O
"""",'',O
"""",``,O
I,PRP,O
ought,MD,O
to,TO,O
make,VB,O
you,PRP,O
sign,VB,O
a,DT,O
paper,NN,O
to,IN,O
that,DT,O
effect,NN,O
.,.,O
"""",'',O
"""",``,O
why,WRB,O
?,.,O
"""",'',O
"""",``,O
because,IN,O
in,IN,O
five,CD,O
minute,NNS,O
you,PRP,O
will,MD,O
say,VB,O
that,IN,O
it,PRP,O
be,VBZ,O
all,RB,O
so,RB,O
absurdly,RB,O
simple,JJ,O
.,.,O
"""",'',O
"""",``,O
I,PRP,O
be,VBP,O
sure,JJ,O
that,IN,O
I,PRP,O
shall,MD,O
say,VB,O
nothing,NN,O
of,IN,O
the,DT,O
kind,NN,O
.,.,O
"""",'',O
"""",``,O
you,PRP,O
see,VBP,O
",",",",O
my,PRP$,O
dear,JJ,O
Watson,NNP,PERSON
"""",'',O
--,:,O
he,PRP,O
prop,VBD,O
he,PRP$,O
test,NN,O
-,HYPH,O
tube,NN,O
in,IN,O
the,DT,O
rack,NN,O
and,CC,O
begin,VBD,O
to,TO,O
lecture,VB,O
with,IN,O
the,DT,O
air,NN,O
of,IN,O
a,DT,O
professor,NN,O
address,VBG,O
he,PRP$,O
class,NN,O
--,:,O
"""",``,O
it,PRP,O
be,VBZ,O
not,RB,O
really,RB,O
difficult,JJ,O
to,TO,O
construct,VB,O
a,DT,O
series,NN,O
of,IN,O
inference,NNS,O
",",",",O
each,DT,O
dependent,JJ,O
upon,IN,O
its,PRP$,O
predecessor,NN,O
and,CC,O
each,DT,O
simple,JJ,O
in,IN,O
itself,PRP,O
.,.,O
if,IN,O
",",",",O
after,IN,O
do,VBG,O
so,RB,O
",",",",O
one,CD,O
simply,RB,O
knock,VBZ,O
out,RP,O
all,PDT,O
the,DT,O
central,JJ,O
inference,NNS,O
and,CC,O
present,VBZ,O
one,PRP,O
's,POS,O
audience,NN,O
with,IN,O
the,DT,O
starting,NN,O
-,HYPH,O
point,NN,O
and,CC,O
the,DT,O
conclusion,NN,O
",",",",O
one,CD,O
may,MD,O
produce,VB,O
a,DT,O
startling,JJ,O
",",",",O
though,IN,O
possibly,RB,O
a,DT,O
meretricious,JJ,O
",",",",O
effect,NN,O
.,.,O
now,RB,O
",",",",O
it,PRP,O
be,VBD,O
not,RB,O
really,RB,O
difficult,JJ,O
",",",",O
by,IN,O
a,DT,O
inspection,NN,O
of,IN,O
the,DT,O
groove,NN,O
between,IN,O
you,PRP$,O
left,JJ,O
forefinger,NN,O
and,CC,O
thumb,NN,O
",",",",O
to,TO,O
feel,VB,O
sure,JJ,O
that,IN,O
you,PRP,O
do,VBD,O
not,RB,O
propose,VB,O
to,TO,O
invest,VB,O
you,PRP$,O
small,JJ,O
capital,NN,O
in,IN,O
the,DT,O
goldfield,NNS,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
see,VBP,O
no,DT,O
connection,NN,O
.,.,O
"""",``,O
"""",``,O
very,RB,O
likely,JJ,O
not,RB,O
;,:,O
but,CC,O
I,PRP,O
can,MD,O
quickly,RB,O
show,VB,O
you,PRP,O
a,DT,O
close,JJ,O
connection,NN,O
.,.,O
here,RB,O
be,VBP,O
the,DT,O
miss,VBG,O
link,NNS,O
of,IN,O
the,DT,O
very,RB,O
simple,JJ,O
chain,NN,O
:,:,O
1,LS,O
.,.,O
you,PRP,O
have,VBD,O
chalk,NN,O
between,IN,O
you,PRP$,O
left,JJ,O
finger,NN,O
and,CC,O
thumb,NN,O
when,WRB,O
you,PRP,O
return,VBD,O
from,IN,O
the,DT,O
club,NN,O
last,JJ,TIME
night,NN,TIME
.,.,O
2,LS,O
.,.,O
you,PRP,O
put,VBP,O
chalk,NN,O
there,RB,O
when,WRB,O
you,PRP,O
play,VBP,O
billiards,NNS,O
to,IN,O
steady,JJ,O
the,DT,O
cue,NN,O
.,.,O
3,LS,O
.,.,O
you,PRP,O
never,RB,O
play,VBP,O
billiards,NNS,O
except,IN,O
with,IN,O
Thurston,NNP,PERSON
.,.,O
4,LS,O
.,.,O
you,PRP,O
tell,VBD,O
I,PRP,O
four,CD,O
week,NNS,O
ago,IN,O
that,DT,O
Thurston,NNP,PERSON
have,VBD,O
a,DT,O
option,NN,O
on,IN,O
some,DT,O
south,JJ,MISC
african,JJ,MISC
property,NN,O
which,WDT,O
would,MD,O
expire,VB,O
in,IN,O
a,DT,O
month,NN,O
",",",",O
and,CC,O
which,WDT,O
he,PRP,O
desire,VBD,O
you,PRP,O
to,TO,O
share,VB,O
with,IN,O
he,PRP,O
.,.,O
5,CD,O
.,.,O
you,PRP$,O
cheque,NN,O
-,HYPH,O
book,NN,O
be,VBZ,O
lock,VBN,O
in,IN,O
my,PRP$,O
drawer,NN,O
",",",",O
and,CC,O
you,PRP,O
