lemma,pos,ner
it,PRP,O
may,MD,O
have,VB,O
be,VBN,O
a,DT,O
comedy,NN,O
",",",",O
or,CC,O
it,PRP,O
may,MD,O
have,VB,O
be,VBN,O
a,DT,O
tragedy,NN,O
.,.,O
it,PRP,O
cost,VBD,O
one,CD,O
man,NN,O
he,PRP$,O
reason,NN,O
",",",",O
it,PRP,O
cost,VBD,O
I,PRP,O
a,DT,O
blood,NN,O
-,HYPH,O
let,VBG,O
",",",",O
and,CC,O
it,PRP,O
cost,VBD,O
yet,RB,O
another,DT,O
man,NN,O
the,DT,O
penalty,NNS,O
of,IN,O
the,DT,O
law,NN,O
.,.,O
yet,CC,O
there,EX,O
be,VBD,O
certainly,RB,O
a,DT,O
element,NN,O
of,IN,O
comedy,NN,O
.,.,O
well,UH,O
",",",",O
you,PRP,O
shall,MD,O
judge,VB,O
for,IN,O
yourselve,NNS,O
.,.,O
I,PRP,O
remember,VBP,O
the,DT,O
date,NN,O
very,RB,O
well,RB,O
",",",",O
for,IN,O
it,PRP,O
be,VBD,O
in,IN,O
the,DT,O
same,JJ,O
month,NN,O
that,WDT,O
Holmes,NNP,PERSON
refuse,VBD,O
a,DT,O
knighthood,NN,O
for,IN,O
service,NNS,O
which,WDT,O
may,MD,O
perhaps,RB,O
some,DT,O
day,NN,O
be,VB,O
describe,VBN,O
.,.,O
I,PRP,O
only,RB,O
refer,VBP,O
to,IN,O
the,DT,O
matter,NN,O
in,IN,O
passing,NN,O
",",",",O
for,IN,O
in,IN,O
my,PRP$,O
position,NN,O
of,IN,O
partner,NN,O
and,CC,O
confidant,NN,O
I,PRP,O
be,VBP,O
oblige,VBN,O
to,TO,O
be,VB,O
particularly,RB,O
careful,JJ,O
to,TO,O
avoid,VB,O
any,DT,O
indiscretion,NN,O
.,.,O
I,PRP,O
repeat,VBP,O
",",",",O
however,RB,O
",",",",O
that,IN,O
this,DT,O
enable,VBZ,O
I,PRP,O
to,TO,O
fix,VB,O
the,DT,O
date,NN,O
",",",",O
which,WDT,O
be,VBD,O
the,DT,O
latter,JJ,O
end,NN,O
of,IN,O
June,NNP,DATE
",",",",DATE
1902,CD,DATE
",",",",O
shortly,RB,O
after,IN,O
the,DT,O
conclusion,NN,O
of,IN,O
the,DT,O
South,NNP,MISC
African,NNP,MISC
War,NNP,MISC
.,.,O
Holmes,NNP,PERSON
have,VBD,O
spend,VBN,O
several,JJ,O
day,NNS,O
in,IN,O
bed,NN,O
",",",",O
as,IN,O
be,VBD,O
he,PRP$,O
habit,NN,O
from,IN,O
time,NN,O
to,IN,O
time,NN,O
",",",",O
but,CC,O
he,PRP,O
emerge,VBD,O
that,DT,O
morning,NN,O
with,IN,O
a,DT,O
long,JJ,O
foolscap,NN,O
document,NN,O
in,IN,O
he,PRP$,O
hand,NN,O
and,CC,O
a,DT,O
twinkle,NN,O
of,IN,O
amusement,NN,O
in,IN,O
he,PRP$,O
austere,JJ,O
gray,JJ,O
eye,NNS,O
.,.,O
"""",``,O
there,EX,O
be,VBZ,O
a,DT,O
chance,NN,O
for,IN,O
you,PRP,O
to,TO,O
make,VB,O
some,DT,O
money,NN,O
",",",",O
friend,NN,O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
have,VBP,O
you,PRP,O
ever,RB,O
hear,VBD,O
the,DT,O
name,NN,O
of,IN,O
Garrideb,NNP,PERSON
?,.,O
"""",'',O
I,PRP,O
admit,VBD,O
that,IN,O
I,PRP,O
have,VBD,O
not,RB,O
.,.,O
"""",``,O
well,UH,O
",",",",O
if,IN,O
you,PRP,O
can,MD,O
lay,VB,O
you,PRP$,O
hand,NN,O
upon,IN,O
a,DT,O
Garrideb,NNP,O
",",",",O
there,EX,O
be,VBZ,O
money,NN,O
in,IN,O
it,PRP,O
.,.,O
"""",'',O
"""",``,O
why,WRB,O
?,.,O
"""",'',O
"""",``,O
ah,UH,O
",",",",O
that,DT,O
be,VBZ,O
a,DT,O
long,JJ,O
story,NN,O
--,:,O
rather,RB,O
a,DT,O
whimsical,JJ,O
one,CD,O
",",",",O
too,RB,O
.,.,O
I,PRP,O
do,VBP,O
not,RB,O
think,VB,O
in,IN,O
all,PDT,O
we,PRP$,O
exploration,NNS,O
of,IN,O
human,JJ,O
complexity,NNS,O
we,PRP,O
have,VBP,O
ever,RB,O
come,VBN,O
upon,IN,O
anything,NN,O
more,JJR,O
singular,JJ,O
.,.,O
the,DT,O
fellow,NN,O
will,MD,O
be,VB,O
here,RB,O
presently,RB,O
for,IN,O
cross-examination,NN,O
",",",",O
so,RB,O
I,PRP,O
will,MD,O
not,RB,O
open,VB,O
the,DT,O
matter,NN,O
up,RP,O
till,IN,O
he,PRP,O
come,VBZ,O
.,.,O
but,CC,O
",",",",O
meanwhile,RB,O
",",",",O
that,DT,O
be,VBZ,O
the,DT,O
name,NN,O
we,PRP,O
want,VBP,O
.,.,O
"""",``,O
the,DT,O
telephone,NN,O
directory,NN,O
lay,VBD,O
on,IN,O
the,DT,O
table,NN,O
beside,IN,O
I,PRP,O
",",",",O
and,CC,O
I,PRP,O
turn,VBD,O
over,RP,O
the,DT,O
page,NNS,O
in,IN,O
a,DT,O
rather,RB,O
hopeless,JJ,O
quest,NN,O
.,.,O
but,CC,O
to,IN,O
my,PRP$,O
amazement,NN,O
there,EX,O
be,VBD,O
this,DT,O
strange,JJ,O
name,NN,O
in,IN,O
its,PRP$,O
due,JJ,O
place,NN,O
.,.,O
I,PRP,O
give,VBD,O
a,DT,O
cry,NN,O
of,IN,O
triumph,NN,O
.,.,O
"""",``,O
here,RB,O
you,PRP,O
be,VBP,O
",",",",O
Holmes,NNP,PERSON
!,.,O
here,RB,O
it,PRP,O
be,VBZ,O
!,.,O
"""",``,O
Holmes,NNP,PERSON
take,VBD,O
the,DT,O
book,NN,O
from,IN,O
my,PRP$,O
hand,NN,O
.,.,O
"""",'',O
',``,O
Garrideb,NNP,O
",",",",O
N.,NNP,O
",",",",O
','',O
"""",'',O
he,PRP,O
read,VBD,O
",",",",O
"""",``,O
','',O
136,CD,O
little,JJ,O
Ryder,NNP,O
Street,NNP,O
",",",",O
W.,NNP,O
',POS,O
sorry,JJ,O
to,TO,O
disappoint,VB,O
you,PRP,O
",",",",O
my,PRP$,O
dear,JJ,O
Watson,NNP,PERSON
",",",",O
but,CC,O
this,DT,O
be,VBZ,O
the,DT,O
man,NN,O
himself,PRP,O
.,.,O
that,DT,O
be,VBZ,O
the,DT,O
address,NN,O
upon,IN,O
he,PRP$,O
letter,NN,O
.,.,O
we,PRP,O
want,VBP,O
another,DT,O
to,TO,O
match,VB,O
he,PRP,O
.,.,O
"""",``,O
Mrs.,NNP,PERSON
Hudson,NNP,PERSON
have,VBD,O
come,VBN,O
in,IN,O
with,IN,O
a,DT,O
card,NN,O
upon,IN,O
a,DT,O
tray,NN,O
.,.,O
I,PRP,O
take,VBD,O
it,PRP,O
up,RP,O
and,CC,O
glance,VBD,O
at,IN,O
it,PRP,O
.,.,O
"""",``,O
why,WRB,O
",",",",O
here,RB,O
it,PRP,O
be,VBZ,O
!,.,O
"""",'',O
I,PRP,O
cry,VBD,O
in,IN,O
amazement,NN,O
.,.,O
"""",``,O
this,DT,O
be,VBZ,O
a,DT,O
different,JJ,O
initial,JJ,O
.,.,O
John,NNP,PERSON
Garrideb,NNP,PERSON
",",",",O
