docTokenBegin,text,ner,nerConfidences
2,year 1878,DATE,{'DATE': 0.9684880334364}
14,University of London,ORGANIZATION,{'ORGANIZATION': 0.99525182232994}
21,Netley,LOCATION,{'LOCATION': 0.93546281715917}
47,Northumberland Fusiliers,LOCATION,{'LOCATION': 0.56454994215108}
58,India,LOCATION,{'LOCATION': 0.99850318098602}
72,Afghan,MISC,{'MISC': 0.99999456137045}
81,Bombay,LOCATION,{'LOCATION': 0.99451158970352}
126,Candahar,LOCATION,{'LOCATION': 0.51513047449324}
175,Berkshires,LOCATION,{'LOCATION': 0.49803649378002}
186,Maiwand,LOCATION,{'LOCATION': 0.99186719485111}
197,Jezail,MISC,{'MISC': 0.87766831832621}
220,Ghazis,PERSON,{'PERSON': 0.53365678358017}
232,Murray,PERSON,{'PERSON': 0.99124997145771}
254,British,MISC,{'MISC': 0.99998871721367}
289,Peshawar,LOCATION,{'LOCATION': 0.99830487028299}
334,Indian,MISC,{'MISC': 0.99997894654001}
380,England,LOCATION,{'LOCATION': 0.99983145632305}
399,Portsmouth,LOCATION,{'LOCATION': 0.94217701613307}
434,England,LOCATION,{'LOCATION': 0.9999218716255}
472,London,LOCATION,{'LOCATION': 0.99553743501589}
636,Stamford,LOCATION,{'LOCATION': 0.88246187647841}
646,Bart,PERSON,{'PERSON': 0.54972949157581}
660,London,LOCATION,{'LOCATION': 0.99700233285816}
674,Stamford,LOCATION,{'LOCATION': 0.92952738694947}
688,him,PERSON,
693,he,PERSON,
696,his,PERSON,
723,Holborn,LOCATION,{'LOCATION': 0.81774229800854}
716,him,PERSON,
743,Watson,PERSON,{'PERSON': 0.99567589709057}
758,London,LOCATION,{'LOCATION': 0.99632440924611}
746,he,PERSON,
779,him,PERSON,
806,he,PERSON,
812,he,PERSON,
915,He,PERSON,
922,he,PERSON,
931,him,PERSON,
937,he,PERSON,
947,his,PERSON,
953,Jove,PERSON,{'PERSON': 0.80962348738759}
961,he,PERSON,
979,him,PERSON,
993,Stamford,LOCATION,{'LOCATION': 0.74156997316361}
1000,his,PERSON,
1010,Sherlock Holmes,PERSON,{'PERSON': 0.9995450461754}
1015,he,PERSON,
1025,him,PERSON,
1039,him,PERSON,
1053,him,PERSON,
1055,He,PERSON,
1061,his,PERSON,
1077,he,PERSON,
1104,he,PERSON,
1113,he,PERSON,
1121,he,PERSON,
1137,he,PERSON,
1147,His,PERSON,
1156,he,PERSON,
1172,his,PERSON,
1181,him,PERSON,
1183,he,PERSON,
1196,he,PERSON,
1210,he,PERSON,
1219,him,PERSON,
1228,him,PERSON,
1273,Afghanistan,LOCATION,{'LOCATION': 0.99816957565908}
1296,He,PERSON,
1311,He,PERSON,
1321,he,PERSON,
1369,Holborn,LOCATION,{'LOCATION': 0.80257201823881}
1371,Stamford,LOCATION,{'LOCATION': 0.92585321423372}
1405,him,PERSON,
1408,he,PERSON,
1417,him,PERSON,
1424,him,PERSON,
1469,Stamford,LOCATION,{'LOCATION': 0.96886434711555}
1529,he,PERSON,
1536,Holmes,PERSON,{'PERSON': 0.92608684784249}
1556,his,PERSON,
1598,him,PERSON,
1604,he,PERSON,
1614,He,PERSON,
1692,him,PERSON,
1706,he,PERSON,
1723,his,PERSON,
1740,him,PERSON,
1744,he,PERSON,
1862,Bunsen lamps,MISC,{'MISC': 0.50772045738521}
1889,his,PERSON,
1898,he,PERSON,
1904,his,PERSON,
1924,he,PERSON,
1939,his,PERSON,
1961,he,PERSON,
1974,his,PERSON,
1979,Watson,PERSON,{'PERSON': 0.99806025625309}
1981,Mr. Sherlock Holmes,PERSON,
1987,Stamford,LOCATION,{'LOCATION': 0.98396463355878}
1998,he,PERSON,
2015,him,PERSON,
2023,Afghanistan,LOCATION,{'LOCATION': 0.99676225855011}
2050,he,PERSON,
2134,He,PERSON,
2143,his,PERSON,
2155,he,PERSON,
2169,he,PERSON,
2177,his,PERSON,
2256,he,PERSON,
2259,he,PERSON,
2310,he,PERSON,
2314,his,PERSON,
2359,Guiacum,MISC,{'MISC': 0.49146695754747}
2466,His,PERSON,
2527,Sherlock Holmes,PERSON,{'PERSON': 0.99326198559498}
2542,His,PERSON,
2547,he,PERSON,
2551,he,PERSON,
2553,his,PERSON,
2556,his,PERSON,
2569,his,PERSON,
2586,his,PERSON,
2595,Von Bischoff,PERSON,{'PERSON': 0.98361605979419}
2598,Frankfort,LOCATION,{'LOCATION': 0.99271500447627}
2599,last year,DATE,{'DATE': 0.63777907646834}
2602,He,PERSON,
2618,Mason,PERSON,{'PERSON': 0.92746176750721}
2620,Bradford,LOCATION,{'LOCATION': 0.79463643419894}
2625,Muller,PERSON,{'PERSON': 0.93612628466999}
2628,Lefevre,PERSON,{'PERSON': 0.97722753266614}
2630,Montpellier,ORGANIZATION,{'ORGANIZATION': 0.68145907572906}
2633,Samson,PERSON,{'PERSON': 0.9749763044466}
2667,Stamford,LOCATION,{'LOCATION': 0.96843961377906}
2707,Sherlock Holmes,PERSON,{'PERSON': 0.99037261527235}
2720,his,PERSON,
2731,he,PERSON,
2752,He,PERSON,
2755,his,PERSON,
2758,he,PERSON,
2791,Stamford,LOCATION,{'LOCATION': 0.97937715798377}
2811,his,PERSON,
2851,Sherlock Holmes,PERSON,{'PERSON': 0.99865361510504}
2860,his,PERSON,
2874,Baker Street,LOCATION,{'LOCATION': 0.99595179745022}
2878,he,PERSON,
3114,he,PERSON,
3159,he,PERSON,
3219,he,PERSON,
3234,his,PERSON,
3239,him,PERSON,
3242,his,PERSON,
3267,Stamford,LOCATION,{'LOCATION': 0.85510894562613}
3281,Afghanistan,LOCATION,{'LOCATION': 0.91729494724115}
3274,he,PERSON,
3295,his,PERSON,
3300,he,PERSON,
3313,he,PERSON,
3375,Stamford,LOCATION,{'LOCATION': 0.7355563996282}
3370,him,PERSON,
3379,he,PERSON,
3390,him,PERSON,
3400,he,PERSON,
3408,him,PERSON,
3455,Baker Street,LOCATION,{'LOCATION': 0.9936450083936}
3443,he,PERSON,
3460,he,PERSON,
3551,Sherlock Holmes,PERSON,{'PERSON': 0.94461103271368}
3600,Holmes,PERSON,{'PERSON': 0.99373084188206}
3611,He,PERSON,
3615,his,PERSON,
3619,his,PERSON,
3633,ten at night,TIME,{'TIME': 0.72711287778606}
3650,morning,TIME,{'TIME': 0.52293816838615}
3628,him,PERSON,
3638,he,PERSON,
3653,he,PERSON,
3655,his,PERSON,
3679,him,PERSON,
3691,his,PERSON,
3699,him,PERSON,
3709,him,PERSON,
3716,he,PERSON,
3754,his,PERSON,
3762,him,PERSON,
3780,his,PERSON,
3797,him,PERSON,
3803,his,PERSON,
3813,His,PERSON,
3833,he,PERSON,
3845,he,PERSON,
3852,His,PERSON,
3872,his,PERSON,
3880,his,PERSON,
3890,His,PERSON,
3907,His,PERSON,
3920,he,PERSON,
3939,him,PERSON,
3941,his,PERSON,
3979,he,PERSON,
4074,He,PERSON,
4091,Stamford,LOCATION,{'LOCATION': 0.90585155066641}
4080,He,PERSON,
4100,he,PERSON,
4112,him,PERSON,
4126,him,PERSON,
4135,his,PERSON,
4147,his,PERSON,
4156,his,PERSON,
4176,he,PERSON,
4199,his,PERSON,
4205,he,PERSON,
4215,His,PERSON,
4221,his,PERSON,
4231,he,PERSON,
4242,Thomas Carlyle,PERSON,{'PERSON': 0.99996600762426}
4245,he,PERSON,
4252,he,PERSON,
4257,he,PERSON,
4279,Copernican Theory,MISC,{'MISC': 0.86122263919756}
4274,he,PERSON,
4334,he,PERSON,
4372,he,PERSON,
4415,he,PERSON,
4428,him,PERSON,
4447,he,PERSON,
4453,his,PERSON,
4469,he,PERSON,
4472,his,PERSON,
4477,He,PERSON,
4487,him,PERSON,
4490,his,PERSON,
4496,he,PERSON,
4575,Solar System,MISC,{'MISC': 0.61174928548969}
4592,he,PERSON,
4635,him,PERSON,
4645,his,PERSON,
4676,He,PERSON,
4679,he,PERSON,
4689,his,PERSON,
4697,he,PERSON,
4706,him,PERSON,
4720,he,PERSON,
4725,he,PERSON,
4762,Sherlock Holmes,PERSON,{'PERSON': 0.99224244471042}
4765,his,PERSON,
4864,London,LOCATION,{'LOCATION': 0.99541353202233}
4849,his,PERSON,
4865,he,PERSON,
4895,He,PERSON,
4937,British,MISC,{'MISC': 0.99998826925083}
5012,his,PERSON,
5028,his,PERSON,
5056,Mendelssohn,ORGANIZATION,{'ORGANIZATION': 0.46522675523233}
5033,he,PERSON,
5050,he,PERSON,
5071,he,PERSON,
5092,evening,TIME,{'TIME': 0.56119334236484}
5086,his,PERSON,
5094,he,PERSON,
5097,his,PERSON,
5109,his,PERSON,
5134,him,PERSON,
5177,he,PERSON,
5241,he,PERSON,
5275,Mr. Lestrade,PERSON,
5324,Jew,MISC,{'MISC': 0.43349255420366}
5370,his,PERSON,
5385,Sherlock Holmes,PERSON,{'PERSON': 0.99787632393016}
5409,He,PERSON,
5435,he,PERSON,
5454,him,PERSON,
5481,he,PERSON,
5493,he,PERSON,
5505,his,PERSON,
5515,March,DATE,{'DATE': 0.95142161494779}
5536,Sherlock Holmes,PERSON,{'PERSON': 0.99991700432141}
5542,his,PERSON,
5612,his,PERSON,
5645,Book of Life,MISC,{'MISC': 0.59950657668418}
5673,his,PERSON,
5743,him,PERSON,
5769,Euclid,LOCATION,{'LOCATION': 0.74152698017282}
5759,His,PERSON,
5774,his,PERSON,
5788,he,PERSON,
5797,him,PERSON,
5823,Atlantic,LOCATION,{'LOCATION': 0.97435413555014}
5826,Niagara,LOCATION,{'LOCATION': 0.85879783880397}
5868,Science of Deduction and Analysis,ORGANIZATION,{'ORGANIZATION': 0.84752476459718}
5931,him,PERSON,
5959,he,PERSON,
5997,his,PERSON,
6003,his,PERSON,
6007,his,PERSON,
6015,his,PERSON,
6021,his,PERSON,
6025,his,PERSON,
6095,Sherlock Holmes,PERSON,{'PERSON': 0.99858167883493}
6174,his,PERSON,
6198,Underground,MISC,{'MISC': 0.57248201877417}
6188,him,PERSON,
6208,his,PERSON,
6221,him,PERSON,
6232,Sherlock Holmes,PERSON,{'PERSON': 0.9991066428903}
6349,London,LOCATION,{'LOCATION': 0.99418542564209}
6452,Lestrade,PERSON,
6460,He,PERSON,
6477,him,PERSON,
