docTokenBegin,text,ner,nerConfidences
7,Sherlock Holmes,PERSON,{'PERSON': 0.99990285995864}
22,Baker Street,LOCATION,{'LOCATION': 0.99479863196361}
19,his,PERSON,
220,Holmes,PERSON,{'PERSON': 0.9605915863324}
373,his,PERSON,
454,Holmes,PERSON,{'PERSON': 0.98315910722465}
461,his,PERSON,
470,Dundas,PERSON,{'PERSON': 0.76143190751897}
513,he,PERSON,
527,his,PERSON,
534,his,PERSON,
581,He,PERSON,
584,his,PERSON,
608,his,PERSON,
628,he,PERSON,
652,Bohemia,LOCATION,{'LOCATION': 0.99687380365356}
663,Irene Adler,PERSON,{'PERSON': 0.92391885123492}
685,his,PERSON,
696,Holland,LOCATION,{'LOCATION': 0.91228652550918}
860,Marseilles,LOCATION,{'LOCATION': 0.99566934462569}
927,London,LOCATION,{'LOCATION': 0.99455492117142}
906,He,PERSON,
910,his,PERSON,
974,Duchess of Devonshire,PERSON,
932,his,PERSON,
953,her,PERSON,
979,her,PERSON,
987,she,PERSON,
1001,her,PERSON,
1009,her,PERSON,
1013,her,PERSON,
1032,she,PERSON,
1058,Holmes,PERSON,{'PERSON': 0.98013313455845}
1061,his,PERSON,
1079,She,PERSON,
1116,she,PERSON,
1160,she,PERSON,
1189,Miss Mary Sutherland,PERSON,
1171,he,PERSON,
1199,his,PERSON,
1217,Sherlock Holmes,PERSON,{'PERSON': 0.99934814661184}
1220,her,PERSON,
1227,he,PERSON,
1239,her,PERSON,
1244,he,PERSON,
1246,her,PERSON,
1259,him,PERSON,
1268,he,PERSON,
1296,she,PERSON,
1320,his,PERSON,
1323,she,PERSON,
1337,her,PERSON,
1352,Mr. Holmes,PERSON,
1356,she,PERSON,
1375,Holmes,PERSON,{'PERSON': 0.94795401798857}
1425,Mrs. Etherege,PERSON,
1441,him,PERSON,
1448,Mr. Holmes,PERSON,
1501,Mr. Hosmer Angel,PERSON,
1522,Sherlock Holmes,PERSON,{'PERSON': 0.99983809827248}
1526,his,PERSON,
1532,his,PERSON,
