lemma,pos,ner
on,IN,O
glance,VBG,O
over,IN,O
my,PRP$,O
note,NNS,O
of,IN,O
the,DT,O
seventy,CD,O
odd,JJ,O
case,NNS,O
in,IN,O
which,WDT,O
I,PRP,O
have,VBP,O
during,IN,O
the,DT,O
last,JJ,DATE
eight,CD,DATE
year,NNS,DATE
study,VBD,O
the,DT,O
method,NNS,O
of,IN,O
my,PRP$,O
friend,NN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
I,PRP,O
find,VBP,O
many,JJ,O
tragic,JJ,O
",",",",O
some,DT,O
comic,JJ,O
",",",",O
a,DT,O
large,JJ,O
number,NN,O
merely,RB,O
strange,JJ,O
",",",",O
but,CC,O
none,NN,O
commonplace,NN,O
;,:,O
for,IN,O
",",",",O
work,VBG,O
as,IN,O
he,PRP,O
do,VBD,O
rather,RB,O
for,IN,O
the,DT,O
love,NN,O
of,IN,O
he,PRP$,O
art,NN,O
than,IN,O
for,IN,O
the,DT,O
acquirement,NN,O
of,IN,O
wealth,NN,O
",",",",O
he,PRP,O
refuse,VBD,O
to,TO,O
associate,VB,O
himself,PRP,O
with,IN,O
any,DT,O
investigation,NN,O
which,WDT,O
do,VBD,O
not,RB,O
tend,VB,O
towards,IN,O
the,DT,O
unusual,JJ,O
",",",",O
and,CC,O
even,RB,O
the,DT,O
fantastic,JJ,O
.,.,O
of,IN,O
all,PDT,O
these,DT,O
varied,JJ,O
case,NNS,O
",",",",O
however,RB,O
",",",",O
I,PRP,O
can,MD,O
not,RB,O
recall,VB,O
any,DT,O
which,WDT,O
present,VBD,O
more,RBR,O
singular,JJ,O
feature,NNS,O
than,IN,O
that,DT,O
which,WDT,O
be,VBD,O
associate,VBN,O
with,IN,O
the,DT,O
well,NN,O
-,HYPH,O
know,VBN,O
Surrey,NNP,LOCATION
family,NN,O
of,IN,O
the,DT,O
roylott,NNS,O
of,IN,O
stoke,NN,ORGANIZATION
Moran,NNP,ORGANIZATION
.,.,O
the,DT,O
event,NNS,O
in,IN,O
question,NN,O
occur,VBD,O
in,IN,O
the,DT,O
early,JJ,O
day,NNS,O
of,IN,O
my,PRP$,O
association,NN,O
with,IN,O
Holmes,NNP,PERSON
",",",",O
when,WRB,O
we,PRP,O
be,VBD,O
share,VBG,O
room,NNS,O
as,IN,O
bachelor,NNS,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
.,.,O
it,PRP,O
be,VBZ,O
possible,JJ,O
that,IN,O
I,PRP,O
might,MD,O
have,VB,O
place,VBN,O
they,PRP,O
upon,IN,O
record,NN,O
before,IN,O
",",",",O
but,CC,O
a,DT,O
promise,NN,O
of,IN,O
secrecy,NN,O
be,VBD,O
make,VBN,O
at,IN,O
the,DT,O
time,NN,O
",",",",O
from,IN,O
which,WDT,O
I,PRP,O
have,VBP,O
only,RB,O
be,VBN,O
free,VBN,O
during,IN,O
the,DT,O
last,JJ,O
month,NN,O
by,IN,O
the,DT,O
untimely,JJ,O
death,NN,O
of,IN,O
the,DT,O
lady,NN,O
to,TO,O
whom,WP,O
the,DT,O
pledge,NN,O
be,VBD,O
give,VBN,O
.,.,O
it,PRP,O
be,VBZ,O
perhaps,RB,O
as,RB,O
well,RB,O
that,IN,O
the,DT,O
fact,NNS,O
should,MD,O
now,RB,O
come,VB,O
to,IN,O
light,NN,O
",",",",O
for,IN,O
I,PRP,O
have,VBP,O
reason,NNS,O
to,TO,O
know,VB,O
that,IN,O
there,EX,O
be,VBP,O
widespread,JJ,O
rumour,NNS,O
as,IN,O
to,IN,O
the,DT,O
death,NN,O
of,IN,O
Dr.,NNP,O
Grimesby,NNP,PERSON
Roylott,NNP,PERSON
which,WDT,O
tend,VBP,O
to,TO,O
make,VB,O
the,DT,O
matter,NN,O
even,RB,O
more,RBR,O
terrible,JJ,O
than,IN,O
the,DT,O
truth,NN,O
.,.,O
it,PRP,O
be,VBD,O
early,RB,O
in,IN,O
April,NNP,DATE
in,IN,O
the,DT,O
year,NN,O
'83,CD,O
that,WDT,O
I,PRP,O
wake,VBD,O
one,CD,O
morning,NN,O
to,TO,O
find,VB,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
stand,VBG,O
",",",",O
fully,RB,O
dressed,JJ,O
",",",",O
by,IN,O
the,DT,O
side,NN,O
of,IN,O
my,PRP$,O
bed,NN,O
.,.,O
he,PRP,O
be,VBD,O
a,DT,O
late,JJ,O
riser,NN,O
",",",",O
as,IN,O
a,DT,O
rule,NN,O
",",",",O
and,CC,O
as,IN,O
the,DT,O
clock,NN,O
on,IN,O
the,DT,O
mantelpiece,NN,O
show,VBD,O
I,PRP,O
that,IN,O
it,PRP,O
be,VBD,O
only,RB,O
a,DT,O
quarter,NN,O
-,HYPH,O
past,JJ,O
seven,CD,O
",",",",O
I,PRP,O
blink,VBD,O
up,RP,O
at,IN,O
he,PRP,O
in,IN,O
some,DT,O
surprise,NN,O
",",",",O
and,CC,O
perhaps,RB,O
just,RB,O
a,DT,O
little,JJ,O
resentment,NN,O
",",",",O
for,IN,O
I,PRP,O
be,VBD,O
myself,PRP,O
regular,JJ,O
in,IN,O
my,PRP$,O
habit,NNS,O
.,.,O
"""",``,O
very,RB,O
sorry,JJ,O
to,TO,O
knock,VB,O
you,PRP,O
up,RP,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
"""",``,O
but,CC,O
it,PRP,O
be,VBZ,O
the,DT,O
common,JJ,O
lot,NN,O
this,DT,TIME
morning,NN,TIME
.,.,O
Mrs.,NNP,PERSON
Hudson,NNP,PERSON
have,VBZ,O
be,VBN,O
knock,VBN,O
up,RP,O
",",",",O
she,PRP,O
retort,VBD,O
upon,IN,O
I,PRP,O
",",",",O
and,CC,O
I,PRP,O
on,IN,O
you,PRP,O
.,.,O
"""",``,O
"""",``,O
what,WP,O
be,VBZ,O
it,PRP,O
",",",",O
then,RB,O
--,:,O
a,DT,O
fire,NN,O
?,.,O
"""",``,O
"""",``,O
no,DT,O
;,:,O
a,DT,O
client,NN,O
.,.,O
it,PRP,O
seem,VBZ,O
that,IN,O
a,DT,O
young,JJ,O
lady,NN,O
have,VBZ,O
arrive,VBN,O
in,IN,O
a,DT,O
considerable,JJ,O
state,NN,O
of,IN,O
excitement,NN,O
",",",",O
who,WP,O
insist,VBZ,O
upon,IN,O
see,VBG,O
I,PRP,O
.,.,O
she,PRP,O
be,VBZ,O
wait,VBG,O
now,RB,O
in,IN,O
the,DT,O
sit,VBG,O
-,HYPH,O
room,NN,O
.,.,O
now,RB,O
",",",",O
when,WRB,O
young,JJ,O
lady,NNS,O
wander,VBP,O
about,IN,O
the,DT,O
metropolis,NN,O
at,IN,O
this,DT,O
hour,NN,O
of,IN,O
the,DT,O
morning,NN,TIME
",",",",O
and,CC,O
knock,VB,O
sleepy,JJ,O
people,NNS,O
up,RP,O
out,IN,O
of,IN,O
they,PRP$,O
bed,NNS,O
",",",",O
I,PRP,O
presume,VBP,O
that,IN,O
it,PRP,O
be,VBZ,O
something,NN,O
very,RB,O
press,VBG,O
which,WDT,O
they,PRP,O
have,VBP,O
to,TO,O
communicate,VB,O
.,.,O
should,MD,O
it,PRP,O
prove,VB,O
to,TO,O
be,VB,O
a,DT,O
interesting,JJ,O
case,NN,O
",",",",O
you,PRP,O
would,MD,O
",",",",O
I,PRP,O
be,VBP,O
sure,JJ,O
",",",",O
wish,VBP,O
to,TO,O
follow,VB,O
it,PRP,O
from,IN,O
the,DT,O
outset,NN,O
.,.,O
I,PRP,O
think,VBD,O
",",",",O
at,IN,O
any,DT,O
rate,NN,O
",",",",O
that,IN,O
I,PRP,O
should,MD,O
call,VB,O
you,PRP,O
and,CC,O
give,VB,O
you,PRP,O
the,DT,O
chance,NN,O
.,.,O
"""",``,O
"""",``,O
my,PRP$,O
dear,JJ,O
fellow,NN,O
",",",",O
I,PRP,O
would,MD,O
not,RB,O
miss,VB,O
it,PRP,O
for,IN,O
anything,NN,O
.,.,O
"""",``,O
I,PRP,O
have,VBD,O
no,DT,O
keener,NN,O
pleasure,NN,O
than,IN,O
in,IN,O
follow,VBG,O
Holmes,NNP,PERSON
in,IN,O
he,PRP$,O
professional,JJ,O
investigation,NNS,O
",",",",O
and,CC,O
in,IN,O
admire,VBG,O
the,DT,O
rapid,JJ,O
deduction,NNS,O
",",",",O
as,IN,O
swift,JJ,O
as,IN,O
intuition,NNS,O
",",",",O
and,CC,O
yet,RB,O
always,RB,O
found,VBN,O
on,IN,O
a,DT,O
logical,JJ,O
basis,NN,O
with,IN,O
which,WDT,O
he,PRP,O
unravel,VBD,O
the,DT,O
problem,NNS,O
which,WDT,O
be,VBD,O
submit,VBN,O
to,IN,O
he,PRP,O
.,.,O
I,PRP,O
rapidly,RB,O
throw,VBD,O
on,RP,O
my,PRP$,O
clothes,NNS,O
and,CC,O
be,VBD,O
ready,JJ,O
in,IN,O
a,DT,O
few,JJ,O
minute,NNS,O
to,TO,O
accompany,VB,O
my,PRP$,O
friend,NN,O
down,IN,O
to,IN,O
the,DT,O
sit,VBG,O
-,HYPH,O
room,NN,O
.,.,O
a,DT,O
lady,NN,O
dress,VBN,O
in,IN,O
black,JJ,O
and,CC,O
heavily,RB,O
veil,VBN,O
",",",",O
who,WP,O
have,VBD,O
be,VBN,O
sit,VBG,O
in,IN,O
the,DT,O
window,NN,O
",",",",O
rise,VBD,O
as,IN,O
we,PRP,O
enter,VBD,O
.,.,O
"""",``,O
good,JJ,O
-,HYPH,O
morning,NN,O
",",",",O
madam,NN,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
cheerily,RB,O
.,.,O
"""",``,O
my,PRP$,O
name,NN,O
be,VBZ,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
.,.,O
this,DT,O
be,VBZ,O
my,PRP$,O
intimate,JJ,O
friend,NN,O
and,CC,O
associate,NN,O
",",",",O
Dr.,NNP,O
Watson,NNP,PERSON
",",",",O
before,IN,O
whom,WP,O
you,PRP,O
can,MD,O
speak,VB,O
as,IN,O
freely,RB,O
as,RB,O
before,IN,O
myself,PRP,O
.,.,O
ha,UH,O
!,.,O
I,PRP,O
be,VBP,O
glad,JJ,O
to,TO,O
see,VB,O
that,IN,O
Mrs.,NNP,PERSON
Hudson,NNP,PERSON
have,VBZ,O
have,VBN,O
the,DT,O
good,JJ,O
sense,NN,O
to,TO,O
light,VB,O
the,DT,O
fire,NN,O
.,.,O
pray,VB,O
draw,VB,O
up,RP,O
to,IN,O
it,PRP,O
",",",",O
and,CC,O
I,PRP,O
shall,MD,O
order,VB,O
you,PRP,O
a,DT,O
cup,NN,O
of,IN,O
hot,JJ,O
coffee,NN,O
",",",",O
for,IN,O
I,PRP,O
observe,VBP,O
that,IN,O
you,PRP,O
be,VBP,O
shiver,VBG,O
.,.,O
"""",``,O
"""",``,O
it,PRP,O
be,VBZ,O
not,RB,O
cold,JJ,O
which,WDT,O
make,VBZ,O
I,PRP,O
shiver,NN,O
",",",",O
"""",'',O
say,VBD,O
the,DT,O
woman,NN,O
in,IN,O
a,DT,O
low,JJ,O
voice,NN,O
",",",",O
change,VBG,O
she,PRP$,O
seat,NN,O
as,IN,O
request,VBN,O
.,.,O
"""",'',O
what,WP,O
",",",",O
then,RB,O
?,.,O
"""",``,O
"""",``,O
it,PRP,O
be,VBZ,O
fear,NN,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
.,.,O
it,PRP,O
be,VBZ,O
terror,NN,O
.,.,O
"""",``,O
she,PRP,O
raise,VBD,O
she,PRP$,O
veil,NN,O
as,IN,O
she,PRP,O
speak,VBD,O
",",",",O
and,CC,O
we,PRP,O
could,MD,O
see,VB,O
that,IN,O
she,PRP,O
be,VBD,O
indeed,RB,O
in,IN,O
a,DT,O
pitiable,JJ,O
state,NN,O
of,IN,O
agitation,NN,O
",",",",O
she,PRP$,O
face,NN,O
all,DT,O
draw,VBN,O
and,CC,O
grey,JJ,O
",",",",O
with,IN,O
restless,JJ,O
frightened,JJ,O
eye,NNS,O
",",",",O
like,IN,O
those,DT,O
of,IN,O
some,DT,O
hunt,VBN,O
animal,NN,O
.,.,O
she,PRP$,O
feature,NNS,O
and,CC,O
figure,NN,O
be,VBD,O
those,DT,O
of,IN,O
a,DT,O
woman,NN,O
of,IN,O
thirty,CD,O
",",",",O
but,CC,O
she,PRP$,O
hair,NN,O
be,VBD,O
shoot,VBN,O
with,IN,O
premature,JJ,O
grey,JJ,O
",",",",O
and,CC,O
she,PRP$,O
expression,NN,O
be,VBD,O
weary,JJ,O
and,CC,O
haggard,JJ,O
.,.,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
run,VBD,O
she,PRP$,O
over,RP,O
with,IN,O
one,CD,O
of,IN,O
he,PRP$,O
quick,JJ,O
",",",",O
all,RB,O
-,HYPH,O
comprehensive,JJ,O
glance,NNS,O
.,.,O
"""",``,O
you,PRP,O
must,MD,O
not,RB,O
fear,VB,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
soothingly,RB,O
",",",",O
bend,VBG,O
forward,RB,O
and,CC,O
pat,VBG,O
she,PRP$,O
forearm,NN,O
.,.,O
"""",``,O
we,PRP,O
shall,MD,O
soon,RB,O
set,VB,O
matter,NNS,O
right,RB,O
",",",",O
I,PRP,O
have,VBP,O
no,DT,O
doubt,NN,O
.,.,O
you,PRP,O
have,VBP,O
come,VBN,O
in,IN,O
by,IN,O
train,NN,O
this,DT,TIME
morning,NN,TIME
",",",",O
I,PRP,O
see,VBP,O
.,.,O
"""",``,O
"""",``,O
you,PRP,O
know,VBP,O
I,PRP,O
",",",",O
then,RB,O
?,.,O
"""",``,O
"""",``,O
no,UH,O
",",",",O
but,CC,O
I,PRP,O
observe,VBP,O
the,DT,O
second,JJ,O
half,NN,O
of,IN,O
a,DT,O
return,NN,O
ticket,NN,O
in,IN,O
the,DT,O
palm,NN,O
of,IN,O
you,PRP$,O
left,JJ,O
glove,NN,O
.,.,O
you,PRP,O
must,MD,O
have,VB,O
start,VBN,O
early,RB,O
",",",",O
and,CC,O
yet,RB,O
you,PRP,O
have,VBD,O
a,DT,O
good,JJ,O
drive,NN,O
in,IN,O
a,DT,O
dog,NN,O
-,HYPH,O
cart,NN,O
",",",",O
along,IN,O
heavy,JJ,O
road,NNS,O
",",",",O
before,IN,O
you,PRP,O
reach,VBD,O
the,DT,O
station,NN,O
.,.,O
"""",``,O
the,DT,O
lady,NN,O
give,VBD,O
a,DT,O
violent,JJ,O
start,NN,O
and,CC,O
stare,VBD,O
in,IN,O
bewilderment,NN,O
at,IN,O
my,PRP$,O
companion,NN,O
.,.,O
"""",'',O
there,EX,O
be,VBZ,O
no,DT,O
mystery,NN,O
",",",",O
my,PRP$,O
dear,JJ,O
madam,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
smile,VBG,O
.,.,O
"""",'',O
the,DT,O
left,JJ,O
arm,NN,O
of,IN,O
you,PRP$,O
jacket,NN,O
be,VBZ,O
spatter,VBN,O
with,IN,O
mud,NN,O
in,IN,O
no,DT,O
less,JJR,O
than,IN,O
seven,CD,O
place,NNS,O
.,.,O
the,DT,O
mark,NNS,O
be,VBP,O
perfectly,RB,O
fresh,JJ,O
.,.,O
there,EX,O
be,VBZ,O
no,DT,O
vehicle,NN,O
save,VB,O
a,DT,O
dog,NN,O
-,HYPH,O
cart,NN,O
which,WDT,O
throw,VBZ,O
up,RP,O
mud,NN,O
in,IN,O
that,DT,O
way,NN,O
",",",",O
and,CC,O
then,RB,O
only,RB,O
when,WRB,O
you,PRP,O
sit,VBP,O
on,IN,O
the,DT,O
left,JJ,O
-,HYPH,O
hand,NN,O
side,NN,O
