lemma,pos,ner
Part,NNP,O
One,NNP,O
"""",'',O
well,UH,O
",",",",O
Mrs.,NNP,PERSON
Warren,NNP,PERSON
",",",",O
I,PRP,O
can,MD,O
not,RB,O
see,VB,O
that,IN,O
you,PRP,O
have,VBP,O
any,DT,O
particular,JJ,O
cause,NN,O
for,IN,O
uneasiness,NN,O
",",",",O
nor,CC,O
do,VBP,O
I,PRP,O
understand,VBP,O
why,WRB,O
I,PRP,O
",",",",O
whose,WP$,O
time,NN,O
be,VBZ,O
of,IN,O
some,DT,O
value,NN,O
",",",",O
should,MD,O
interfere,VB,O
in,IN,O
the,DT,O
matter,NN,O
.,.,O
I,PRP,O
really,RB,O
have,VBP,O
other,JJ,O
thing,NNS,O
to,TO,O
engage,VB,O
I,PRP,O
.,.,O
"""",``,O
so,RB,O
speak,VBD,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
and,CC,O
turn,VBD,O
back,RB,O
to,IN,O
the,DT,O
great,JJ,O
scrapbook,NN,O
in,IN,O
which,WDT,O
he,PRP,O
be,VBD,O
arrange,VBG,O
and,CC,O
index,VBG,O
some,DT,O
of,IN,O
he,PRP$,O
recent,JJ,O
material,NN,O
.,.,O
but,CC,O
the,DT,O
landlady,NN,O
have,VBD,O
the,DT,O
pertinacity,NN,O
and,CC,O
also,RB,O
the,DT,O
cunning,NN,O
of,IN,O
she,PRP$,O
sex,NN,O
.,.,O
she,PRP,O
hold,VBD,O
she,PRP$,O
ground,NN,O
firmly,RB,O
.,.,O
"""",``,O
you,PRP,O
arrange,VBD,O
a,DT,O
affair,NN,O
for,IN,O
a,DT,O
lodger,NN,O
of,IN,O
mine,NN,O
last,JJ,O
year,NN,O
",",",",O
"""",'',O
she,PRP,O
say,VBD,O
--,:,O
"""",``,O
Mr.,NNP,PERSON
Fairdale,NNP,PERSON
Hobbs,NNP,PERSON
.,.,O
"""",'',O
"""",``,O
ah,UH,O
",",",",O
yes,UH,O
--,:,O
a,DT,O
simple,JJ,O
matter,NN,O
.,.,O
"""",'',O
"""",``,O
but,CC,O
he,PRP,O
would,MD,O
never,RB,O
cease,VB,O
talk,VBG,O
of,IN,O
it,PRP,O
--,:,O
you,PRP$,O
kindness,NN,O
",",",",O
sir,NN,O
",",",",O
and,CC,O
the,DT,O
way,NN,O
in,IN,O
which,WDT,O
you,PRP,O
bring,VBD,O
light,NN,O
into,IN,O
the,DT,O
darkness,NN,O
.,.,O
I,PRP,O
remember,VBD,O
he,PRP$,O
word,NNS,O
when,WRB,O
I,PRP,O
be,VBD,O
in,IN,O
doubt,NN,O
and,CC,O
darkness,NN,O
myself,PRP,O
.,.,O
I,PRP,O
know,VBP,O
you,PRP,O
could,MD,O
if,IN,O
you,PRP,O
only,RB,O
would,MD,O
.,.,O
"""",``,O
Holmes,NNP,PERSON
be,VBD,O
accessible,JJ,O
upon,IN,O
the,DT,O
side,NN,O
of,IN,O
flattery,NN,O
",",",",O
and,CC,O
also,RB,O
",",",",O
to,TO,O
do,VB,O
he,PRP,O
justice,NN,O
",",",",O
upon,IN,O
