lemma,pos,ner
I,PRP,O
do,VBP,O
not,RB,O
think,VB,O
that,IN,O
any,DT,O
of,IN,O
my,PRP$,O
adventure,NNS,O
with,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
open,VBD,O
quite,RB,O
so,RB,O
abruptly,RB,O
",",",",O
or,CC,O
so,RB,O
dramatically,RB,O
",",",",O
as,IN,O
that,DT,O
which,WDT,O
I,PRP,O
associate,VBP,O
with,IN,O
the,DT,O
three,CD,LOCATION
gable,NNS,LOCATION
.,.,O
I,PRP,O
have,VBD,O
not,RB,O
see,VBN,O
Holmes,NNP,PERSON
for,IN,O
some,DT,O
day,NNS,O
and,CC,O
have,VBD,O
no,DT,O
idea,NN,O
of,IN,O
the,DT,O
new,JJ,O
channel,NN,O
into,IN,O
which,WDT,O
he,PRP$,O
activity,NNS,O
have,VBD,O
be,VBN,O
direct,VBN,O
.,.,O
he,PRP,O
be,VBD,O
in,IN,O
a,DT,O
chatty,JJ,O
mood,NN,O
that,WDT,O
morning,NN,O
",",",",O
however,RB,O
",",",",O
and,CC,O
have,VBD,O
just,RB,O
settle,VBN,O
I,PRP,O
into,IN,O
the,DT,O
well,JJ,O
-,HYPH,O
worn,JJ,O
low,JJ,O
armchair,NN,O
on,IN,O
one,CD,O
side,NN,O
of,IN,O
the,DT,O
fire,NN,O
",",",",O
while,IN,O
he,PRP,O
have,VBD,O
curl,VBN,O
down,RP,O
with,IN,O
he,PRP$,O
pipe,NN,O
in,IN,O
he,PRP$,O
mouth,NN,O
upon,IN,O
the,DT,O
opposite,JJ,O
chair,NN,O
",",",",O
when,WRB,O
we,PRP$,O
visitor,NN,O
arrive,VBD,O
.,.,O
if,IN,O
I,PRP,O
have,VBD,O
say,VBN,O
that,IN,O
a,DT,O
mad,JJ,O
bull,NN,O
have,VBD,O
arrive,VBN,O
it,PRP,O
would,MD,O
give,VB,O
a,DT,O
clearer,JJR,O
impression,NN,O
of,IN,O
what,WP,O
occur,VBD,O
.,.,O
the,DT,O
door,NN,O
have,VBD,O
fly,VBN,O
open,JJ,O
and,CC,O
a,DT,O
huge,JJ,O
negro,NN,O
have,VBD,O
burst,VBN,O
into,IN,O
the,DT,O
room,NN,O
.,.,O
he,PRP,O
would,MD,O
have,VB,O
be,VBN,O
a,DT,O
comic,JJ,O
figure,NN,O
if,IN,O
he,PRP,O
have,VBD,O
not,RB,O
be,VBN,O
terrific,JJ,O
",",",",O
for,IN,O
he,PRP,O
be,VBD,O
dress,VBN,O
in,IN,O
a,DT,O
very,RB,O
loud,JJ,O
gray,JJ,O
check,NN,O
suit,NN,O
with,IN,O
a,DT,O
flow,VBG,O
salmon,NN,O
-,HYPH,O
colour,VBN,O
tie,NN,O
.,.,O
he,PRP$,O
broad,JJ,O
face,NN,O
and,CC,O
flatten,VBD,O
nose,NN,O
be,VBD,O
thrust,VBN,O
forward,RB,O
",",",",O
as,IN,O
he,PRP$,O
sullen,NN,O
dark,JJ,O
eye,NNS,O
",",",",O
with,IN,O
a,DT,O
smoulder,VBG,O
gleam,NN,O
of,IN,O
malice,NN,O
in,IN,O
they,PRP,O
",",",",O
turn,VBN,O
from,IN,O
one,CD,O
of,IN,O
we,PRP,O
to,IN,O
the,DT,O
other,JJ,O
.,.,O
"""",``,O
which,WDT,O
of,IN,O
you,PRP,O
gen,VBP,O
','',O
l'men,NN,O
be,VBZ,O
Masser,NNP,PERSON
Holmes,NNP,PERSON
?,.,O
"""",'',O
he,PRP,O
ask,VBD,O
.,.,O
Holmes,NNP,PERSON
raise,VBD,O
he,PRP$,O
pipe,NN,O
with,IN,O
a,DT,O
languid,JJ,O
smile,NN,O
.,.,O
"""",``,O
oh,UH,O
!,.,O
it,PRP,O
be,VBZ,O
you,PRP,O
",",",",O
be,VBZ,O
it,PRP,O
?,.,O
"""",``,O
say,VBD,O
we,PRP$,O
visitor,NN,O
",",",",O
come,VBG,O
with,IN,O
a,DT,O
unpleasant,JJ,O
",",",",O
stealthy,JJ,O
step,NN,O
round,IN,O
the,DT,O
angle,NN,O
of,IN,O
the,DT,O
table,NN,O
.,.,O
"""",'',O
see,VB,O
here,RB,O
",",",",O
Masser,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
you,PRP,O
keep,VBP,O
you,PRP$,O
hand,NNS,O
out,IN,O
of,IN,O
other,JJ,O
folk,NNS,O
',POS,O
business,NN,O
.,.,O
leave,VB,O
folk,NNS,O
to,TO,O
manage,VB,O
they,PRP$,O
own,JJ,O
affair,NNS,O
.,.,O
get,VBD,O
that,DT,O
",",",",O
Masser,NNP,PERSON
Holmes,NNP,PERSON
?,.,O
"""",``,O
"""",``,O
keep,VB,O
on,IN,O
talk,VBG,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
.,.,O
"""",'',O
it,PRP,O
be,VBZ,O
fine,JJ,O
.,.,O
"""",``,O
"""",``,O
oh,UH,O
!,.,O
it,PRP,O
be,VBZ,O
fine,JJ,O
",",",",O
be,VBZ,O
it,PRP,O
?,.,O
"""",``,O
growl,VBD,O
the,DT,O
savage,NN,O
.,.,O
"""",'',O
it,PRP,O
will,MD,O
not,RB,O
be,VB,O
so,RB,O
damn,RB,O
fine,JJ,O
if,IN,O
I,PRP,O
have,VBP,O
to,TO,O
trim,VB,O
you,PRP,O
up,RP,O
a,DT,O
bit,NN,O
.,.,O
I,PRP,O
have,VBP,O
handle,VBN,O
you,PRP$,O
kind,NN,O
before,RB,O
now,RB,O
",",",",O
and,CC,O
they,PRP,O
do,VBD,O
not,RB,O
look,VB,O
fine,JJ,O
when,WRB,O
I,PRP,O
be,VBD,O
through,IN,O
with,IN,O
they,PRP,O
.,.,O
look,VB,O
at,IN,O
that,DT,O
",",",",O
Masser,NNP,PERSON
Holmes,NNP,PERSON
!,.,O
"""",``,O
he,PRP,O
swing,VBD,O
a,DT,O
huge,JJ,O
knot,VBN,O
lump,NN,O
of,IN,O
a,DT,O
fist,NN,O
under,IN,O
my,PRP$,O
friend,NN,O
's,POS,O
nose,NN,O
.,.,O
Holmes,NNP,PERSON
examine,VBD,O
it,PRP,O
closely,RB,O
with,IN,O
a,DT,O
air,NN,O
of,IN,O
