lemma,pos,ner
of,IN,O
all,PDT,O
the,DT,O
problem,NNS,O
which,WDT,O
have,VBP,O
be,VBN,O
submit,VBN,O
to,IN,O
my,PRP$,O
friend,NN,O
",",",",O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
for,IN,O
solution,NN,O
during,IN,O
the,DT,O
year,NNS,O
of,IN,O
we,PRP$,O
intimacy,NN,O
",",",",O
there,EX,O
be,VBD,O
only,RB,O
two,CD,O
which,WDT,O
I,PRP,O
be,VBD,O
the,DT,O
means,NNS,O
of,IN,O
introduce,VBG,O
to,IN,O
he,PRP$,O
notice,NN,O
--,:,O
that,IN,O
of,IN,O
Mr.,NNP,PERSON
Hatherley,NNP,PERSON
's,POS,O
thumb,NN,O
",",",",O
and,CC,O
that,DT,O
of,IN,O
Colonel,NNP,O
Warburton,NNP,PERSON
's,POS,O
madness,NN,O
.,.,O
of,IN,O
these,DT,O
the,DT,O
latter,NN,O
may,MD,O
have,VB,O
afford,VBN,O
a,DT,O
finer,JJR,O
field,NN,O
for,IN,O
a,DT,O
acute,JJ,O
and,CC,O
original,JJ,O
observer,NN,O
",",",",O
but,CC,O
the,DT,O
other,JJ,O
be,VBD,O
so,RB,O
strange,JJ,O
in,IN,O
its,PRP$,O
inception,NN,O
and,CC,O
so,RB,O
dramatic,JJ,O
in,IN,O
its,PRP$,O
detail,NNS,O
that,IN,O
it,PRP,O
may,MD,O
be,VB,O
the,DT,O
more,RBR,O
worthy,JJ,O
of,IN,O
be,VBG,O
place,VBN,O
upon,IN,O
record,NN,O
",",",",O
even,RB,O
if,IN,O
it,PRP,O
give,VBD,O
my,PRP$,O
friend,NN,O
fewer,JJR,O
opening,NNS,O
for,IN,O
those,DT,O
deductive,JJ,O
method,NNS,O
of,IN,O
reasoning,NN,O
by,IN,O
which,WDT,O
he,PRP,O
achieve,VBD,O
such,JJ,O
remarkable,JJ,O
result,NNS,O
.,.,O
the,DT,O
story,NN,O
have,VBZ,O
",",",",O
I,PRP,O
believe,VBP,O
",",",",O
be,VBN,O
tell,VBN,O
more,RBR,O
than,IN,O
once,RB,O
in,IN,O
the,DT,O
newspaper,NNS,O
",",",",O
but,CC,O
",",",",O
like,IN,O
all,DT,O
such,JJ,O
narrative,NNS,O
",",",",O
its,PRP$,O
effect,NN,O
be,VBZ,O
much,RB,O
less,JJR,O
striking,JJ,O
when,WRB,O
set,VBN,O
forth,RP,O
en,IN,O
bloc,NN,O
in,IN,O
a,DT,O
single,JJ,O
half,NN,O
-,HYPH,O
column,NN,O
of,IN,O
print,NN,O
than,IN,O
when,WRB,O
the,DT,O
fact,NNS,O
slowly,RB,O
evolve,VBP,O
before,IN,O
you,PRP$,O
own,JJ,O
eye,NNS,O
",",",",O
and,CC,O
the,DT,O
mystery,NN,O
clear,VBZ,O
gradually,RB,O
away,RB,O
as,IN,O
each,DT,O
new,JJ,O
discovery,NN,O
furnish,VBZ,O
a,DT,O
step,NN,O
which,WDT,O
lead,VBZ,O
on,IN,O
to,IN,O
the,DT,O
complete,JJ,O
truth,NN,O
.,.,O
at,IN,O
the,DT,O
time,NN,O
the,DT,O
circumstance,NNS,O
make,VBD,O
a,DT,O
deep,JJ,O
impression,NN,O
upon,IN,O
I,PRP,O
",",",",O
and,CC,O
the,DT,O
lapse,NN,O
of,IN,O
